date,부업하실분
2020-03-20,81.09243
2020-03-21,71.42857
2020-03-22,55.04201
2020-03-23,53.78151
2020-03-24,70.16806
2020-03-25,63.02521
2020-03-26,66.38655
2020-03-27,56.30252
2020-03-28,42.0168
2020-03-29,50.0
2020-03-30,62.18487
2020-03-31,69.74789
2020-04-01,55.88235
2020-04-02,62.18487
2020-04-03,48.73949
2020-04-04,33.19327
2020-04-05,34.45378
2020-04-06,52.521
2020-04-07,50.42016
2020-04-08,50.0
2020-04-09,50.42016
2020-04-10,31.93277
2020-04-11,44.11764
2020-04-12,40.33613
2020-04-13,56.72268
2020-04-14,38.23529
2020-04-15,46.21848
2020-04-16,49.15966
2020-04-17,55.46218
2020-04-18,37.81512
2020-04-19,35.71428
2020-04-20,57.56302
2020-04-21,44.53781
2020-04-22,52.10084
2020-04-23,60.5042
2020-04-24,41.59663
2020-04-25,33.61344
2020-04-26,36.55462
2020-04-27,45.79831
2020-04-28,40.33613
2020-04-29,30.2521
2020-04-30,28.15126
2020-05-01,27.31092
2020-05-02,21.42857
2020-05-03,21.42857
2020-05-04,39.49579
2020-05-05,36.97478
2020-05-06,41.17647
2020-05-07,39.49579
2020-05-08,23.94957
2020-05-09,27.73109
2020-05-10,36.13445
2020-05-11,40.7563
2020-05-12,50.42016
2020-05-13,52.521
2020-05-14,51.68067
2020-05-15,36.13445
2020-05-16,29.83193
2020-05-17,25.63025
2020-05-18,32.7731
2020-05-19,43.27731
2020-05-20,34.87394
2020-05-21,34.03361
2020-05-22,37.81512
2020-05-23,24.78991
2020-05-24,27.31092
2020-05-25,48.73949
2020-05-26,47.05882
2020-05-27,42.0168
2020-05-28,46.21848
2020-05-29,28.57142
2020-05-30,28.57142
2020-05-31,20.58823
2020-06-01,38.23529
2020-06-02,38.23529
2020-06-03,42.0168
2020-06-04,47.89915
2020-06-05,32.35294
2020-06-06,25.21008
2020-06-07,22.2689
2020-06-08,40.7563
2020-06-09,36.55462
2020-06-10,34.03361
2020-06-11,34.45378
2020-06-12,32.35294
2020-06-13,17.64705
2020-06-14,30.2521
2020-06-15,41.17647
2020-06-16,36.97478
2020-06-17,39.91596
2020-06-18,49.57983
2020-06-19,32.35294
2020-06-20,25.63025
2020-06-21,33.19327
2020-06-22,47.89915
2020-06-23,39.91596
2020-06-24,41.59663
2020-06-25,39.91596
2020-06-26,33.61344
2020-06-27,31.09243
2020-06-28,22.2689
2020-06-29,38.23529
2020-06-30,41.59663
2020-07-01,43.69747
2020-07-02,46.21848
2020-07-03,35.29411
2020-07-04,26.05042
2020-07-05,26.89075
2020-07-06,100.0
2020-07-07,63.44537
2020-07-08,60.08403
2020-07-09,52.10084
2020-07-10,38.65546
2020-07-11,20.58823
2020-07-12,37.81512
2020-07-13,55.46218
2020-07-14,45.79831
2020-07-15,51.68067
2020-07-16,53.36134
2020-07-17,37.39495
2020-07-18,30.2521
2020-07-19,36.55462
2020-07-20,52.521
2020-07-21,50.0
2020-07-22,57.14285
2020-07-23,52.521
2020-07-24,31.09243
2020-07-25,21.84873
2020-07-26,16.38655
2020-07-27,52.94117
2020-07-28,47.89915
2020-07-29,44.53781
2020-07-30,38.65546
2020-07-31,35.29411
2020-08-01,27.73109
2020-08-02,22.2689
2020-08-03,30.2521
2020-08-04,30.2521
2020-08-05,28.15126
2020-08-06,27.73109
2020-08-07,32.35294
2020-08-08,25.21008
2020-08-09,20.16806
2020-08-10,36.97478
2020-08-11,37.39495
2020-08-12,48.73949
2020-08-13,32.7731
2020-08-14,31.5126
2020-08-15,25.63025
2020-08-16,20.16806
2020-08-17,45.37815
2020-08-18,34.87394
2020-08-19,41.17647
2020-08-20,45.79831
2020-08-21,42.43697
2020-08-22,35.29411
2020-08-23,29.41176
2020-08-24,40.7563
2020-08-25,47.89915
2020-08-26,42.85714
2020-08-27,50.0
2020-08-28,36.55462
2020-08-29,38.23529
2020-08-30,41.59663
2020-08-31,48.73949
2020-09-01,64.28571
2020-09-02,47.89915
2020-09-03,45.79831
2020-09-04,43.69747
2020-09-05,32.7731
2020-09-06,36.13445
2020-09-07,52.10084
2020-09-08,51.68067
2020-09-09,40.33613
2020-09-10,48.31932
2020-09-11,48.73949
2020-09-12,34.03361
2020-09-13,25.63025
2020-09-14,43.27731
2020-09-15,40.7563
2020-09-16,52.94117
2020-09-17,45.37815
2020-09-18,34.03361
2020-09-19,28.99159
2020-09-20,23.94957
2020-09-21,32.7731
2020-09-22,32.7731
2020-09-23,44.95798
2020-09-24,31.5126
2020-09-25,37.39495
2020-09-26,29.83193
2020-09-27,19.74789
2020-09-28,30.67226
2020-09-29,28.99159
2020-09-30,15.54621
2020-10-01,10.92436
2020-10-02,19.32773
2020-10-03,22.2689
2020-10-04,34.45378
2020-10-05,43.27731
2020-10-06,47.89915
2020-10-07,42.0168
2020-10-08,44.95798
2020-10-09,31.09243
2020-10-10,24.78991
2020-10-11,26.05042
2020-10-12,41.59663
2020-10-13,39.07563
2020-10-14,36.55462
2020-10-15,56.72268
2020-10-16,26.05042
2020-10-17,37.39495
2020-10-18,27.31092
2020-10-19,60.5042
2020-10-20,47.05882
2020-10-21,46.21848
2020-10-22,42.85714
2020-10-23,40.7563
2020-10-24,25.21008
2020-10-25,19.74789
2020-10-26,44.53781
2020-10-27,34.03361
2020-10-28,42.43697
2020-10-29,42.43697
2020-10-30,36.97478
2020-10-31,18.90756
2020-11-01,27.31092
2020-11-02,45.37815
2020-11-03,38.23529
2020-11-04,45.37815
2020-11-05,36.97478
2020-11-06,31.5126
2020-11-07,25.21008
2020-11-08,24.78991
2020-11-09,38.65546
2020-11-10,42.43697
2020-11-11,32.35294
2020-11-12,32.35294
2020-11-13,48.31932
2020-11-14,22.2689
2020-11-15,33.19327
2020-11-16,47.05882
2020-11-17,33.61344
2020-11-18,42.85714
2020-11-19,47.89915
2020-11-20,45.37815
2020-11-21,21.84873
2020-11-22,32.7731
2020-11-23,42.43697
2020-11-24,42.43697
2020-11-25,42.0168
2020-11-26,43.69747
2020-11-27,44.53781
2020-11-28,27.31092
2020-11-29,29.83193
2020-11-30,50.0
2020-12-01,44.95798
2020-12-02,61.7647
2020-12-03,58.82352
2020-12-04,38.23529
2020-12-05,27.31092
2020-12-06,42.85714
2020-12-07,55.04201
2020-12-08,50.0
2020-12-09,47.47899
2020-12-10,50.84033
2020-12-11,58.40336
2020-12-12,34.87394
2020-12-13,44.11764
2020-12-14,65.96638
2020-12-15,65.12605
2020-12-16,61.7647
2020-12-17,47.89915
2020-12-18,51.2605
2020-12-19,49.57983
2020-12-20,44.11764
2020-12-21,48.73949
2020-12-22,38.23529
2020-12-23,54.20168
2020-12-24,36.55462
2020-12-25,31.09243
2020-12-26,37.81512
2020-12-27,44.53781
2020-12-28,93.69747
2020-12-29,74.36974
2020-12-30,61.34453
2020-12-31,47.05882
2021-01-01,40.33613
2021-01-02,44.95798
2021-01-03,51.68067
2021-01-04,84.45378
2021-01-05,65.96638
2021-01-06,59.24369
2021-01-07,60.08403
2021-01-08,52.521
2021-01-09,32.35294
2021-01-10,42.0168
2021-01-11,63.86554
2021-01-12,55.46218
2021-01-13,59.24369
2021-01-14,65.54621
2021-01-15,59.24369
2021-01-16,50.0
2021-01-17,53.36134
2021-01-18,57.56302
2021-01-19,64.70588
2021-01-20,73.10924
2021-01-21,52.521
2021-01-22,47.47899
2021-01-23,44.11764
2021-01-24,36.97478
2021-01-25,52.94117
2021-01-26,50.42016
2021-01-27,50.42016
2021-01-28,52.521
2021-01-29,49.15966
2021-01-30,31.93277
2021-01-31,25.63025
2021-02-01,51.68067
2021-02-02,48.31932
2021-02-03,47.47899
2021-02-04,53.36134
2021-02-05,40.7563
2021-02-06,25.63025
2021-02-07,30.67226
2021-02-08,43.27731
2021-02-09,31.09243
2021-02-10,23.94957
2021-02-11,13.02521
2021-02-12,15.12605
2021-02-13,18.90756
2021-02-14,31.5126
2021-02-15,50.42016
2021-02-16,48.31932
2021-02-17,50.84033
2021-02-18,56.72268
2021-02-19,43.69747
2021-02-20,32.35294
2021-02-21,23.10924
2021-02-22,50.84033
2021-02-23,38.23529
2021-02-24,32.7731
2021-02-25,40.7563
2021-02-26,32.7731
2021-02-27,26.89075
2021-02-28,30.67226
2021-03-01,39.91596
