date,큐알코드
2020-03-20,3.82568
2020-03-21,3.66442
2020-03-22,3.94477
2020-03-23,4.79079
2020-03-24,4.5861
2020-03-25,4.10603
2020-03-26,4.19659
2020-03-27,3.75993
2020-03-28,3.77234
2020-03-29,3.81452
2020-03-30,4.54269
2020-03-31,4.21147
2020-04-01,4.01796
2020-04-02,4.20899
2020-04-03,4.14697
2020-04-04,3.81824
2020-04-05,3.95221
2020-04-06,4.84661
2020-04-07,4.61339
2020-04-08,4.53276
2020-04-09,4.33925
2020-04-10,4.22016
2020-04-11,3.86041
2020-04-12,3.70659
2020-04-13,4.72876
2020-04-14,4.17302
2020-04-15,3.45229
2020-04-16,4.52284
2020-04-17,4.33552
2020-04-18,3.84305
2020-04-19,4.02912
2020-04-20,5.50779
2020-04-21,5.10339
2020-04-22,4.71387
2020-04-23,4.42236
2020-04-24,4.31816
2020-04-25,3.96338
2020-04-26,3.90259
2020-04-27,5.41103
2020-04-28,5.10835
2020-04-29,4.64441
2020-04-30,3.2166
2020-05-01,3.54409
2020-05-02,3.52052
2020-05-03,3.81328
2020-05-04,4.61712
2020-05-05,3.45725
2020-05-06,4.91359
2020-05-07,5.04013
2020-05-08,4.58238
2020-05-09,3.93733
2020-05-10,4.05269
2020-05-11,5.25473
2020-05-12,4.67914
2020-05-13,4.54269
2020-05-14,4.36778
2020-05-15,4.01175
2020-05-16,3.55773
2020-05-17,3.68302
2020-05-18,4.54641
2020-05-19,4.65557
2020-05-20,4.3715
2020-05-21,4.06386
2020-05-22,3.64085
2020-05-23,3.32948
2020-05-24,4.59479
2020-05-25,6.42824
2020-05-26,4.74241
2020-05-27,3.75373
2020-05-28,4.55013
2020-05-29,3.2687
2020-05-30,3.0268
2020-05-31,3.76117
2020-06-01,7.26061
2020-06-02,8.75417
2020-06-03,8.10911
2020-06-04,4.56874
2020-06-05,3.97578
2020-06-06,4.09611
2020-06-07,3.9857
2020-06-08,4.828
2020-06-09,8.74176
2020-06-10,20.9321
2020-06-11,22.81021
2020-06-12,20.38132
2020-06-13,17.30986
2020-06-14,14.62295
2020-06-15,18.84187
2020-06-16,17.16844
2020-06-17,15.92671
2020-06-18,15.96888
2020-06-19,18.02686
2020-06-20,18.45111
2020-06-21,16.22194
2020-06-22,17.37436
2020-06-23,22.67624
2020-06-24,25.87796
2020-06-25,25.49216
2020-06-26,28.15798
2020-06-27,31.98615
2020-06-28,23.76291
2020-06-29,25.98588
2020-06-30,30.87839
2020-07-01,61.75554
2020-07-02,52.92694
2020-07-03,48.15104
2020-07-04,46.66244
2020-07-05,34.71524
2020-07-06,38.36229
2020-07-07,37.40587
2020-07-08,40.61751
2020-07-09,39.99727
2020-07-10,43.74728
2020-07-11,48.89906
2020-07-12,42.68666
2020-07-13,39.18846
2020-07-14,41.01199
2020-07-15,42.71395
2020-07-16,41.32956
2020-07-17,47.76152
2020-07-18,51.78197
2020-07-19,43.82419
2020-07-20,43.98546
2020-07-21,43.31683
2020-07-22,42.74
2020-07-23,38.05589
2020-07-24,47.53947
2020-07-25,51.29073
2020-07-26,44.40722
2020-07-27,41.0306
2020-07-28,41.54912
2020-07-29,41.49826
2020-07-30,42.9298
2020-07-31,48.69437
2020-08-01,49.05784
2020-08-02,38.94285
2020-08-03,40.4364
2020-08-04,45.13415
2020-08-05,44.21991
2020-08-06,43.83908
2020-08-07,49.23275
2020-08-08,50.58117
2020-08-09,39.58666
2020-08-10,40.72668
2020-08-11,43.19278
2020-08-12,45.41078
2020-08-13,45.1999
2020-08-14,51.36516
2020-08-15,52.20746
2020-08-16,49.2712
2020-08-17,39.53084
2020-08-18,43.13944
2020-08-19,34.4783
2020-08-20,34.19671
2020-08-21,36.0314
2020-08-22,37.99635
2020-08-23,30.70844
2020-08-24,38.43548
2020-08-25,37.84253
2020-08-26,38.38834
2020-08-27,38.69599
