date,FUND
2020-03-20,62.52045
2020-03-21,39.77086
2020-03-22,37.97054
2020-03-23,65.95744
2020-03-24,65.30278
2020-03-25,64.97545
2020-03-26,62.02945
2020-03-27,57.28314
2020-03-28,44.35351
2020-03-29,44.18985
2020-03-30,57.61047
2020-03-31,56.95581
2020-04-01,58.10147
2020-04-02,67.43044
2020-04-03,61.21112
2020-04-04,32.07855
2020-04-05,38.29787
2020-04-06,57.9378
2020-04-07,65.63011
2020-04-08,59.24713
2020-04-09,63.01145
2020-04-10,52.70049
2020-04-11,34.69721
2020-04-12,39.1162
2020-04-13,59.57446
2020-04-14,59.24713
2020-04-15,52.37315
2020-04-16,66.61211
2020-04-17,59.4108
2020-04-18,39.44353
2020-04-19,39.77086
2020-04-20,65.46644
2020-04-21,62.52045
2020-04-22,61.53846
2020-04-23,60.39279
2020-04-24,81.34206
2020-04-25,41.57119
2020-04-26,43.20785
2020-04-27,62.84779
2020-04-28,59.4108
2020-04-29,45.33551
2020-04-30,41.73486
2020-05-01,45.82651
2020-05-02,32.40589
2020-05-03,33.55155
2020-05-04,44.02618
2020-05-05,37.6432
2020-05-06,54.50081
2020-05-07,58.59247
2020-05-08,49.59083
2020-05-09,32.89689
2020-05-10,32.40589
2020-05-11,51.22749
2020-05-12,49.59083
2020-05-13,51.88216
2020-05-14,53.68248
2020-05-15,45.17184
2020-05-16,31.09656
2020-05-17,29.29623
2020-05-18,58.9198
2020-05-19,54.66448
2020-05-20,50.40916
2020-05-21,53.35515
2020-05-22,40.58919
2020-05-23,34.20621
2020-05-24,29.9509
2020-05-25,48.44517
2020-05-26,56.46481
2020-05-27,49.09983
2020-05-28,48.44517
2020-05-29,41.73486
2020-05-30,28.80523
2020-05-31,31.42389
2020-06-01,53.19148
2020-06-02,52.20949
2020-06-03,48.2815
2020-06-04,48.44517
2020-06-05,41.73486
2020-06-06,31.58756
2020-06-07,31.91489
2020-06-08,50.57283
2020-06-09,50.08183
2020-06-10,52.04582
2020-06-11,46.64484
2020-06-12,40.42553
2020-06-13,30.93289
2020-06-14,29.29623
2020-06-15,45.82651
2020-06-16,43.86252
2020-06-17,48.44517
2020-06-18,44.18985
2020-06-19,36.49754
2020-06-20,29.62356
2020-06-21,29.62356
2020-06-22,42.71685
2020-06-23,45.00818
2020-06-24,42.22585
2020-06-25,48.44517
2020-06-26,33.55155
2020-06-27,21.93126
2020-06-28,22.09492
2020-06-29,33.22422
2020-06-30,34.86088
2020-07-01,35.18821
2020-07-02,34.53355
2020-07-03,35.18821
2020-07-04,22.42225
2020-07-05,31.42389
2020-07-06,43.86252
2020-07-07,45.66284
2020-07-08,45.00818
2020-07-09,47.2995
