date,여성창업지원센터
2020-03-20,53.80434
2020-03-21,41.0326
2020-03-22,46.19565
2020-03-23,54.61956
2020-03-24,63.04347
2020-03-25,62.77173
2020-03-26,65.76086
2020-03-27,55.16304
2020-03-28,34.7826
2020-03-29,44.02173
2020-03-30,72.82608
2020-03-31,70.10869
2020-04-01,62.77173
2020-04-02,55.43478
2020-04-03,50.27173
2020-04-04,42.11956
2020-04-05,39.40217
2020-04-06,64.40217
2020-04-07,65.48913
2020-04-08,55.43478
2020-04-09,60.59782
2020-04-10,44.83695
2020-04-11,37.5
2020-04-12,48.36956
2020-04-13,73.6413
2020-04-14,51.90217
2020-04-15,43.75
2020-04-16,57.88043
2020-04-17,60.05434
2020-04-18,34.23913
2020-04-19,40.21739
2020-04-20,81.79347
2020-04-21,67.66304
2020-04-22,69.56521
2020-04-23,69.83695
2020-04-24,51.90217
2020-04-25,39.67391
2020-04-26,40.21739
2020-04-27,70.10869
2020-04-28,65.21739
2020-04-29,64.40217
2020-04-30,53.26086
2020-05-01,47.82608
2020-05-02,36.68478
2020-05-03,45.10869
2020-05-04,48.36956
2020-05-05,51.08695
2020-05-06,77.44565
2020-05-07,66.57608
2020-05-08,64.94565
2020-05-09,38.85869
2020-05-10,42.93478
2020-05-11,77.98913
2020-05-12,77.98913
2020-05-13,63.31521
2020-05-14,68.47826
2020-05-15,59.23913
2020-05-16,45.10869
2020-05-17,48.6413
2020-05-18,70.38043
2020-05-19,64.13043
2020-05-20,73.09782
2020-05-21,84.23913
2020-05-22,52.98913
2020-05-23,46.46739
2020-05-24,42.3913
2020-05-25,79.07608
2020-05-26,67.93478
2020-05-27,61.95652
2020-05-28,60.05434
2020-05-29,46.73913
2020-05-30,22.82608
2020-05-31,30.70652
2020-06-01,60.86956
2020-06-02,63.04347
2020-06-03,51.63043
2020-06-04,53.80434
2020-06-05,49.45652
2020-06-06,27.71739
2020-06-07,38.85869
2020-06-08,52.17391
2020-06-09,59.51086
2020-06-10,54.07608
2020-06-11,60.05434
2020-06-12,43.75
2020-06-13,38.85869
2020-06-14,34.7826
2020-06-15,67.11956
2020-06-16,64.13043
2020-06-17,64.13043
2020-06-18,61.68478
2020-06-19,47.82608
2020-06-20,35.32608
2020-06-21,36.68478
2020-06-22,63.85869
2020-06-23,51.08695
2020-06-24,63.31521
2020-06-25,52.17391
2020-06-26,48.91304
2020-06-27,35.05434
2020-06-28,44.56521
2020-06-29,81.79347
2020-06-30,68.47826
2020-07-01,77.71739
2020-07-02,71.46739
2020-07-03,55.43478
2020-07-04,39.67391
2020-07-05,40.21739
2020-07-06,66.30434
2020-07-07,65.48913
2020-07-08,61.68478
2020-07-09,63.58695
2020-07-10,53.80434
2020-07-11,32.88043
2020-07-12,38.31521
2020-07-13,62.22826
2020-07-14,65.21739
2020-07-15,67.3913
2020-07-16,54.34782
2020-07-17,53.80434
2020-07-18,42.3913
2020-07-19,41.84782
2020-07-20,66.84782
2020-07-21,64.40217
2020-07-22,70.65217
2020-07-23,56.25
2020-07-24,56.79347
2020-07-25,38.31521
2020-07-26,37.22826
2020-07-27,69.29347
2020-07-28,76.90217
2020-07-29,59.7826
2020-07-30,57.60869
2020-07-31,57.88043
2020-08-01,38.85869
