date,퇴직연금담보대출
2020-03-20,7.5818
2020-03-21,3.8308
2020-03-22,4.30965
2020-03-23,8.45969
2020-03-24,6.06544
2020-03-25,7.50199
2020-03-26,5.50678
2020-03-27,3.91061
2020-03-28,2.31444
2020-03-29,1.83559
2020-03-30,5.18754
2020-03-31,4.30965
2020-04-01,3.8308
2020-04-02,5.7462
2020-04-03,3.67118
2020-04-04,1.19712
2020-04-05,1.99521
2020-04-06,4.54908
2020-04-07,4.22984
2020-04-08,4.15003
2020-04-09,5.26735
2020-04-10,4.22984
2020-04-11,2.47406
2020-04-12,2.31444
2020-04-13,5.02793
2020-04-14,5.50678
2020-04-15,1.9154
2020-04-16,3.59138
2020-04-17,4.62889
2020-04-18,2.15482
2020-04-19,1.67597
2020-04-20,4.07023
2020-04-21,4.30965
2020-04-22,5.18754
2020-04-23,5.90582
2020-04-24,2.71348
2020-04-25,1.27693
2020-04-26,1.11731
2020-04-27,7.02314
2020-04-28,6.22505
2020-04-29,5.10774
2020-04-30,1.75578
2020-05-01,2.71348
2020-05-02,1.19712
2020-05-03,2.47406
2020-05-04,5.50678
2020-05-05,2.79329
2020-05-06,8.14046
2020-05-07,4.62889
2020-05-08,3.59138
2020-05-09,1.83559
2020-05-10,1.59616
2020-05-11,6.86352
2020-05-12,5.42697
2020-05-13,5.50678
2020-05-14,4.46927
2020-05-15,3.67118
2020-05-16,1.9154
2020-05-17,2.79329
2020-05-18,5.50678
2020-05-19,5.90582
2020-05-20,5.82601
2020-05-21,5.34716
2020-05-22,4.70869
2020-05-23,2.95291
2020-05-24,1.83559
2020-05-25,7.50199
2020-05-26,6.46448
2020-05-27,5.42697
2020-05-28,4.38946
2020-05-29,4.46927
2020-05-30,1.99521
2020-05-31,2.31444
2020-06-01,7.42218
2020-06-02,6.30486
2020-06-03,7.10295
2020-06-04,6.30486
2020-06-05,5.26735
2020-06-06,2.39425
2020-06-07,39.50518
2020-06-08,100.0
2020-06-09,27.05506
2020-06-10,20.43096
2020-06-11,15.96169
2020-06-12,12.68954
2020-06-13,6.46448
2020-06-14,8.30007
2020-06-15,16.9992
2020-06-16,14.76456
2020-06-17,11.09337
2020-06-18,11.01356
2020-06-19,10.13567
2020-06-20,4.54908
2020-06-21,5.50678
