date,KODEX2차전지핵심소재10FN
2023-06-30,0.65061
2023-07-02,0.3253
2023-07-03,2.73259
2023-07-04,16.07026
2023-07-05,17.56668
2023-07-06,29.86337
2023-07-07,30.96942
2023-07-08,15.67989
2023-07-09,16.20039
2023-07-10,48.73129
2023-07-11,44.37215
2023-07-12,32.98633
2023-07-13,38.64671
2023-07-14,26.48015
2023-07-15,9.95445
2023-07-16,7.35198
2023-07-17,25.76447
2023-07-18,48.27586
2023-07-19,50.35783
2023-07-20,42.81067
2023-07-21,43.72153
2023-07-22,10.80026
2023-07-23,8.91346
2023-07-24,52.24463
2023-07-25,76.05725
2023-07-26,100.0
2023-07-27,74.69095
2023-07-28,56.34352
2023-07-29,10.67013
2023-07-30,7.74235
2023-07-31,57.44957
2023-08-01,47.6903
2023-08-02,38.71177
2023-08-03,37.41054
2023-08-04,25.3741
2023-08-05,5.59531
2023-08-06,4.61938
2023-08-07,30.12361
2023-08-08,34.02732
2023-08-09,29.34287
2023-08-10,27.45608
2023-08-11,23.09694
2023-08-12,2.60247
2023-08-13,3.38321
2023-08-14,20.03903
2023-08-15,2.86271
2023-08-16,19.77878
2023-08-17,24.26805
2023-08-18,16.851
2023-08-19,2.73259
2023-08-20,2.14703
2023-08-21,20.10409
2023-08-22,19.19323
2023-08-23,13.72804
2023-08-24,17.89199
2023-08-25,19.19323
2023-08-26,2.01691
2023-08-27,2.14703
2023-08-28,18.99804
2023-08-29,16.46063
2023-08-30,17.24137
2023-08-31,15.02927
2023-09-01,13.01236
2023-09-02,1.95185
2023-09-03,1.30123
2023-09-04,16.91607
2023-09-05,16.26545
2023-09-06,15.81001
2023-09-07,14.44372
2023-09-08,13.01236
2023-09-09,2.01691
2023-09-10,1.62654
2023-09-11,12.29668
2023-09-12,12.23162
2023-09-13,12.29668
2023-09-14,13.2726
2023-09-15,13.7931
2023-09-16,1.75666
2023-09-17,1.36629
2023-09-18,9.62914
2023-09-19,10.40988
2023-09-20,9.82433
2023-09-21,8.52309
2023-09-22,7.54716
2023-09-23,1.04098
2023-09-24,0.65061
2023-09-25,10.2147
2023-09-26,8.71828
2023-09-27,6.96161
2023-09-28,0.78074
2023-09-29,0.52049
2023-09-30,0.39037
2023-10-01,0.65061
2023-10-02,0.39037
2023-10-04,7.80741
2023-10-05,9.75927
2023-10-06,8.8484
2023-10-07,1.23617
2023-10-08,0.3253
2023-10-09,0.58555
2023-10-10,7.35198
2023-10-11,11.51594
2023-10-12,12.29668
2023-10-13,7.67729
2023-10-14,1.56148
2023-10-15,0.65061
2023-10-16,7.28692
2023-10-17,8.52309
2023-10-18,7.67729
2023-10-19,5.27
2023-10-20,6.18087
2023-10-21,0.8458
2023-10-22,1.36629
2023-10-23,6.05074
2023-10-24,7.80741
2023-10-25,8.52309
2023-10-26,8.52309
2023-10-27,6.70136
2023-10-28,0.97592
2023-10-29,1.04098
2023-10-30,6.57124
2023-10-31,7.09173
2023-11-01,6.96161
2023-11-02,9.43396
2023-11-03,10.54001
2023-11-04,1.30123
2023-11-05,1.49642
2023-11-06,22.70657
2023-11-07,18.34743
2023-11-08,13.85816
2023-11-09,9.95445
2023-11-10,8.8484
2023-11-11,1.17111
2023-11-12,0.97592
2023-11-13,8.45803
2023-11-14,8.97852
2023-11-15,9.95445
2023-11-16,9.88939
2023-11-17,8.06766
2023-11-18,1.04098
2023-11-19,0.71567
2023-11-20,9.82433
2023-11-21,9.3689
2023-11-22,6.89655
2023-11-23,9.23877
2023-11-24,8.0026
2023-11-25,0.91086
2023-11-26,1.17111
2023-11-27,7.74235
2023-11-28,8.06766
2023-11-29,7.54716
2023-11-30,9.56408
2023-12-01,7.41704
2023-12-02,1.6916
2023-12-03,2.14703
2023-12-04,12.16655
2023-12-05,10.86532
2023-12-06,8.71828
2023-12-07,8.26284
2023-12-08,9.49902
2023-12-09,1.43135
2023-12-10,0.8458
2023-12-11,7.61223
2023-12-12,10.2147
2023-12-13,9.3689
2023-12-14,9.23877
2023-12-15,10.67013
2023-12-16,1.23617
2023-12-17,1.56148
2023-12-18,11.97137
2023-12-19,11.45087
2023-12-20,9.49902
2023-12-21,9.56408
2023-12-22,8.26284
2023-12-23,1.10605
2023-12-24,0.45543
2023-12-25,0.97592
2023-12-26,8.13272
2023-12-27,10.54001
2023-12-28,9.56408
2023-12-29,3.83864
2023-12-30,0.91086
2023-12-31,0.91086
2024-01-01,0.91086
2024-01-02,8.26284
2024-01-03,9.75927
2024-01-04,11.25569
2024-01-05,10.14964
2024-01-06,1.49642
2024-01-07,0.65061
2024-01-08,9.23877
2024-01-09,9.23877
2024-01-10,7.28692
2024-01-11,7.28692
2024-01-12,7.28692
2024-01-13,0.71567
2024-01-14,0.39037
2024-01-15,7.28692
2024-01-16,9.30383
2024-01-17,7.15679
2024-01-18,10.67013
2024-01-19,9.17371
2024-01-20,0.45543
2024-01-21,0.65061
2024-01-22,15.67989
2024-01-23,10.60507
2024-01-24,9.95445
2024-01-25,9.6942
2024-01-26,10.93038
2024-01-27,1.30123
2024-01-28,0.91086
2024-01-29,9.95445
2024-01-30,10.47495
2024-01-31,7.80741
2024-02-01,10.2147
2024-02-02,9.49902
2024-02-03,1.36629
2024-02-04,0.58555
2024-02-05,10.08458
2024-02-06,7.74235
2024-02-07,10.08458
2024-02-08,10.86532
2024-02-09,0.78074
2024-02-10,0.52049
2024-02-11,0.97592
2024-02-12,0.8458
2024-02-13,12.10149
2024-02-14,9.62914
2024-02-15,10.73519
2024-02-16,10.67013
2024-02-17,0.91086
2024-02-18,0.39037
2024-02-19,8.91346
2024-02-20,9.82433
2024-02-21,9.30383
2024-02-22,8.19778
2024-02-23,7.54716
2024-02-24,1.43135
2024-02-25,0.52049
2024-02-26,8.32791
2024-02-27,7.35198
2024-02-28,8.26284
2024-02-29,7.61223
2024-03-01,1.49642
2024-03-02,0.45543
2024-03-03,0.71567
2024-03-04,8.8484
2024-03-05,8.52309
2024-03-06,7.80741
2024-03-07,10.60507
2024-03-08,10.54001
2024-03-09,1.10605
2024-03-10,0.71567
2024-03-11,9.04359
2024-03-12,12.68705
2024-03-13,8.52309
2024-03-14,9.17371
2024-03-15,7.35198
2024-03-16,0.52049
2024-03-17,0.3253
2024-03-18,6.83148
2024-03-19,7.4821
2024-03-20,8.0026
