date,양도
2020-11-08,27.12585
2020-11-09,51.44557
2020-11-10,53.14625
2020-11-11,50.17006
2020-11-12,52.04081
2020-11-13,46.08843
2020-11-14,29.5068
2020-11-15,31.37755
2020-11-16,49.91496
2020-11-17,51.36054
2020-11-18,52.55102
2020-11-19,48.29931
2020-11-20,48.04421
2020-11-21,31.03741
2020-11-22,28.48639
2020-11-23,52.46598
2020-11-24,50.68027
2020-11-25,50.59523
2020-11-26,60.45918
2020-11-27,48.55442
2020-11-28,31.46258
2020-11-29,29.33673
2020-11-30,50.85034
2020-12-01,56.29251
2020-12-02,52.97619
2020-12-03,49.91496
2020-12-04,50.59523
2020-12-05,33.67346
2020-12-06,30.35714
2020-12-07,52.97619
2020-12-08,52.97619
2020-12-09,53.82653
2020-12-10,54.42176
2020-12-11,50.17006
2020-12-12,33.7585
2020-12-13,33.92857
2020-12-14,60.37414
2020-12-15,59.35374
2020-12-16,52.21088
2020-12-17,53.65646
2020-12-18,49.23469
2020-12-19,31.54761
2020-12-20,32.56802
2020-12-21,61.30952
2020-12-22,56.37755
2020-12-23,56.97278
2020-12-24,48.04421
2020-12-25,28.40136
2020-12-26,29.67687
2020-12-27,31.12244
2020-12-28,57.65306
2020-12-29,56.80272
2020-12-30,58.24829
2020-12-31,44.04761
2021-01-01,32.14285
2021-01-02,30.18707
2021-01-03,32.48299
2021-01-04,52.04081
2021-01-05,57.65306
2021-01-06,60.88435
2021-01-07,57.39795
2021-01-08,48.97959
2021-01-09,33.58843
2021-01-10,35.03401
2021-01-11,57.48299
2021-01-12,59.94897
2021-01-13,59.94897
2021-01-14,55.017
2021-01-15,60.96938
2021-01-16,38.0102
2021-01-17,38.43537
2021-01-18,63.86054
2021-01-19,66.92176
2021-01-20,59.0136
2021-01-21,63.2653
2021-01-22,59.09863
2021-01-23,39.20068
2021-01-24,34.18367
2021-01-25,60.71428
2021-01-26,57.82312
2021-01-27,60.71428
2021-01-28,62.24489
2021-01-29,50.59523
2021-01-30,34.43877
2021-01-31,31.97278
2021-02-01,58.58843
2021-02-02,55.78231
2021-02-03,53.91156
2021-02-04,55.78231
2021-02-05,51.61564
2021-02-06,31.20748
2021-02-07,31.80272
2021-02-08,58.92857
2021-02-09,53.40136
2021-02-10,46.7687
2021-02-11,30.18707
2021-02-12,25.34013
2021-02-13,31.20748
2021-02-14,33.24829
