date,자동차보험료1년
2020-03-20,46.63212
2020-03-21,34.19689
2020-03-22,33.33333
2020-03-23,56.13126
2020-03-24,55.2677
2020-03-25,57.85837
2020-03-26,50.25906
2020-03-27,48.18652
2020-03-28,35.06044
2020-03-29,35.06044
2020-03-30,57.85837
2020-03-31,55.78583
2020-04-01,51.46804
2020-04-02,51.64075
2020-04-03,50.25906
2020-04-04,36.78756
2020-04-05,33.67875
2020-04-06,61.65803
2020-04-07,54.57685
2020-04-08,51.46804
2020-04-09,54.92227
2020-04-10,55.2677
2020-04-11,37.65112
2020-04-12,41.10535
2020-04-13,58.03108
2020-04-14,57.85837
2020-04-15,39.20552
2020-04-16,54.92227
2020-04-17,60.96718
2020-04-18,30.22452
2020-04-19,42.31433
2020-04-20,63.03972
2020-04-21,56.99481
2020-04-22,64.42141
2020-04-23,54.23143
2020-04-24,54.57685
2020-04-25,36.26943
2020-04-26,42.65975
2020-04-27,63.03972
2020-04-28,53.88601
2020-04-29,54.23143
2020-04-30,38.68739
2020-05-01,34.54231
2020-05-02,31.26079
2020-05-03,36.96027
2020-05-04,55.61312
2020-05-05,47.8411
2020-05-06,57.85837
2020-05-07,61.3126
2020-05-08,45.07772
2020-05-09,35.75129
2020-05-10,37.99654
2020-05-11,64.42141
2020-05-12,62.52158
2020-05-13,62.34887
2020-05-14,46.97754
2020-05-15,59.93091
2020-05-16,31.26079
2020-05-17,36.96027
2020-05-18,62.52158
2020-05-19,58.54922
2020-05-20,65.28497
2020-05-21,59.58549
2020-05-22,51.12262
2020-05-23,27.80656
2020-05-24,39.03281
2020-05-25,61.13989
2020-05-26,56.13126
2020-05-27,57.34024
2020-05-28,55.78583
2020-05-29,45.42314
2020-05-30,33.85146
2020-05-31,37.99654
2020-06-01,57.85837
2020-06-02,63.90328
2020-06-03,51.12262
2020-06-04,51.81347
2020-06-05,47.49568
2020-06-06,33.16062
2020-06-07,37.30569
2020-06-08,59.7582
2020-06-09,58.37651
2020-06-10,56.13126
2020-06-11,55.44041
2020-06-12,49.56822
2020-06-13,32.81519
2020-06-14,38.51468
2020-06-15,58.89464
2020-06-16,56.47668
2020-06-17,60.10362
2020-06-18,48.01381
2020-06-19,51.29533
2020-06-20,33.50604
2020-06-21,39.55094
2020-06-22,61.65803
2020-06-23,60.27633
2020-06-24,49.56822
2020-06-25,51.46804
2020-06-26,42.65975
2020-06-27,32.64248
2020-06-28,36.61485
2020-06-29,58.03108
2020-06-30,54.74956
2020-07-01,57.85837
2020-07-02,49.91364
2020-07-03,51.46804
2020-07-04,31.26079
2020-07-05,37.47841
2020-07-06,63.73056
2020-07-07,51.12262
2020-07-08,55.09499
2020-07-09,42.65975
2020-07-10,45.59585
2020-07-11,34.71502
2020-07-12,32.46977
2020-07-13,54.05872
2020-07-14,62.00345
2020-07-15,53.54058
2020-07-16,50.08635
2020-07-17,41.96891
2020-07-18,36.44214
2020-07-19,33.85146
2020-07-20,57.34024
2020-07-21,60.10362
2020-07-22,51.64075
2020-07-23,53.19516
2020-07-24,45.42314
2020-07-25,30.22452
2020-07-26,29.53367
2020-07-27,51.29533
2020-07-28,60.79447
2020-07-29,50.94991
2020-07-30,48.35924
2020-07-31,48.87737
2020-08-01,28.67012
