date,배당금상위종목
2020-03-20,7.0707
2020-03-21,4.7926
2020-03-22,4.31979
2020-03-23,7.86589
2020-03-24,5.97464
2020-03-25,7.26413
2020-03-26,6.89877
2020-03-27,6.08209
2020-03-28,4.19084
2020-03-29,2.94433
2020-03-30,5.63077
2020-03-31,5.97464
2020-04-01,5.58779
2020-04-02,5.99613
2020-04-03,5.91016
2020-04-04,3.88996
2020-04-05,4.68514
2020-04-06,5.39436
2020-04-07,5.63077
2020-04-08,5.82419
2020-04-09,5.37287
2020-04-10,6.08209
2020-04-11,4.23382
2020-04-12,3.50311
2020-04-13,6.18955
2020-04-14,6.01762
2020-04-15,3.2882
2020-04-16,5.13647
2020-04-17,5.58779
2020-04-18,3.67504
2020-04-19,3.56759
2020-04-20,4.51321
2020-04-21,4.92155
2020-04-22,6.03911
2020-04-23,6.10358
2020-04-24,5.20094
2020-04-25,3.22372
2020-04-26,3.22372
2020-04-27,4.21233
2020-04-28,4.34128
2020-04-29,4.06189
2020-04-30,2.57898
2020-05-01,1.93423
2020-05-02,1.43993
2020-05-03,2.04169
2020-05-04,3.5246
2020-05-05,2.32108
2020-05-06,2.47152
2020-05-07,2.94433
2020-05-08,3.05179
2020-05-09,2.2566
2020-05-10,1.59037
2020-05-11,2.10616
2020-05-12,3.13776
2020-05-13,3.15925
2020-05-14,3.65355
2020-05-15,2.08467
2020-05-16,1.65484
2020-05-17,1.65484
2020-05-18,2.53599
2020-05-19,3.91145
2020-05-20,3.73952
2020-05-21,3.09477
2020-05-22,3.48162
2020-05-23,2.0202
2020-05-24,1.80528
2020-05-25,2.92284
2020-05-26,3.30969
2020-05-27,3.80399
2020-05-28,3.54609
2020-05-29,2.85837
2020-05-30,1.82677
2020-05-31,1.63335
2020-06-01,2.7724
2020-06-02,4.49172
2020-06-03,3.91145
2020-06-04,3.88996
2020-06-05,3.58908
2020-06-06,1.91274
2020-06-07,2.19213
2020-06-08,3.39565
2020-06-09,3.84698
2020-06-10,3.88996
2020-06-11,3.35267
2020-06-12,3.69653
2020-06-13,1.91274
2020-06-14,1.61186
2020-06-15,3.30969
2020-06-16,2.98732
2020-06-17,3.7825
2020-06-18,3.71803
2020-06-19,2.87986
2020-06-20,1.54738
2020-06-21,1.48291
2020-06-22,2.72942
2020-06-23,2.45003
