date,AI주식
2020-03-20,2.78024
2020-03-21,2.24785
2020-03-22,2.307
2020-03-23,3.01685
2020-03-24,3.43093
2020-03-25,3.19432
2020-03-26,3.22389
2020-03-27,3.13516
2020-03-28,2.80981
2020-03-29,1.77462
2020-03-30,2.66193
2020-03-31,2.48447
2020-04-01,2.48447
2020-04-02,2.72108
2020-04-03,2.24785
2020-04-04,2.07039
2020-04-05,1.33096
2020-04-06,2.12954
2020-04-07,3.19432
2020-04-08,2.78024
2020-04-09,2.07039
2020-04-10,2.12954
2020-04-11,1.56758
2020-04-12,1.538
2020-04-13,2.15912
2020-04-14,2.04081
2020-04-15,1.77462
2020-04-16,2.33658
2020-04-17,2.21827
2020-04-18,2.27743
2020-04-19,2.60278
2020-04-20,2.89855
2020-04-21,1.80419
2020-04-22,2.75066
2020-04-23,2.72108
2020-04-24,1.98166
2020-04-25,1.538
2020-04-26,1.538
2020-04-27,2.48447
2020-04-28,2.21827
2020-04-29,1.95208
2020-04-30,1.03519
2020-05-01,1.12392
2020-05-02,0.82815
2020-05-03,1.00561
2020-05-04,1.09435
2020-05-05,1.09435
2020-05-06,2.09997
2020-05-07,2.42531
2020-05-08,2.09997
2020-05-09,1.68589
2020-05-10,2.307
2020-05-11,1.9225
2020-05-12,1.538
2020-05-13,1.30139
2020-05-14,1.80419
2020-05-15,1.83377
2020-05-16,0.82815
2020-05-17,1.41969
2020-05-18,1.50842
2020-05-19,1.83377
2020-05-20,2.01123
2020-05-21,2.60278
2020-05-22,1.9225
2020-05-23,1.59716
2020-05-24,1.62673
2020-05-25,2.1887
2020-05-26,1.74504
2020-05-27,2.39574
2020-05-28,1.68589
2020-05-29,2.307
2020-05-30,1.09435
2020-05-31,1.41969
2020-06-01,2.66193
2020-06-02,2.42531
2020-06-03,2.45489
2020-06-04,2.1887
2020-06-05,2.36616
2020-06-06,1.59716
2020-06-07,1.89293
2020-06-08,2.39574
2020-06-09,1.36054
2020-06-10,2.69151
2020-06-11,1.74504
2020-06-12,2.51404
2020-06-13,1.36054
2020-06-14,1.36054
2020-06-15,1.36054
2020-06-16,2.01123
2020-06-17,1.44927
2020-06-18,2.33658
2020-06-19,1.74504
2020-06-20,0.97604
2020-06-21,1.1535
2020-06-22,1.47885
2020-06-23,2.72108
2020-06-24,1.95208
2020-06-25,1.98166
2020-06-26,1.74504
2020-06-27,0.94646
2020-06-28,1.33096
2020-06-29,1.56758
2020-06-30,1.77462
2020-07-01,1.89293
2020-07-02,1.538
2020-07-03,1.50842
2020-07-04,1.12392
2020-07-05,1.39012
2020-07-06,2.54362
2020-07-07,2.07039
2020-07-08,2.24785
2020-07-09,1.89293
2020-07-10,1.62673
2020-07-11,0.94646
2020-07-12,1.80419
2020-07-13,2.07039
2020-07-14,2.45489
2020-07-15,2.63235
2020-07-16,1.95208
2020-07-17,1.62673
2020-07-18,0.94646
2020-07-19,0.94646
2020-07-20,1.77462
2020-07-21,1.77462
2020-07-22,2.1887
2020-07-23,2.09997
2020-07-24,1.50842
2020-07-25,1.30139
2020-07-26,1.47885
2020-07-27,2.27743
2020-07-28,2.33658
2020-07-29,2.15912
2020-07-30,1.9225
2020-07-31,2.27743
2020-08-01,1.538
2020-08-02,1.89293
