date,대덕전자주가
2020-03-20,2.94904
2020-03-21,0.31058
2020-03-22,0.29521
2020-03-23,2.51237
2020-03-24,2.82911
2020-03-25,2.92751
2020-03-26,3.2627
2020-03-27,3.07512
2020-03-28,0.38746
2020-03-29,0.24601
2020-03-30,2.77683
2020-03-31,4.30825
2020-04-01,4.05916
2020-04-02,3.45336
2020-04-03,3.77317
2020-04-04,0.38746
2020-04-05,0.30751
2020-04-06,4.44048
2020-04-07,4.80334
2020-04-08,4.25289
2020-04-09,3.93001
2020-04-10,3.08742
2020-04-11,0.36286
2020-04-12,0.29521
2020-04-13,3.25348
2020-04-14,3.06282
2020-04-15,0.43974
2020-04-16,3.04744
2020-04-17,3.73935
2020-04-18,0.46434
2020-04-19,0.31981
2020-04-20,3.20428
2020-04-21,3.04437
2020-04-22,3.20735
2020-04-23,3.56407
2020-04-24,3.17352
2020-04-25,0.33211
2020-04-26,0.21218
2020-04-27,3.00747
2020-04-28,2.23561
2020-04-29,1.2854
2020-04-30,0.25523
2020-05-01,0.19988
2020-05-02,0.11992
2020-05-03,0.10455
2020-05-04,0.95943
2020-05-05,0.18758
2020-05-06,1.21774
2020-05-07,0.75955
2020-05-08,0.63347
2020-05-09,0.1845
2020-05-10,0.16298
2020-05-11,0.67652
2020-05-12,0.61194
2020-05-13,0.67037
2020-05-14,0.50124
2020-05-15,0.56889
2020-05-16,0.13838
2020-05-17,0.13838
2020-05-18,0.56582
2020-05-19,0.68882
2020-05-20,0.97481
2020-05-21,7.17119
2020-05-22,4.22214
2020-05-23,0.51969
2020-05-24,0.41514
2020-05-25,3.64709
2020-05-26,3.67169
2020-05-27,3.76395
2020-05-28,3.19505
2020-05-29,3.28115
2020-05-30,0.31981
2020-05-31,0.41821
2020-06-01,3.47489
2020-06-02,3.31806
2020-06-03,3.64094
2020-06-04,3.74242
2020-06-05,3.00439
2020-06-06,0.31366
2020-06-07,0.27368
2020-06-08,2.71841
2020-06-09,2.5954
2020-06-10,2.68765
2020-06-11,2.62
2020-06-12,2.14336
2020-06-13,0.22448
2020-06-14,0.19373
2020-06-15,2.33709
2020-06-16,2.58925
2020-06-17,2.30941
2020-06-18,2.73993
2020-06-19,2.38322
2020-06-20,0.21525
2020-06-21,0.17835
2020-06-22,2.0388
2020-06-23,2.17103
2020-06-24,2.40167
2020-06-25,1.83584
2020-06-26,1.8543
2020-06-27,0.20603
2020-06-28,0.11685
2020-06-29,1.47606
2020-06-30,1.74052
2020-07-01,2.08801
2020-07-02,1.93117
2020-07-03,1.64211
2020-07-04,0.16913
2020-07-05,0.15068
2020-07-06,1.88505
2020-07-07,2.86909
2020-07-08,2.44779
2020-07-09,3.12432
2020-07-10,2.22639
2020-07-11,0.15375
2020-07-12,0.12608
2020-07-13,2.30941
2020-07-14,2.81681
2020-07-15,13.44752
2020-07-16,11.45484
2020-07-17,11.77772
2020-07-18,1.81739
2020-07-19,1.90965
2020-07-20,9.91112
2020-07-21,7.37722
2020-07-22,11.92226
2020-07-23,11.43024
2020-07-24,10.39392
2020-07-25,1.55293
2020-07-26,1.34382
2020-07-27,8.7887
2020-07-28,12.17749
2020-07-29,10.33242
2020-07-30,16.46729
