date,CD금리
2020-03-20,32.97461
2020-03-21,9.21633
2020-03-22,9.74061
2020-03-23,32.94701
2020-03-24,30.82229
2020-03-25,29.49779
2020-03-26,32.83664
2020-03-27,27.42825
2020-03-28,7.83664
2020-03-29,7.78145
2020-03-30,24.88962
2020-03-31,24.14459
2020-04-01,22.18543
2020-04-02,22.7649
2020-04-03,18.37748
2020-04-04,5.40838
2020-04-05,5.18763
2020-04-06,18.81898
2020-04-07,18.07395
2020-04-08,17.27373
2020-04-09,19.1777
2020-04-10,14.76269
2020-04-11,4.85651
2020-04-12,4.19426
2020-04-13,15.83885
2020-04-14,14.51434
2020-04-15,4.66335
2020-04-16,20.19867
2020-04-17,15.83885
2020-04-18,4.47019
2020-04-19,4.22185
2020-04-20,15.50772
2020-04-21,13.99006
2020-04-22,15.1766
2020-04-23,14.92825
2020-04-24,12.5
2020-04-25,4.0011
2020-04-26,3.25607
2020-04-27,14.40397
2020-04-28,13.41059
2020-04-29,13.74172
2020-04-30,3.61479
2020-05-01,3.31125
2020-05-02,1.87637
2020-05-03,2.53863
2020-05-04,10.09933
2020-05-05,3.58719
2020-05-06,12.38962
2020-05-07,12.9139
2020-05-08,12.19646
2020-05-09,3.61479
2020-05-10,3.1181
2020-05-11,13.21743
2020-05-12,12.96909
2020-05-13,13.07947
2020-05-14,14.12803
2020-05-15,12.30684
2020-05-16,3.5596
2020-05-17,4.33222
2020-05-18,15.01103
2020-05-19,12.22406
2020-05-20,15.53532
2020-05-21,14.87306
2020-05-22,12.44481
2020-05-23,3.44922
2020-05-24,3.36644
2020-05-25,14.12803
2020-05-26,14.01766
2020-05-27,15.28697
2020-05-28,40.45253
2020-05-29,29.52538
2020-05-30,6.12582
2020-05-31,5.90507
2020-06-01,22.7649
2020-06-02,18.51545
2020-06-03,17.68763
2020-06-04,17.21854
2020-06-05,16.032
2020-06-06,4.96688
2020-06-07,5.16004
2020-06-08,17.99116
2020-06-09,18.12913
2020-06-10,16.66666
2020-06-11,17.74282
