date,벽장식
2020-03-20,72.12121
2020-03-21,71.51515
2020-03-22,73.93939
2020-03-23,77.57575
2020-03-24,73.0303
2020-03-25,77.27272
2020-03-26,83.63636
2020-03-27,80.90909
2020-03-28,75.15151
2020-03-29,75.75757
2020-03-30,71.81818
2020-03-31,66.36363
2020-04-01,80.90909
2020-04-02,79.39393
2020-04-03,79.69696
2020-04-04,73.0303
2020-04-05,83.63636
2020-04-06,78.78787
2020-04-07,80.0
2020-04-08,85.15151
2020-04-09,70.0
2020-04-10,70.30303
2020-04-11,76.96969
2020-04-12,83.93939
2020-04-13,82.12121
2020-04-14,70.30303
2020-04-15,64.24242
2020-04-16,79.0909
2020-04-17,85.75757
2020-04-18,73.93939
2020-04-19,87.87878
2020-04-20,83.33333
2020-04-21,79.69696
2020-04-22,80.90909
2020-04-23,78.18181
2020-04-24,76.66666
2020-04-25,64.54545
2020-04-26,85.45454
2020-04-27,81.21212
2020-04-28,72.72727
2020-04-29,60.0
2020-04-30,61.51515
2020-05-01,55.45454
2020-05-02,66.36363
2020-05-03,66.0606
2020-05-04,65.45454
2020-05-05,66.96969
2020-05-06,62.42424
2020-05-07,49.69696
2020-05-08,48.48484
2020-05-09,62.12121
2020-05-10,60.90909
2020-05-11,58.78787
2020-05-12,53.93939
2020-05-13,55.45454
2020-05-14,53.93939
2020-05-15,69.39393
2020-05-16,61.81818
2020-05-17,64.24242
2020-05-18,61.21212
2020-05-19,58.48484
2020-05-20,53.63636
2020-05-21,61.51515
2020-05-22,49.0909
2020-05-23,50.30303
2020-05-24,59.69696
2020-05-25,59.39393
2020-05-26,48.78787
2020-05-27,50.0
2020-05-28,60.0
2020-05-29,56.96969
2020-05-30,71.81818
2020-05-31,82.42424
2020-06-01,68.48484
2020-06-02,65.75757
2020-06-03,59.0909
2020-06-04,58.18181
2020-06-05,58.48484
2020-06-06,57.87878
2020-06-07,70.30303
2020-06-08,66.36363
2020-06-09,56.0606
2020-06-10,61.51515
2020-06-11,52.72727
2020-06-12,49.69696
2020-06-13,55.45454
2020-06-14,56.96969
2020-06-15,70.30303
2020-06-16,64.24242
2020-06-17,48.48484
2020-06-18,55.75757
2020-06-19,57.27272
2020-06-20,54.24242
2020-06-21,64.54545
2020-06-22,65.15151
2020-06-23,53.33333
2020-06-24,57.57575
2020-06-25,58.48484
2020-06-26,49.39393
2020-06-27,53.63636
2020-06-28,55.75757
2020-06-29,59.0909
2020-06-30,48.48484
2020-07-01,56.96969
2020-07-02,58.48484
2020-07-03,42.12121
2020-07-04,48.48484
2020-07-05,64.54545
2020-07-06,59.0909
2020-07-07,57.57575
2020-07-08,63.0303
2020-07-09,63.93939
2020-07-10,48.78787
2020-07-11,56.96969
2020-07-12,75.15151
2020-07-13,65.15151
2020-07-14,52.72727
2020-07-15,47.27272
2020-07-16,58.78787
2020-07-17,53.63636
2020-07-18,60.90909
2020-07-19,76.96969
2020-07-20,59.69696
2020-07-21,55.15151
2020-07-22,51.21212
2020-07-23,59.39393
2020-07-24,53.0303
2020-07-25,51.51515
2020-07-26,64.24242
2020-07-27,58.48484
2020-07-28,50.90909
2020-07-29,56.0606
2020-07-30,54.84848
2020-07-31,57.57575
2020-08-01,52.12121
2020-08-02,62.72727
