date,태양광사업
2020-03-20,0.29461
2020-03-21,0.21043
2020-03-22,0.24726
2020-03-23,0.31565
2020-03-24,0.28935
2020-03-25,0.26304
2020-03-26,0.40509
2020-03-27,0.31039
2020-03-28,0.22622
2020-03-29,0.26304
2020-03-30,0.3893
2020-03-31,0.37352
2020-04-01,0.40509
2020-04-02,0.3367
2020-04-03,0.3367
2020-04-04,0.28409
2020-04-05,0.32617
2020-04-06,0.43665
2020-04-07,0.62079
2020-04-08,0.46296
2020-04-09,0.38404
2020-04-10,0.32091
2020-04-11,0.29987
2020-04-12,0.24726
2020-04-13,0.32617
2020-04-14,0.57344
2020-04-15,0.33143
2020-04-16,0.53135
2020-04-17,0.42087
2020-04-18,0.28409
2020-04-19,0.21569
2020-04-20,0.41035
2020-04-21,0.39983
2020-04-22,0.4577
2020-04-23,0.38404
2020-04-24,0.32617
2020-04-25,0.22095
2020-04-26,0.26304
2020-04-27,0.56292
2020-04-28,0.39457
2020-04-29,0.363
2020-04-30,0.44718
2020-05-01,0.2683
2020-05-02,0.21043
2020-05-03,0.2683
2020-05-04,0.32617
2020-05-05,0.32091
2020-05-06,0.49978
2020-05-07,0.41035
2020-05-08,0.41561
2020-05-09,0.44191
2020-05-10,0.34196
2020-05-11,0.42613
2020-05-12,0.484
2020-05-13,0.44718
2020-05-14,0.4577
2020-05-15,0.39457
2020-05-16,0.30513
2020-05-17,0.28935
2020-05-18,0.6734
2020-05-19,0.47874
2020-05-20,0.49978
2020-05-21,0.49452
2020-05-22,0.31039
2020-05-23,0.19991
2020-05-24,0.28409
2020-05-25,0.363
2020-05-26,0.37878
2020-05-27,0.45244
2020-05-28,0.52083
2020-05-29,0.32617
2020-05-30,0.2683
2020-05-31,0.22095
2020-06-01,0.56818
2020-06-02,0.37878
2020-06-03,0.32091
2020-06-04,0.484
2020-06-05,0.40509
2020-06-06,0.37878
2020-06-07,0.32091
2020-06-08,0.63131
2020-06-09,0.49452
2020-06-10,0.50505
2020-06-11,0.37878
2020-06-12,0.49452
2020-06-13,0.29461
2020-06-14,0.38404
2020-06-15,0.53135
2020-06-16,0.38404
2020-06-17,0.46822
2020-06-18,0.47348
2020-06-19,0.44191
2020-06-20,0.23674
2020-06-21,0.363
2020-06-22,0.52609
2020-06-23,0.31565
2020-06-24,0.34196
2020-06-25,0.25778
2020-06-26,0.37878
2020-06-27,0.26304
2020-06-28,0.28409
2020-06-29,0.41035
2020-06-30,0.32617
2020-07-01,0.42087
2020-07-02,0.3367
2020-07-03,0.31039
2020-07-04,0.17361
2020-07-05,0.27882
2020-07-06,0.42087
2020-07-07,0.41035
2020-07-08,0.35248
2020-07-09,0.45244
2020-07-10,0.30513
2020-07-11,0.28409
2020-07-12,0.28935
2020-07-13,0.4577
2020-07-14,0.42613
2020-07-15,0.51031
2020-07-16,0.49452
2020-07-17,0.50505
2020-07-18,0.27356
2020-07-19,0.21569
2020-07-20,0.41561
2020-07-21,0.48926
2020-07-22,0.3893
2020-07-23,0.53135
2020-07-24,0.3367
2020-07-25,0.25252
2020-07-26,0.27882
2020-07-27,0.34722
2020-07-28,0.47348
2020-07-29,0.5787
2020-07-30,0.37878
2020-07-31,0.27356
2020-08-01,0.30513
2020-08-02,0.31039
2020-08-03,0.46296
2020-08-04,0.48926
2020-08-05,0.53135
2020-08-06,0.49978
2020-08-07,0.44191
2020-08-08,0.98905
2020-08-09,0.85753
2020-08-10,1.66771
2020-08-11,1.35206
2020-08-12,0.81544
2020-08-13,0.484
2020-08-14,0.25778
2020-08-15,0.31039
2020-08-16,0.37352
2020-08-17,0.47348
2020-08-18,0.55765
2020-08-19,0.46296
2020-08-20,0.30513
2020-08-21,0.35248
2020-08-22,0.27882
2020-08-23,0.28409
2020-08-24,0.41035
2020-08-25,0.49452
2020-08-26,0.53135
2020-08-27,0.44718
2020-08-28,0.44718
2020-08-29,0.23148
2020-08-30,0.242
2020-08-31,0.42087
2020-09-01,0.39457
2020-09-02,0.48926
2020-09-03,0.6734
2020-09-04,0.64183
2020-09-05,0.41035
2020-09-06,0.35774
2020-09-07,0.68392
2020-09-08,0.64183
2020-09-09,0.54713
2020-09-10,0.42087
2020-09-11,0.45244
2020-09-12,0.26304
2020-09-13,0.31565
2020-09-14,0.49452
2020-09-15,0.51031
2020-09-16,0.55765
2020-09-17,0.363
2020-09-18,0.35248
2020-09-19,0.29987
2020-09-20,0.34196
2020-09-21,0.46296
2020-09-22,0.4577
2020-09-23,0.34196
2020-09-24,0.36826
2020-09-25,0.3893
2020-09-26,0.36826
2020-09-27,0.363
2020-09-28,0.42087
2020-09-29,0.363
2020-09-30,0.20517
2020-10-01,0.31565
2020-10-02,0.34196
2020-10-03,0.36826
2020-10-04,0.32617
2020-10-05,0.47874
2020-10-06,0.42087
2020-10-07,0.55765
2020-10-08,0.47348
2020-10-09,0.3893
2020-10-10,0.46296
2020-10-11,0.25252
2020-10-12,0.43139
2020-10-13,0.64183
2020-10-14,0.49978
2020-10-15,0.43665
2020-10-16,0.29987
2020-10-17,0.17361
2020-10-18,0.242
2020-10-19,0.4577
2020-10-20,0.50505
2020-10-21,0.40509
2020-10-22,0.39983
2020-10-23,0.3367
2020-10-24,0.21043
2020-10-25,0.26304
2020-10-26,0.37878
2020-10-27,0.42613
2020-10-28,0.43665
2020-10-29,0.363
2020-10-30,0.29987
2020-10-31,0.22622
2020-11-01,0.27882
2020-11-02,0.25252
2020-11-03,0.35774
2020-11-04,0.23148
2020-11-05,0.30513
2020-11-06,0.30513
2020-11-07,0.25252
2020-11-08,0.30513
2020-11-09,0.40509
2020-11-10,0.37878
2020-11-11,0.37352
2020-11-12,0.37878
2020-11-13,0.41035
2020-11-14,0.20517
2020-11-15,0.25778
2020-11-16,0.40509
2020-11-17,0.42087
2020-11-18,0.32091
2020-11-19,0.36826
2020-11-20,0.31565
2020-11-21,0.25778
2020-11-22,0.25778
2020-11-23,0.3367
2020-11-24,0.242
2020-11-25,0.32617
2020-11-26,0.34722
2020-11-27,0.35248
2020-11-28,0.19465
2020-11-29,0.25252
2020-11-30,0.33143
2020-12-01,0.44191
2020-12-02,0.40509
2020-12-03,0.605
2020-12-04,0.54713
2020-12-05,0.41561
2020-12-06,0.3893
2020-12-07,0.44191
2020-12-08,0.39983
2020-12-09,0.29987
2020-12-10,0.38404
2020-12-11,0.25778
2020-12-12,0.19465
2020-12-13,0.20517
2020-12-14,0.27356
2020-12-15,0.37352
2020-12-16,0.29461
2020-12-17,0.37878
2020-12-18,0.25778
2020-12-19,0.31565
2020-12-20,0.363
2020-12-21,0.37352
2020-12-22,0.25778
2020-12-23,0.33143
2020-12-24,0.25252
2020-12-25,0.27356
2020-12-26,0.22622
2020-12-27,0.31565
2020-12-28,0.38404
2020-12-29,0.41035
2020-12-30,0.35248
2020-12-31,0.29987
2021-01-01,0.25778
2021-01-02,0.30513
2021-01-03,0.29461
2021-01-04,0.41035
2021-01-05,0.51031
2021-01-06,0.72601
2021-01-07,0.34196
2021-01-08,0.40509
2021-01-09,0.16835
2021-01-10,0.28409
2021-01-11,0.38404
2021-01-12,0.43665
2021-01-13,0.29461
2021-01-14,0.49978
2021-01-15,0.43665
2021-01-16,0.32617
2021-01-17,0.21569
2021-01-18,0.39983
2021-01-19,0.42087
2021-01-20,0.51031
2021-01-21,0.484
2021-01-22,0.39983
2021-01-23,0.25778
2021-01-24,0.19991
2021-01-25,0.42613
2021-01-26,0.47874
2021-01-27,0.63131
2021-01-28,0.41561
2021-01-29,0.31565
2021-01-30,0.29987
2021-01-31,0.35248
2021-02-01,0.42087
2021-02-02,0.36826
2021-02-03,0.41561
2021-02-04,0.35248
2021-02-05,0.41035
2021-02-06,0.484
2021-02-07,0.33143
2021-02-08,0.41561
2021-02-09,100.0
2021-02-10,6.40256
2021-02-11,3.61426
2021-02-12,1.93076
2021-02-13,1.33101
2021-02-14,0.88909
2021-02-15,0.95223
