date,미국주식추천
2020-11-07,7.59725
2020-11-08,5.17162
2020-11-09,12.63157
2020-11-10,15.37757
2020-11-11,14.508
2020-11-12,15.7437
2020-11-13,16.33867
2020-11-14,9.93135
2020-11-15,6.36155
2020-11-16,15.83524
2020-11-17,22.51716
2020-11-18,23.02059
2020-11-19,24.66819
2020-11-20,26.72768
2020-11-21,16.10983
2020-11-22,10.48054
2020-11-23,18.71853
2020-11-24,33.50114
2020-11-25,37.84897
2020-11-26,32.26544
2020-11-27,24.71395
2020-11-28,25.58352
2020-11-29,13.18077
2020-11-30,23.38672
2020-12-01,36.61327
2020-12-02,32.58581
2020-12-03,32.63157
2020-12-04,38.16933
2020-12-05,27.68878
2020-12-06,16.93363
2020-12-07,35.3318
2020-12-08,42.51716
2020-12-09,43.66132
2020-12-10,37.6659
2020-12-11,35.97254
2020-12-12,24.66819
2020-12-13,17.34553
2020-12-14,29.83981
2020-12-15,33.54691
2020-12-16,30.25171
2020-12-17,27.64302
2020-12-18,33.04347
2020-12-19,25.35469
2020-12-20,15.78947
2020-12-21,25.72082
2020-12-22,33.50114
2020-12-23,38.71853
2020-12-24,37.8032
2020-12-25,26.95652
2020-12-26,12.67734
2020-12-27,16.79633
2020-12-28,28.83295
2020-12-29,42.10526
2020-12-30,46.91075
2020-12-31,39.4508
2021-01-01,23.89016
2021-01-02,19.26773
2021-01-03,18.16933
2021-01-04,42.10526
2021-01-05,42.15102
2021-01-06,46.27002
2021-01-07,50.06864
2021-01-08,65.67505
2021-01-09,47.23112
2021-01-10,28.83295
2021-01-11,48.00915
2021-01-12,54.6453
2021-01-13,63.15789
2021-01-14,70.75514
2021-01-15,67.68878
2021-01-16,38.627
2021-01-17,24.11899
2021-01-18,28.74141
2021-01-19,44.11899
2021-01-20,62.33409
2021-01-21,80.09153
2021-01-22,70.52631
2021-01-23,56.75057
2021-01-24,28.28375
2021-01-25,58.12356
2021-01-26,79.13043
2021-01-27,83.47826
2021-01-28,88.87871
2021-01-29,69.88558
2021-01-30,38.71853
2021-01-31,21.51029
2021-02-01,44.34782
2021-02-02,69.83981
2021-02-03,67.55148
2021-02-04,65.94965
2021-02-05,68.97025
2021-02-06,50.02288
2021-02-07,28.64988
2021-02-08,47.96338
2021-02-09,84.80549
2021-02-10,98.9016
2021-02-11,100.0
2021-02-12,76.9794
2021-02-13,58.16933
2021-02-14,37.1167
2021-02-15,61.83066
2021-02-16,86.04118
2021-02-17,84.80549
2021-02-18,65.76659
2021-02-19,53.13501
2021-02-20,43.11212
2021-02-21,24.53089
2021-02-22,37.34553
2021-02-23,42.92906
2021-02-24,38.16933
2021-02-25,50.52631
2021-02-26,38.12356
2021-02-27,20.13729
2021-02-28,12.31121
2021-03-01,20.0
2021-03-02,28.10068
2021-03-03,31.48741
