date,증여세신고
2020-03-20,31.60813
2020-03-21,11.27541
2020-03-22,15.15711
2020-03-23,41.4048
2020-03-24,28.09611
2020-03-25,29.39001
2020-03-26,29.20517
2020-03-27,25.69316
2020-03-28,15.34195
2020-03-29,16.08133
2020-03-30,33.45656
2020-03-31,36.78373
2020-04-01,26.24768
2020-04-02,28.28096
2020-04-03,25.878
2020-04-04,8.31792
2020-04-05,11.6451
2020-04-06,31.23844
2020-04-07,29.02033
2020-04-08,19.22365
2020-04-09,19.22365
2020-04-10,24.95378
2020-04-11,8.87245
2020-04-12,13.30868
2020-04-13,30.86876
2020-04-14,21.25693
2020-04-15,13.49353
2020-04-16,27.72643
2020-04-17,31.0536
2020-04-18,10.90573
2020-04-19,17.92975
2020-04-20,35.48983
2020-04-21,32.71719
2020-04-22,31.60813
2020-04-23,26.06284
2020-04-24,25.878
2020-04-25,13.30868
2020-04-26,16.63585
2020-04-27,35.85951
2020-04-28,34.56561
2020-04-29,28.4658
2020-04-30,14.04805
2020-05-01,17.56007
2020-05-02,15.34195
2020-05-03,11.46025
2020-05-04,34.56561
2020-05-05,19.59334
2020-05-06,32.53234
2020-05-07,30.31423
2020-05-08,24.95378
2020-05-09,14.41774
2020-05-10,14.97227
2020-05-11,31.97781
2020-05-12,32.71719
2020-05-13,28.28096
2020-05-14,28.28096
2020-05-15,28.09611
2020-05-16,8.87245
2020-05-17,13.49353
2020-05-18,30.31423
2020-05-19,36.41404
2020-05-20,31.97781
2020-05-21,31.60813
2020-05-22,24.02957
2020-05-23,14.04805
2020-05-24,17.92975
2020-05-25,38.63216
2020-05-26,36.2292
2020-05-27,33.08687
2020-05-28,28.28096
2020-05-29,26.43253
2020-05-30,12.01478
2020-05-31,14.41774
2020-06-01,31.23844
2020-06-02,27.72643
2020-06-03,24.02957
2020-06-04,24.39926
2020-06-05,25.32347
2020-06-06,13.67837
2020-06-07,14.78743
2020-06-08,29.94454
2020-06-09,32.71719
2020-06-10,27.72643
2020-06-11,30.31423
2020-06-12,20.14787
2020-06-13,13.49353
2020-06-14,20.7024
2020-06-15,30.68391
2020-06-16,32.3475
2020-06-17,38.817
2020-06-18,35.12014
2020-06-19,32.16266
2020-06-20,18.48428
2020-06-21,17.19038
2020-06-22,35.85951
2020-06-23,41.21996
2020-06-24,36.41404
2020-06-25,33.27171
2020-06-26,33.82624
2020-06-27,14.41774
2020-06-28,20.33271
2020-06-29,44.73197
2020-06-30,40.48059
2020-07-01,32.90203
2020-07-02,39.00184
2020-07-03,25.878
2020-07-04,14.78743
2020-07-05,15.89648
2020-07-06,38.07763
2020-07-07,34.38077
2020-07-08,37.33826
2020-07-09,33.27171
2020-07-10,28.83548
2020-07-11,24.95378
2020-07-12,23.65988
2020-07-13,49.1682
2020-07-14,49.72273
2020-07-15,40.48059
2020-07-16,37.5231
2020-07-17,35.12014
2020-07-18,21.81146
2020-07-19,19.96303
2020-07-20,41.77449
2020-07-21,40.1109
2020-07-22,37.15341
2020-07-23,36.78373
2020-07-24,32.71719
2020-07-25,19.59334
2020-07-26,21.81146
2020-07-27,48.98336
2020-07-28,47.13493
2020-07-29,50.4621
2020-07-30,36.2292
2020-07-31,39.92606
2020-08-01,13.30868
2020-08-02,17.56007
2020-08-03,42.88354
2020-08-04,37.70794
2020-08-05,34.9353
2020-08-06,31.79297
2020-08-07,29.02033
2020-08-08,17.92975
2020-08-09,16.45101
2020-08-10,43.25323
2020-08-11,44.17744
2020-08-12,36.96857
2020-08-13,29.7597
2020-08-14,31.0536
2020-08-15,13.67837
2020-08-16,12.19963
2020-08-17,21.9963
2020-08-18,43.62292
2020-08-19,36.78373
2020-08-20,36.2292
2020-08-21,30.68391
2020-08-22,14.2329
2020-08-23,20.88724
2020-08-24,47.31977
2020-08-25,41.58964
2020-08-26,36.2292
2020-08-27,41.58964
2020-08-28,34.19593
2020-08-29,17.37523
2020-08-30,18.66913
2020-08-31,47.68946
2020-09-01,39.37153
2020-09-02,30.68391
2020-09-03,30.31423
2020-09-04,30.49907
2020-09-05,14.78743
2020-09-06,18.85397
2020-09-07,39.37153
2020-09-08,34.9353
2020-09-09,33.6414
2020-09-10,28.09611
2020-09-11,30.68391
2020-09-12,10.90573
2020-09-13,20.51756
2020-09-14,33.45656
2020-09-15,39.55637
2020-09-16,36.96857
2020-09-17,34.19593
2020-09-18,26.61737
2020-09-19,18.48428
2020-09-20,19.03881
2020-09-21,43.80776
2020-09-22,35.12014
2020-09-23,30.68391
2020-09-24,32.53234
2020-09-25,27.1719
2020-09-26,10.53604
2020-09-27,13.12384
2020-09-28,40.66543
2020-09-29,26.61737
2020-09-30,14.60258
2020-10-01,12.939
2020-10-02,12.38447
2020-10-03,13.49353
2020-10-04,16.8207
2020-10-05,41.21996
2020-10-06,40.29574
2020-10-07,34.75046
2020-10-08,29.94454
2020-10-09,18.1146
2020-10-10,12.56931
2020-10-11,15.5268
2020-10-12,33.45656
2020-10-13,41.4048
2020-10-14,36.2292
2020-10-15,30.86876
2020-10-16,28.83548
2020-10-17,12.38447
2020-10-18,16.26617
2020-10-19,39.74121
2020-10-20,45.84103
2020-10-21,45.2865
2020-10-22,33.08687
2020-10-23,29.7597
2020-10-24,11.09057
2020-10-25,16.8207
2020-10-26,40.66543
2020-10-27,43.43807
2020-10-28,35.85951
2020-10-29,37.5231
2020-10-30,36.96857
2020-10-31,21.81146
2020-11-01,18.29944
2020-11-02,45.2865
2020-11-03,37.70794
2020-11-04,31.79297
2020-11-05,29.02033
2020-11-06,25.13863
2020-11-07,15.89648
2020-11-08,20.14787
2020-11-09,42.6987
2020-11-10,34.38077
2020-11-11,37.70794
2020-11-12,43.25323
2020-11-13,35.85951
2020-11-14,21.25693
2020-11-15,22.36598
2020-11-16,49.90757
2020-11-17,51.38632
2020-11-18,48.61367
2020-11-19,43.80776
2020-11-20,40.66543
2020-11-21,17.74491
2020-11-22,22.92051
2020-11-23,57.67097
2020-11-24,53.60443
2020-11-25,57.30129
2020-11-26,52.12569
2020-11-27,39.55637
2020-11-28,20.88724
2020-11-29,32.3475
2020-11-30,61.36783
2020-12-01,48.98336
2020-12-02,45.47134
2020-12-03,43.9926
2020-12-04,38.817
2020-12-05,21.25693
2020-12-06,25.69316
2020-12-07,63.4011
2020-12-08,51.01663
2020-12-09,51.57116
2020-12-10,53.60443
2020-12-11,44.17744
2020-12-12,24.95378
2020-12-13,25.13863
2020-12-14,63.4011
2020-12-15,64.87985
2020-12-16,53.60443
2020-12-17,52.86506
2020-12-18,44.73197
2020-12-19,22.73567
2020-12-20,27.1719
2020-12-21,65.80406
2020-12-22,69.13123
2020-12-23,57.11645
2020-12-24,43.80776
2020-12-25,24.21441
2020-12-26,31.97781
2020-12-27,32.90203
2020-12-28,78.92791
2020-12-29,75.23105
2020-12-30,70.97966
2020-12-31,59.88909
2021-01-01,21.81146
2021-01-02,26.98706
2021-01-03,29.7597
2021-01-04,71.16451
2021-01-05,65.43438
2021-01-06,57.11645
2021-01-07,53.41959
2021-01-08,48.24399
2021-01-09,31.97781
2021-01-10,33.6414
2021-01-11,78.74306
2021-01-12,54.3438
2021-01-13,60.07393
