date,유명화가
2020-03-20,4.10958
2020-03-21,2.95047
2020-03-22,4.10958
2020-03-23,3.95152
2020-03-24,4.32033
2020-03-25,4.53108
2020-03-26,4.89989
2020-03-27,4.95258
2020-03-28,4.37302
2020-03-29,4.89989
2020-03-30,6.059
2020-03-31,3.68809
2020-04-01,4.68914
2020-04-02,4.42571
2020-04-03,3.79346
2020-04-04,3.26659
2020-04-05,3.26659
2020-04-06,3.53003
2020-04-07,5.11064
2020-04-08,4.42571
2020-04-09,4.47839
2020-04-10,4.79452
2020-04-11,3.53003
2020-04-12,2.26554
2020-04-13,3.89884
2020-04-14,4.79452
2020-04-15,3.58271
2020-04-16,6.53319
2020-04-17,8.37723
2020-04-18,3.37197
2020-04-19,3.42465
2020-04-20,5.84826
2020-04-21,8.16649
2020-04-22,5.32139
2020-04-23,6.79662
2020-04-24,4.89989
2020-04-25,3.37197
2020-04-26,3.10853
2020-04-27,5.47945
2020-04-28,6.95468
2020-04-29,6.059
2020-04-30,3.2139
2020-05-01,3.31928
2020-05-02,3.53003
2020-05-03,3.00316
2020-05-04,4.26765
2020-05-05,2.4236
2020-05-06,3.74077
2020-05-07,4.32033
2020-05-08,4.26765
2020-05-09,1.89673
2020-05-10,2.58166
2020-05-11,5.2687
2020-05-12,4.32033
2020-05-13,5.47945
2020-05-14,4.8472
2020-05-15,4.63645
2020-05-16,2.26554
2020-05-17,3.68809
2020-05-18,5.21601
2020-05-19,5.2687
2020-05-20,5.47945
2020-05-21,6.53319
2020-05-22,4.37302
2020-05-23,2.95047
2020-05-24,2.16016
2020-05-25,3.00316
2020-05-26,4.37302
2020-05-27,4.53108
2020-05-28,3.42465
2020-05-29,3.74077
2020-05-30,2.68703
2020-05-31,2.79241
2020-06-01,4.37302
2020-06-02,4.37302
2020-06-03,3.74077
2020-06-04,4.53108
2020-06-05,4.8472
2020-06-06,2.63435
2020-06-07,2.79241
2020-06-08,5.00526
2020-06-09,3.89884
2020-06-10,3.37197
2020-06-11,3.53003
2020-06-12,4.00421
2020-06-13,2.37091
2020-06-14,2.95047
2020-06-15,2.79241
2020-06-16,3.68809
2020-06-17,4.26765
2020-06-18,3.37197
2020-06-19,3.68809
2020-06-20,3.05584
2020-06-21,2.89778
2020-06-22,3.74077
2020-06-23,5.05795
2020-06-24,5.95363
2020-06-25,5.2687
2020-06-26,3.42465
2020-06-27,3.53003
