date,적립식펀드
2020-03-20,26.49006
2020-03-21,13.80794
2020-03-22,10.7947
2020-03-23,22.25165
2020-03-24,19.33774
2020-03-25,18.87417
2020-03-26,13.80794
2020-03-27,12.81456
2020-03-28,8.94039
2020-03-29,9.13907
2020-03-30,13.31125
2020-03-31,57.649
2020-04-01,100.0
2020-04-02,23.90728
2020-04-03,14.73509
2020-04-04,25.39735
2020-04-05,16.5894
2020-04-06,13.54304
2020-04-07,22.48344
2020-04-08,12.31788
2020-04-09,9.86754
2020-04-10,9.07284
2020-04-11,6.62251
2020-04-12,7.01986
2020-04-13,9.76821
2020-04-14,8.31125
2020-04-15,10.19867
2020-04-16,8.24503
2020-04-17,8.74172
2020-04-18,5.56291
2020-04-19,5.82781
2020-04-20,8.50993
2020-04-21,10.19867
2020-04-22,9.73509
2020-04-23,9.66887
2020-04-24,8.50993
2020-04-25,8.21192
2020-04-26,7.58278
2020-04-27,7.21854
2020-04-28,8.01324
2020-04-29,11.55629
2020-04-30,5.69536
2020-05-01,4.47019
2020-05-02,3.90728
2020-05-03,4.93377
2020-05-04,9.13907
2020-05-05,6.19205
2020-05-06,7.649
2020-05-07,6.02649
2020-05-08,7.15231
2020-05-09,8.14569
2020-05-10,6.29139
2020-05-11,7.31788
2020-05-12,6.3245
2020-05-13,5.86092
2020-05-14,4.60264
2020-05-15,6.22516
2020-05-16,3.34437
2020-05-17,3.21192
2020-05-18,6.39072
2020-05-19,6.52317
2020-05-20,6.82119
2020-05-21,7.3841
2020-05-22,5.19867
2020-05-23,4.50331
2020-05-24,4.56953
2020-05-25,7.94701
2020-05-26,8.64238
2020-05-27,6.8543
2020-05-28,5.49668
2020-05-29,4.20529
2020-05-30,4.17218
2020-05-31,3.9735
2020-06-01,5.86092
2020-06-02,7.15231
2020-06-03,8.31125
2020-06-04,6.78807
2020-06-05,6.82119
2020-06-06,4.43708
2020-06-07,4.66887
2020-06-08,8.84105
2020-06-09,7.1192
2020-06-10,8.34437
2020-06-11,11.29139
2020-06-12,7.54966
2020-06-13,4.37086
2020-06-14,5.69536
2020-06-15,6.02649
2020-06-16,7.1192
2020-06-17,5.96026
2020-06-18,6.62251
2020-06-19,4.80132
2020-06-20,4.07284
2020-06-21,3.77483
2020-06-22,6.25827
2020-06-23,12.54966
2020-06-24,9.13907
2020-06-25,7.94701
2020-06-26,9.93377
2020-06-27,4.27152
2020-06-28,4.86754
2020-06-29,6.42384
2020-06-30,5.96026
2020-07-01,7.78145
2020-07-02,5.39735
2020-07-03,4.53642
2020-07-04,2.81456
2020-07-05,6.78807
2020-07-06,8.57615
2020-07-07,9.43708
2020-07-08,7.81456
2020-07-09,8.34437
2020-07-10,6.95364
2020-07-11,4.80132
2020-07-12,5.49668
2020-07-13,7.94701
2020-07-14,10.36423
2020-07-15,9.23841
2020-07-16,7.08609
2020-07-17,6.19205
2020-07-18,4.96688
2020-07-19,4.30463
2020-07-20,6.78807
2020-07-21,10.19867
2020-07-22,8.60927
2020-07-23,9.37086
2020-07-24,7.88079
2020-07-25,5.06622
2020-07-26,5.16556
2020-07-27,13.34437
2020-07-28,12.15231
