date,배당금높은주식
2020-03-20,29.9923
2020-03-21,24.3264
2020-03-22,26.20477
2020-03-23,33.62586
2020-03-24,27.806
2020-03-25,28.71439
2020-03-26,31.65511
2020-03-27,28.63741
2020-03-28,20.53887
2020-03-29,20.04618
2020-03-30,24.08006
2020-03-31,26.74364
2020-04-01,25.94303
2020-04-02,25.94303
2020-04-03,25.01924
2020-04-04,18.46035
2020-04-05,21.95535
2020-04-06,29.49961
2020-04-07,25.52732
2020-04-08,21.75519
2020-04-09,24.78829
2020-04-10,26.55889
2020-04-11,23.24865
2020-04-12,19.03002
2020-04-13,24.06466
2020-04-14,23.72594
2020-04-15,19.9692
2020-04-16,17.25943
2020-04-17,22.40184
2020-04-18,16.59738
2020-04-19,15.95073
2020-04-20,20.96997
2020-04-21,20.44649
2020-04-22,23.23325
2020-04-23,23.80292
2020-04-24,24.55735
2020-04-25,21.30869
2020-04-26,19.86143
2020-04-27,23.78752
2020-04-28,22.70977
2020-04-29,23.57197
2020-04-30,18.49114
2020-05-01,13.34872
2020-05-02,10.30023
2020-05-03,10.28483
2020-05-04,15.93533
2020-05-05,17.13625
2020-05-06,17.92147
2020-05-07,19.84603
2020-05-08,17.44418
2020-05-09,13.84141
2020-05-10,13.28714
2020-05-11,17.87528
2020-05-12,17.99846
2020-05-13,18.61431
2020-05-14,19.79984
2020-05-15,21.30869
2020-05-16,15.88914
2020-05-17,13.97998
2020-05-18,22.90993
2020-05-19,33.61046
2020-05-20,29.9615
2020-05-21,26.88221
2020-05-22,21.89376
2020-05-23,15.58121
2020-05-24,15.55042
2020-05-25,20.92378
2020-05-26,22.89453
2020-05-27,25.41955
2020-05-28,28.20631
2020-05-29,22.72517
2020-05-30,18.64511
2020-05-31,14.91916
2020-06-01,25.21939
2020-06-02,33.68745
2020-06-03,32.28637
2020-06-04,27.74441
2020-06-05,25.95842
2020-06-06,19.01462
2020-06-07,19.07621
2020-06-08,26.32794
2020-06-09,26.17397
2020-06-10,26.75904
2020-06-11,21.41647
2020-06-12,22.46343
2020-06-13,16.22786
2020-06-14,16.15088
2020-06-15,18.2294
2020-06-16,18.16782
2020-06-17,18.50654
2020-06-18,18.92224
2020-06-19,20.95458
2020-06-20,13.51809
2020-06-21,11.82448
2020-06-22,17.73672
2020-06-23,17.7983
2020-06-24,20.66204
2020-06-25,19.26096
2020-06-26,19.50731
2020-06-27,12.24018
2020-06-28,11.02386
2020-06-29,15.45804
2020-06-30,15.65819
2020-07-01,12.68668
2020-07-02,15.73518
2020-07-03,18.73749
2020-07-04,14.70361
2020-07-05,14.7652
2020-07-06,20.73903
2020-07-07,20.09237
2020-07-08,19.44572
2020-07-09,19.47652
2020-07-10,16.96689
2020-07-11,12.68668
2020-07-12,12.22478
2020-07-13,16.04311
2020-07-14,17.92147
2020-07-15,19.5381
2020-07-16,19.49191
2020-07-17,16.38183
2020-07-18,11.63972
2020-07-19,13.0408
2020-07-20,17.99846
2020-07-21,20.78521
2020-07-22,22.32486
2020-07-23,22.81755
2020-07-24,19.29176
2020-07-25,12.5943
2020-07-26,18.02925
2020-07-27,23.69515
2020-07-28,26.02001
2020-07-29,24.86528
2020-07-30,25.52732
2020-07-31,21.15473
2020-08-01,14.79599
2020-08-02,15.39645
2020-08-03,20.67744
2020-08-04,26.42032
2020-08-05,27.68283
2020-08-06,29.20708
2020-08-07,32.82525
2020-08-08,22.61739
2020-08-09,30.70053
2020-08-10,36.78214
2020-08-11,38.81447
2020-08-12,35.04234
2020-08-13,37.09006
2020-08-14,34.98075
2020-08-15,23.52578
2020-08-16,21.89376
2020-08-17,24.35719
2020-08-18,29.46882
2020-08-19,33.96458
2020-08-20,34.16474
2020-08-21,31.97844
2020-08-22,21.20092
2020-08-23,20.8622
2020-08-24,27.72902
2020-08-25,29.73056
2020-08-26,38.15242
2020-08-27,32.90223
2020-08-28,28.96073
2020-08-29,19.76905
2020-08-30,24.88067
2020-08-31,28.39107
2020-09-01,31.43956
2020-09-02,34.53425
2020-09-03,36.02771
2020-09-04,31.22401
2020-09-05,24.44957
2020-09-06,28.28329
2020-09-07,34.64203
2020-09-08,32.96381
2020-09-09,34.25712
2020-09-10,38.35257
2020-09-11,33.71824
2020-09-12,25.58891
2020-09-13,24.55735
2020-09-14,35.59661
2020-09-15,36.32024
2020-09-16,37.3672
2020-09-17,32.19399
2020-09-18,33.14857
2020-09-19,28.72979
2020-09-20,25.6351
2020-09-21,30.05388
2020-09-22,28.49884
2020-09-23,32.30177
2020-09-24,28.82217
2020-09-25,25.54272
2020-09-26,18.27559
2020-09-27,17.72132
2020-09-28,22.18629
2020-09-29,23.80292
2020-09-30,18.02925
2020-10-01,15.67359
2020-10-02,17.18244
2020-10-03,24.89607
2020-10-04,25.60431
2020-10-05,34.71901
2020-10-06,34.68822
2020-10-07,35.02694
2020-10-08,31.50115
2020-10-09,21.87836
2020-10-10,21.60123
2020-10-11,21.86297
2020-10-12,31.79368
2020-10-13,33.37952
2020-10-14,29.88452
2020-10-15,28.12933
2020-10-16,23.75673
2020-10-17,16.02771
2020-10-18,16.96689
2020-10-19,27.34411
2020-10-20,26.95919
2020-10-21,32.04003
2020-10-22,29.80754
2020-10-23,28.77598
2020-10-24,17.33641
2020-10-25,17.10546
2020-10-26,22.95612
2020-10-27,25.34257
2020-10-28,23.11008
2020-10-29,22.37105
2020-10-30,21.17013
2020-10-31,10.80831
2020-11-01,11.14703
2020-11-02,17.3826
2020-11-03,19.21478
2020-11-04,19.47652
2020-11-05,23.61816
2020-11-06,21.98614
2020-11-07,14.81139
2020-11-08,14.45727
2020-11-09,23.18706
2020-11-10,27.00538
2020-11-11,29.5612
2020-11-12,29.06851
2020-11-13,27.25173
2020-11-14,17.98306
2020-11-15,16.78214
2020-11-16,35.70438
2020-11-17,34.93456
2020-11-18,46.20477
2020-11-19,32.82525
2020-11-20,32.02463
2020-11-21,20.21555
2020-11-22,18.81447
2020-11-23,30.62355
2020-11-24,35.78137
2020-11-25,35.71978
2020-11-26,36.64357
2020-11-27,33.11778
2020-11-28,26.23556
2020-11-29,26.62047
2020-11-30,36.02771
2020-12-01,42.80215
2020-12-02,50.91608
2020-12-03,46.58968
2020-12-04,43.0331
2020-12-05,27.12856
2020-12-06,27.31331
2020-12-07,38.49114
2020-12-08,44.01847
2020-12-09,43.94149
2020-12-10,50.17705
2020-12-11,53.56428
2020-12-12,28.79137
2020-12-13,33.51809
2020-12-14,52.33256
2020-12-15,45.12702
2020-12-16,57.92147
2020-12-17,46.69745
2020-12-18,46.58968
2020-12-19,28.80677
2020-12-20,30.50038
2020-12-21,48.69899
2020-12-22,48.36027
2020-12-23,55.95073
2020-12-24,69.93071
2020-12-25,37.90608
2020-12-26,29.94611
2020-12-27,35.79676
2020-12-28,100.0
2020-12-29,30.63895
2020-12-30,18.81447
2020-12-31,11.23941
2021-01-01,9.34565
2021-01-02,8.89915
2021-01-03,9.1301
2021-01-04,15.1963
2021-01-05,14.62663
2021-01-06,15.6428
2021-01-07,17.27482
2021-01-08,17.93687
2021-01-09,17.19784
2021-01-10,17.92147
2021-01-11,22.90993
2021-01-12,22.90993
2021-01-13,25.66589
2021-01-14,26.65127
2021-01-15,22.32486
2021-01-16,15.99692
2021-01-17,15.22709
2021-01-18,18.04464
2021-01-19,21.09314
2021-01-20,22.09391
2021-01-21,24.46497
2021-01-22,22.81755
2021-01-23,19.38414
2021-01-24,18.56812
2021-01-25,24.66512
2021-01-26,24.91147
2021-01-27,24.48036
2021-01-28,38.86066
2021-01-29,26.75904
2021-01-30,18.29099
2021-01-31,19.83063
2021-02-01,22.27867
2021-02-02,25.83525
2021-02-03,30.19245
2021-02-04,33.53348
2021-02-05,30.77752
2021-02-06,20.76982
2021-02-07,19.15319
2021-02-08,25.08083
2021-02-09,28.6528
2021-02-10,26.86682
2021-02-11,18.78367
2021-02-12,17.67513
2021-02-13,16.19707
2021-02-14,20.35411
2021-02-15,30.8545
2021-02-16,32.30177
2021-02-17,30.26943
2021-02-18,28.56043
2021-02-19,26.91301
2021-02-20,23.07929
2021-02-21,25.57351
2021-02-22,29.34565
2021-02-23,28.28329
2021-02-24,30.06928
2021-02-25,36.47421
2021-02-26,32.88683
2021-02-27,20.76982
2021-02-28,22.35565
2021-03-01,22.04772
2021-03-02,23.81832
2021-03-03,26.78983
2021-03-04,28.37567
2021-03-05,24.14164
2021-03-06,19.78444
2021-03-07,18.95304
2021-03-08,24.63433
2021-03-09,24.83448
2021-03-10,27.45188
2021-03-11,29.36104
2021-03-12,31.07005
2021-03-13,23.47959
2021-03-14,27.59045
2021-03-15,33.13317
2021-03-16,31.77829
2021-03-17,36.87451
2021-03-18,36.47421
2021-03-19,28.51424
2021-03-20,22.37105
2021-03-21,26.22016
2021-03-22,27.32871
2021-03-23,32.45573
2021-03-24,29.34565
2021-03-25,28.48344
2021-03-26,32.77906
2021-03-27,25.29638
2021-03-28,26.0508
2021-03-29,28.57582
2021-03-30,32.17859
2021-03-31,33.93379
2021-04-01,38.90685
2021-04-02,36.67436
2021-04-03,26.72825
2021-04-04,29.5612
2021-04-05,31.00846
2021-04-06,33.77983
2021-04-07,34.84218
2021-04-08,35.90454
2021-04-09,42.09391
2021-04-10,28.63741
2021-04-11,24.23402
2021-04-12,39.13779
2021-04-13,42.54041
2021-04-14,46.82063
2021-04-15,46.35873
2021-04-16,85.81986
2021-04-17,47.03618
2021-04-18,37.09006
2021-04-19,48.16012
2021-04-20,52.17859
2021-04-21,55.27328
2021-04-22,56.21247
2021-04-23,51.53194
2021-04-24,34.56505
2021-04-25,34.19553
2021-04-26,44.03387
2021-04-27,43.41801
2021-04-28,43.29484
2021-04-29,45.14241
2021-04-30,37.72132
2021-05-01,26.18937
2021-05-02,23.72594
2021-05-03,28.54503
2021-05-04,44.01847
2021-05-05,59.79984
2021-05-06,37.44418
2021-05-07,40.58506
2021-05-08,32.36335
2021-05-09,37.02848
2021-05-10,40.12317
2021-05-11,47.55966
2021-05-12,34.93456
2021-05-13,31.34719
2021-05-14,32.67128
2021-05-15,25.74287
2021-05-16,26.29715
2021-05-17,30.34642
2021-05-18,58.30638
2021-05-19,60.98537
2021-05-20,48.19091
