date,주식수익률계산기
2020-03-20,29.80295
2020-03-21,14.71674
2020-03-22,11.02216
2020-03-23,22.72167
2020-03-24,26.35467
2020-03-25,34.3596
2020-03-26,35.03694
2020-03-27,32.88177
2020-03-28,16.07142
2020-03-29,14.0394
2020-03-30,27.64778
2020-03-31,31.09605
2020-04-01,26.47783
2020-04-02,25.12315
2020-04-03,22.47536
2020-04-04,10.83743
2020-04-05,11.57635
2020-04-06,25.30788
2020-04-07,33.43596
2020-04-08,26.66256
2020-04-09,26.66256
2020-04-10,25.12315
2020-04-11,10.59113
2020-04-12,12.00738
2020-04-13,20.01231
2020-04-14,19.21182
2020-04-15,11.33004
2020-04-16,24.38423
2020-04-17,30.23399
2020-04-18,14.22413
2020-04-19,14.40886
2020-04-20,25.67733
2020-04-21,21.42857
2020-04-22,24.1995
2020-04-23,25.55418
2020-04-24,18.96551
2020-04-25,9.48275
2020-04-26,8.62068
2020-04-27,22.72167
2020-04-28,20.13546
2020-04-29,19.33497
2020-04-30,12.19211
2020-05-01,7.57389
2020-05-02,5.54187
2020-05-03,5.7266
2020-05-04,16.87192
2020-05-05,9.29802
2020-05-06,18.16502
2020-05-07,17.1798
2020-05-08,18.71921
2020-05-09,10.71428
2020-05-10,6.21921
2020-05-11,15.51724
2020-05-12,16.93349
2020-05-13,21.55172
2020-05-14,20.25862
2020-05-15,18.28817
2020-05-16,10.52955
2020-05-17,8.25123
2020-05-18,19.5197
2020-05-19,23.02955
2020-05-20,21.79802
2020-05-21,25.0
2020-05-22,17.73399
2020-05-23,9.85221
2020-05-24,10.34482
2020-05-25,20.93596
2020-05-26,26.23152
2020-05-27,21.8596
2020-05-28,19.766
2020-05-29,20.07389
2020-05-30,10.71428
2020-05-31,9.79064
2020-06-01,21.79802
2020-06-02,26.5394
2020-06-03,29.06403
2020-06-04,24.63054
2020-06-05,29.80295
2020-06-06,16.00985
2020-06-07,12.06896
2020-06-08,25.80049
2020-06-09,25.55418
2020-06-10,23.9532
2020-06-11,21.73645
2020-06-12,20.32019
2020-06-13,9.60591
2020-06-14,9.17487
2020-06-15,17.79556
2020-06-16,21.73645
2020-06-17,20.93596
2020-06-18,21.8596
2020-06-19,23.46059
2020-06-20,9.29802
2020-06-21,9.79064
2020-06-22,21.55172
2020-06-23,20.38177
2020-06-24,24.75369
2020-06-25,16.19458
2020-06-26,19.02709
2020-06-27,9.3596
2020-06-28,6.95812
2020-06-29,12.68472
2020-06-30,17.48768
2020-07-01,15.70197
2020-07-02,18.53448
2020-07-03,20.13546
2020-07-04,8.86699
2020-07-05,7.14285
2020-07-06,22.9064
2020-07-07,22.41379
2020-07-08,22.53694
2020-07-09,23.46059
2020-07-10,20.19704
2020-07-11,10.77586
2020-07-12,8.37438
2020-07-13,21.67487
2020-07-14,20.01231
2020-07-15,18.2266
2020-07-16,17.36453
2020-07-17,20.5665
2020-07-18,11.4532
2020-07-19,8.00492
2020-07-20,21.73645
2020-07-21,25.06157
2020-07-22,26.90886
2020-07-23,25.18472
2020-07-24,26.47783
2020-07-25,10.71428
2020-07-26,11.63793
2020-07-27,20.38177
2020-07-28,24.32266
2020-07-29,26.84729
2020-07-30,27.15517
2020-07-31,21.98275
2020-08-01,11.57635
2020-08-02,10.77586
2020-08-03,28.69458
2020-08-04,24.44581
2020-08-05,27.70935
2020-08-06,33.00492
2020-08-07,32.0197
2020-08-08,13.60837
2020-08-09,11.76108
2020-08-10,33.3128
2020-08-11,30.78817
2020-08-12,25.36945
2020-08-13,27.83251
2020-08-14,23.27586
2020-08-15,11.39162
2020-08-16,8.12807
2020-08-17,11.08374
2020-08-18,23.1527
2020-08-19,23.9532
2020-08-20,19.88916
2020-08-21,20.01231
2020-08-22,11.51477
2020-08-23,9.48275
2020-08-24,25.18472
2020-08-25,30.23399
2020-08-26,30.9729
2020-08-27,33.74384
2020-08-28,26.16995
2020-08-29,14.90147
2020-08-30,12.80788
2020-08-31,35.22167
2020-09-01,35.89901
2020-09-02,32.38916
2020-09-03,33.74384
2020-09-04,29.6798
2020-09-05,14.59359
2020-09-06,12.7463
2020-09-07,31.46551
2020-09-08,29.49507
2020-09-09,25.55418
2020-09-10,30.9729
2020-09-11,29.24876
2020-09-12,13.48522
2020-09-13,12.93103
2020-09-14,30.91133
2020-09-15,30.29556
2020-09-16,32.14285
2020-09-17,27.89408
2020-09-18,29.74137
2020-09-19,15.14778
2020-09-20,12.37684
2020-09-21,25.12315
2020-09-22,25.98522
2020-09-23,23.70689
2020-09-24,29.06403
2020-09-25,23.70689
2020-09-26,10.4064
2020-09-27,8.43596
2020-09-28,17.79556
2020-09-29,18.41133
2020-09-30,8.74384
2020-10-01,6.71182
2020-10-02,7.14285
2020-10-03,6.71182
2020-10-04,7.20443
2020-10-05,20.01231
2020-10-06,21.55172
2020-10-07,22.96798
2020-10-08,25.49261
2020-10-09,11.08374
2020-10-10,10.09852
2020-10-11,10.59113
2020-10-12,22.59852
2020-10-13,23.46059
2020-10-14,20.87438
2020-10-15,24.26108
2020-10-16,17.24137
2020-10-17,9.42118
2020-10-18,8.92857
2020-10-19,14.10098
2020-10-20,18.41133
2020-10-21,19.08866
2020-10-22,18.16502
2020-10-23,15.88669
2020-10-24,10.03694
2020-10-25,7.32758
2020-10-26,15.27093
2020-10-27,15.57881
2020-10-28,16.44088
2020-10-29,15.57881
2020-10-30,13.36206
2020-10-31,4.98768
2020-11-01,6.65024
2020-11-02,14.16256
2020-11-03,17.54926
2020-11-04,17.05665
2020-11-05,19.21182
2020-11-06,18.84236
2020-11-07,10.52955
2020-11-08,9.91379
2020-11-09,29.74137
2020-11-10,25.73891
2020-11-11,25.98522
2020-11-12,27.15517
2020-11-13,23.39901
2020-11-14,11.08374
2020-11-15,9.72906
2020-11-16,31.28078
2020-11-17,29.31034
