date,SOXL
2020-11-11,0.73914
2020-11-12,1.30358
2020-11-13,0.87353
2020-11-14,0.69883
2020-11-15,0.38973
2020-11-16,1.42453
2020-11-17,1.63956
2020-11-18,1.18263
2020-11-19,0.81978
2020-11-20,1.3439
2020-11-21,0.65851
2020-11-22,0.59131
2020-11-23,0.84666
2020-11-24,1.55893
2020-11-25,1.49173
2020-11-26,1.11544
2020-11-27,0.77946
2020-11-28,1.43797
2020-11-29,0.63163
2020-11-30,0.68539
2020-12-01,1.54549
2020-12-02,2.37871
2020-12-03,2.2712
2020-12-04,1.73363
2020-12-05,3.74949
2020-12-06,2.2712
2020-12-07,3.99139
2020-12-08,4.08547
2020-12-09,4.59615
2020-12-10,4.87837
2020-12-11,4.32737
2020-12-12,3.17161
2020-12-13,1.37078
2020-12-14,1.80083
2020-12-15,2.72812
2020-12-16,2.755
2020-12-17,2.66093
2020-12-18,2.43246
2020-12-19,2.53998
2020-12-20,1.47829
2020-12-21,2.12337
2020-12-22,2.40559
2020-12-23,1.61268
2020-12-24,1.49173
2020-12-25,2.48622
2020-12-26,1.72019
2020-12-27,1.15575
2020-12-28,2.08305
2020-12-29,2.10993
2020-12-30,1.97554
2020-12-31,2.9969
2021-01-01,2.4459
2021-01-02,1.15575
2021-01-03,1.15575
2021-01-04,2.24432
2021-01-05,3.01034
2021-01-06,4.64991
2021-01-07,4.7843
2021-01-08,8.57411
2021-01-09,4.1661
2021-01-10,3.27912
2021-01-11,3.07754
2021-01-12,6.32979
2021-01-13,5.89974
2021-01-14,6.22228
2021-01-15,10.84531
2021-01-16,5.87286
2021-01-17,3.52103
2021-01-18,2.92971
2021-01-19,5.12027
2021-01-20,15.29364
2021-01-21,12.37736
2021-01-22,12.31017
2021-01-23,9.6358
2021-01-24,6.84047
2021-01-25,8.82945
2021-01-26,7.70057
2021-01-27,9.93146
2021-01-28,38.47601
2021-01-29,25.18478
2021-01-30,20.03762
2021-01-31,10.88563
2021-02-01,11.69197
2021-02-02,32.25372
2021-02-03,20.58863
2021-02-04,23.5049
2021-02-05,14.33947
2021-02-06,11.82636
2021-02-07,6.89423
2021-02-08,8.18438
2021-02-09,16.66442
2021-02-10,11.31568
2021-02-11,9.98521
2021-02-12,21.93253
2021-02-13,21.94597
2021-02-14,16.71818
2021-02-15,20.88428
2021-02-16,27.13344
2021-02-17,20.45424
2021-02-18,19.94355
2021-02-19,17.68579
2021-02-20,14.00349
2021-02-21,8.54723
2021-02-22,10.24055
2021-02-23,20.89772
2021-02-24,20.3736
2021-02-25,19.95699
2021-02-26,34.91466
2021-02-27,20.52143
2021-02-28,11.356
2021-03-01,16.3822
2021-03-02,52.56013
2021-03-03,64.30587
2021-03-04,43.31407
2021-03-05,60.04569
2021-03-06,39.29579
2021-03-07,21.87877
2021-03-08,23.5049
2021-03-09,47.10388
2021-03-10,28.81333
2021-03-11,28.00698
2021-03-12,28.47735
2021-03-13,19.80916
2021-03-14,11.71885
2021-03-15,16.47628
2021-03-16,31.50114
2021-03-17,26.31366
2021-03-18,24.31124
2021-03-19,25.8433
2021-03-20,14.27227
2021-03-21,7.21677
2021-03-22,12.88805
2021-03-23,22.21475
2021-03-24,22.41634
2021-03-25,18.66684
2021-03-26,18.97594
2021-03-27,22.68512
2021-03-28,10.4959
2021-03-29,13.65407
2021-03-30,18.31743
2021-03-31,16.83913
2021-04-01,27.44254
2021-04-02,31.91775
2021-04-03,12.01451
2021-04-04,12.0817
2021-04-05,22.76575
2021-04-06,28.08762
2021-04-07,20.27953
2021-04-08,19.21784
2021-04-09,19.71509
2021-04-10,12.3908
2021-04-11,7.18989
2021-04-12,13.26434
2021-04-13,20.6827
2021-04-14,20.19889
2021-04-15,16.51659
2021-04-16,14.55449
2021-04-17,10.30775
2021-04-18,4.77086
2021-04-19,10.33463
2021-04-20,26.27335
2021-04-21,22.13412
2021-04-22,16.54347
2021-04-23,16.79881
2021-04-24,10.41526
2021-04-25,4.7843
2021-04-26,7.68713
2021-04-27,13.47937
2021-04-28,10.58997
2021-04-29,10.68404
2021-04-30,11.0469
2021-05-01,17.83362
2021-05-02,5.99381
2021-05-03,10.58997
2021-05-04,26.62276
2021-05-05,25.19822
2021-05-06,16.05966
2021-05-07,14.19164
2021-05-08,8.35909
2021-05-09,3.58822
2021-05-10,11.40975
2021-05-11,40.93535
2021-05-12,23.97527
2021-05-13,40.00806
2021-05-14,21.55624
2021-05-15,15.02486
2021-05-16,7.20333
2021-05-17,11.97419
2021-05-18,21.39497
2021-05-19,17.12135
2021-05-20,23.814
2021-05-21,22.9539
2021-05-22,9.50141
2021-05-23,4.07203
2021-05-24,9.78363
2021-05-25,19.0297
2021-05-26,12.91493
2021-05-27,11.69197
2021-05-28,11.34256
2021-05-29,11.07378
2021-05-30,3.66886
2021-05-31,5.24123
2021-06-01,7.79465
2021-06-02,9.05792
2021-06-03,10.28087
2021-06-04,8.7085
2021-06-05,8.31877
2021-06-06,3.40008
2021-06-07,5.60408
2021-06-08,9.13855
2021-06-09,8.76226
2021-06-10,7.88872
2021-06-11,6.78672
2021-06-12,4.77086
2021-06-13,2.74156
2021-06-14,5.41593
2021-06-15,11.14097
2021-06-16,7.02862
2021-06-17,7.90216
2021-06-18,9.11167
2021-06-19,10.95282
2021-06-20,4.2333
2021-06-21,5.76535
2021-06-22,7.99623
2021-06-23,8.64131
2021-06-24,8.37253
2021-06-25,9.3267
2021-06-26,4.58271
2021-06-27,3.35976
2021-06-28,5.17403
2021-06-29,13.19715
2021-06-30,9.82394
2021-07-01,7.66026
2021-07-02,7.78121
2021-07-03,5.06652
2021-07-04,2.36527
2021-07-05,3.41351
2021-07-06,5.24123
2021-07-07,6.66577
2021-07-08,9.55516
2021-07-09,6.69264
2021-07-10,5.3353
2021-07-11,2.09649
2021-07-12,3.56134
2021-07-13,6.86735
2021-07-14,6.63889
2021-07-15,7.43179
2021-07-16,9.34014
2021-07-17,8.38596
2021-07-18,3.3732
2021-07-19,8.69506
2021-07-20,10.38838
2021-07-21,7.8484
2021-07-22,10.34807
2021-07-23,7.70057
