date,부동산조각투자
2021-04-09,8.89487
2021-05-04,0.94339
2021-05-16,1.61725
2021-05-17,0.80862
2021-06-23,0.67385
2021-08-02,2.15633
2021-08-08,0.80862
2021-08-28,7.00808
2021-08-29,1.75202
2021-08-30,1.75202
2021-09-03,0.80862
2021-09-04,1.07816
2021-09-07,0.67385
2021-09-22,0.94339
2021-09-26,1.21293
2021-10-02,0.94339
2021-10-03,0.80862
2021-10-15,1.07816
2021-10-19,12.53369
2021-11-01,0.67385
2021-11-19,0.67385
2021-11-22,0.94339
2021-11-24,0.67385
2021-12-13,0.80862
2021-12-15,0.67385
2022-01-05,0.67385
2022-01-07,0.94339
2022-01-09,1.07816
2022-01-12,2.42587
2022-01-13,5.66037
2022-01-15,0.80862
2022-01-18,0.94339
2022-01-20,0.80862
2022-01-21,0.94339
2022-01-27,1.61725
2022-02-04,0.67385
2022-02-05,0.80862
2022-02-09,0.67385
2022-02-10,1.21293
2022-02-12,5.25606
2022-02-13,0.94339
2022-02-14,0.67385
2022-02-15,0.67385
2022-02-16,0.67385
2022-02-17,0.94339
2022-02-21,0.94339
2022-02-23,2.02156
2022-02-25,2.2911
2022-02-26,0.80862
2022-02-27,1.07816
2022-03-03,1.75202
2022-03-04,1.07816
2022-03-06,0.67385
2022-03-09,0.67385
2022-03-13,0.67385
2022-03-14,19.407
2022-03-15,100.0
2022-03-16,35.84905
2022-03-17,93.9353
2022-03-18,9.97304
2022-03-19,4.44743
2022-03-20,26.28032
2022-03-21,7.41239
2022-03-22,18.59838
2022-03-23,4.17789
2022-03-24,17.92452
2022-03-25,5.39083
2022-03-26,2.96495
2022-03-27,4.85175
2022-03-28,6.06469
2022-03-29,3.90835
2022-03-30,4.71698
2022-03-31,3.50404
2022-04-01,3.36927
2022-04-02,1.07816
2022-04-03,2.2911
2022-04-04,3.90835
2022-04-05,4.71698
2022-04-06,4.44743
2022-04-07,2.69541
2022-04-08,2.56064
2022-04-09,0.67385
2022-04-10,2.56064
2022-04-11,3.09973
2022-04-12,3.36927
2022-04-13,5.66037
2022-04-14,3.50404
2022-04-15,2.83018
2022-04-16,1.21293
2022-04-17,2.56064
2022-04-18,3.63881
2022-04-19,4.17789
2022-04-20,9.16442
2022-04-21,12.26415
2022-04-22,5.66037
2022-04-23,4.98652
2022-04-24,6.33423
2022-04-25,8.89487
2022-04-26,11.45552
2022-04-27,11.85983
2022-04-28,6.60377
2022-04-29,9.97304
2022-04-30,2.2911
2022-05-01,6.06469
2022-05-02,8.49056
2022-05-03,9.02964
2022-05-04,4.98652
2022-05-05,1.75202
2022-05-06,7.81671
2022-05-07,3.50404
2022-05-08,4.17789
2022-05-09,7.14285
2022-05-10,7.41239
2022-05-11,4.85175
2022-05-12,5.79514
2022-05-13,4.31266
2022-05-14,2.2911
2022-05-15,2.42587
2022-05-16,9.16442
2022-05-17,17.25067
2022-05-18,9.56873
2022-05-19,5.79514
2022-05-20,6.06469
2022-05-21,2.56064
2022-05-22,2.15633
2022-05-23,6.33423
2022-05-24,6.06469
2022-05-25,23.04582
2022-05-26,34.90566
2022-05-27,9.56873
2022-05-28,3.63881
2022-05-29,2.83018
2022-05-30,7.95148
2022-05-31,8.89487
2022-06-01,4.44743
2022-06-02,7.27762
2022-06-03,12.26415
2022-06-04,10.91644
2022-06-05,10.37735
2022-06-06,11.72506
2022-06-07,16.71159
2022-06-08,15.76819
2022-06-09,36.52291
2022-06-10,16.71159
2022-06-11,12.39892
2022-06-12,10.24258
2022-06-13,13.20754
2022-06-14,19.407
2022-06-15,7.00808
2022-06-16,6.06469
2022-06-17,7.68194
2022-06-18,4.98652
2022-06-19,4.04312
2022-06-20,5.79514
2022-06-21,4.71698
2022-06-22,7.54716
2022-06-23,6.73854
2022-06-24,4.58221
2022-06-25,2.96495
2022-06-26,8.22102
2022-06-27,5.39083
2022-06-28,6.469
2022-06-29,9.56873
2022-06-30,8.7601
2022-07-01,4.85175
2022-07-02,3.50404
2022-07-03,7.27762
2022-07-04,17.25067
2022-07-05,9.97304
2022-07-06,5.79514
2022-07-07,7.27762
2022-07-08,4.04312
