date,컨설팅
2020-03-20,69.38775
2020-03-21,50.06002
2020-03-22,40.45618
2020-03-23,79.71188
2020-03-24,82.71308
2020-03-25,77.43097
2020-03-26,83.43337
2020-03-27,71.30852
2020-03-28,39.73589
2020-03-29,40.93637
2020-03-30,75.15006
2020-03-31,73.94957
2020-04-01,71.42857
2020-04-02,78.7515
2020-04-03,63.38535
2020-04-04,35.7743
2020-04-05,38.89555
2020-04-06,69.5078
2020-04-07,74.78991
2020-04-08,73.58943
2020-04-09,81.39255
2020-04-10,65.54621
2020-04-11,40.81632
2020-04-12,42.37695
2020-04-13,77.07082
2020-04-14,74.66986
2020-04-15,45.37815
2020-04-16,77.19087
2020-04-17,75.99039
2020-04-18,39.73589
2020-04-19,40.33613
2020-04-20,87.99519
2020-04-21,78.63145
2020-04-22,89.55582
2020-04-23,84.15366
2020-04-24,73.58943
2020-04-25,41.41656
2020-04-26,36.73469
2020-04-27,80.07202
2020-04-28,88.23529
2020-04-29,74.54981
2020-04-30,43.09723
2020-05-01,43.09723
2020-05-02,33.73349
2020-05-03,37.33493
2020-05-04,57.98319
2020-05-05,42.61704
2020-05-06,80.31212
2020-05-07,85.59423
2020-05-08,69.02761
2020-05-09,43.21728
2020-05-10,39.85594
2020-05-11,91.11644
2020-05-12,90.63625
2020-05-13,89.19567
2020-05-14,92.07683
2020-05-15,75.15006
2020-05-16,38.05522
2020-05-17,38.29531
2020-05-18,84.87394
2020-05-19,83.79351
2020-05-20,83.43337
2020-05-21,83.43337
2020-05-22,85.11404
2020-05-23,43.57743
2020-05-24,40.21608
2020-05-25,77.55102
2020-05-26,89.43577
2020-05-27,79.71188
2020-05-28,78.63145
2020-05-29,73.94957
2020-05-30,42.97719
2020-05-31,42.13685
2020-06-01,71.54861
2020-06-02,83.07322
2020-06-03,87.99519
2020-06-04,87.63505
2020-06-05,74.54981
2020-06-06,40.93637
2020-06-07,41.65666
2020-06-08,81.99279
2020-06-09,88.23529
2020-06-10,80.19207
2020-06-11,82.71308
2020-06-12,70.70828
2020-06-13,47.17887
2020-06-14,41.17647
2020-06-15,81.15246
2020-06-16,83.91356
2020-06-17,87.7551
2020-06-18,85.11404
2020-06-19,73.58943
2020-06-20,42.97719
2020-06-21,43.33733
2020-06-22,78.7515
2020-06-23,84.39375
2020-06-24,83.31332
2020-06-25,86.55462
2020-06-26,70.94837
2020-06-27,43.93757
2020-06-28,47.05882
2020-06-29,78.87154
2020-06-30,84.39375
2020-07-01,79.35174
2020-07-02,80.67226
2020-07-03,65.30612
2020-07-04,39.13565
2020-07-05,40.33613
2020-07-06,77.67106
2020-07-07,75.87034
2020-07-08,80.07202
2020-07-09,80.19207
2020-07-10,69.98799
2020-07-11,36.13445
2020-07-12,41.17647
2020-07-13,75.03001
2020-07-14,81.99279
2020-07-15,80.79231
2020-07-16,85.83433
2020-07-17,75.03001
2020-07-18,40.45618
2020-07-19,38.17527
2020-07-20,80.67226
2020-07-21,73.82953
2020-07-22,80.43217
2020-07-23,84.39375
2020-07-24,73.70948
2020-07-25,39.61584
2020-07-26,35.41416
2020-07-27,78.87154
2020-07-28,75.7503
2020-07-29,81.63265
2020-07-30,73.70948
2020-07-31,63.14525
2020-08-01,32.17286
2020-08-02,34.21368
2020-08-03,72.86914
2020-08-04,75.03001
2020-08-05,78.7515
2020-08-06,76.11044
2020-08-07,73.94957
2020-08-08,41.65666
2020-08-09,38.41536
2020-08-10,74.90996
2020-08-11,82.11284
2020-08-12,81.39255
2020-08-13,75.63025
2020-08-14,79.95198
2020-08-15,39.49579
2020-08-16,37.21488
2020-08-17,47.29891
2020-08-18,75.2701
2020-08-19,73.58943
2020-08-20,77.79111
2020-08-21,71.18847
2020-08-22,43.81752
2020-08-23,39.97599
2020-08-24,71.54861
2020-08-25,79.83193
2020-08-26,78.2713
2020-08-27,89.07563
2020-08-28,70.70828
2020-08-29,43.21728
2020-08-30,37.81512
2020-08-31,80.55222
