date,상가매매
2020-03-20,48.95908
2020-03-21,47.02081
2020-03-22,48.52835
2020-03-23,55.20459
2020-03-24,47.45154
2020-03-25,50.17946
2020-03-26,88.44221
2020-03-27,53.84063
2020-03-28,53.33811
2020-03-29,48.02584
2020-03-30,51.39985
2020-03-31,65.25484
2020-04-01,54.84565
2020-04-02,55.06101
2020-04-03,47.30796
2020-04-04,45.65685
2020-04-05,50.10768
2020-04-06,54.84565
2020-04-07,57.07106
2020-04-08,54.48671
2020-04-09,48.88729
2020-04-10,44.00574
2020-04-11,44.29289
2020-04-12,55.63531
2020-04-13,55.1328
2020-04-14,57.07106
2020-04-15,42.92893
2020-04-16,48.74371
2020-04-17,49.10265
2020-04-18,47.23618
2020-04-19,61.30653
2020-04-20,57.57358
2020-04-21,57.50179
2020-04-22,62.52692
2020-04-23,56.92749
2020-04-24,50.75376
2020-04-25,44.43646
2020-04-26,52.18951
2020-04-27,57.07106
2020-04-28,54.12778
2020-04-29,46.15936
2020-04-30,44.58004
2020-05-01,44.7954
2020-05-02,46.59009
2020-05-03,55.99425
2020-05-04,48.09763
2020-05-05,61.73725
2020-05-06,59.51184
2020-05-07,49.74874
2020-05-08,48.67193
2020-05-09,44.36468
2020-05-10,48.95908
2020-05-11,59.00933
2020-05-12,54.91744
2020-05-13,49.67695
2020-05-14,48.2412
2020-05-15,49.31801
2020-05-16,41.42139
2020-05-17,51.39985
2020-05-18,59.08111
2020-05-19,57.57358
2020-05-20,51.39985
2020-05-21,49.31801
2020-05-22,50.5384
2020-05-23,42.64178
2020-05-24,47.45154
2020-05-25,56.92749
2020-05-26,54.70208
2020-05-27,52.62024
2020-05-28,51.18449
2020-05-29,45.44149
2020-05-30,41.70854
2020-05-31,40.7753
2020-06-01,49.31801
2020-06-02,50.82555
2020-06-03,56.42498
2020-06-04,51.18449
2020-06-05,54.41493
2020-06-06,50.39483
2020-06-07,54.41493
2020-06-08,59.00933
2020-06-09,55.20459
2020-06-10,52.62024
2020-06-11,53.55348
2020-06-12,40.48815
2020-06-13,40.55994
2020-06-14,45.87221
2020-06-15,56.71213
2020-06-16,50.96913
2020-06-17,54.34314
2020-06-18,54.41493
2020-06-19,53.69705
2020-06-20,47.30796
2020-06-21,52.76381
2020-06-22,61.66547
2020-06-23,59.22469
2020-06-24,60.8758
2020-06-25,53.84063
2020-06-26,49.46159
2020-06-27,46.87724
2020-06-28,54.63029
2020-06-29,60.94759
2020-06-30,60.51687
2020-07-01,58.86575
2020-07-02,58.5786
2020-07-03,50.96913
2020-07-04,45.44149
2020-07-05,53.19454
2020-07-06,63.46015
2020-07-07,61.80904
2020-07-08,58.29145
2020-07-09,56.78391
2020-07-10,48.88729
2020-07-11,50.17946
2020-07-12,61.37832
2020-07-13,60.37329
2020-07-14,64.17803
2020-07-15,59.94256
2020-07-16,51.32806
2020-07-17,58.36324
2020-07-18,57.86073
2020-07-19,58.79396
2020-07-20,66.47523
2020-07-21,63.53194
2020-07-22,59.22469
2020-07-23,61.30653
2020-07-24,55.99425
2020-07-25,54.41493
2020-07-26,59.29648
2020-07-27,69.70567
2020-07-28,65.03948
2020-07-29,63.67552
2020-07-30,63.60373
2020-07-31,55.85068
2020-08-01,51.75879
2020-08-02,59.36826
2020-08-03,60.22972
2020-08-04,56.06604
2020-08-05,59.65541
2020-08-06,53.33811
2020-08-07,49.82053
2020-08-08,57.86073
2020-08-09,57.57358
2020-08-10,61.30653
2020-08-11,57.86073
2020-08-12,57.43
2020-08-13,58.72218
2020-08-14,56.64034
2020-08-15,52.69203
2020-08-16,58.5786
2020-08-17,56.99928
2020-08-18,51.83058
2020-08-19,53.9842
2020-08-20,55.7071
2020-08-21,54.48671
2020-08-22,53.76884
2020-08-23,58.29145
2020-08-24,62.95764
2020-08-25,53.69705
2020-08-26,50.46661
2020-08-27,51.32806
2020-08-28,46.01579
2020-08-29,46.94903
2020-08-30,48.8155
2020-08-31,51.97415
2020-09-01,56.92749
2020-09-02,57.86073
2020-09-03,55.20459
2020-09-04,48.16941
2020-09-05,49.74874
2020-09-06,55.56353
2020-09-07,67.26489
2020-09-08,60.94759
2020-09-09,57.93251
2020-09-10,55.77889
2020-09-11,47.73869
2020-09-12,45.72864
2020-09-13,51.04091
2020-09-14,57.78894
2020-09-15,61.16295
2020-09-16,57.43
2020-09-17,49.17444
2020-09-18,50.03589
2020-09-19,53.9842
2020-09-20,54.19956
2020-09-21,54.48671
2020-09-22,49.89231
2020-09-23,52.8356
2020-09-24,49.17444
2020-09-25,42.4982
2020-09-26,44.93898
2020-09-27,48.16941
2020-09-28,46.73366
