date,메타디움
2020-03-20,0.14758
2020-03-21,0.07133
2020-03-22,0.09346
2020-03-23,0.091
2020-03-24,0.15004
2020-03-25,0.22383
2020-03-26,0.24843
2020-03-27,0.14266
2020-03-28,0.09838
2020-03-29,0.13774
2020-03-30,0.36895
2020-03-31,0.26073
2020-04-01,0.18939
2020-04-02,0.21153
2020-04-03,0.17218
2020-04-04,0.08854
2020-04-05,0.08854
2020-04-06,0.23859
2020-04-07,0.29024
2020-04-08,0.19431
2020-04-09,0.1402
2020-04-10,0.13036
2020-04-11,0.09346
2020-04-12,0.06887
2020-04-13,0.12052
2020-04-14,0.18447
2020-04-15,0.12298
2020-04-16,0.17709
2020-04-17,0.11806
2020-04-18,0.11068
2020-04-19,0.08117
2020-04-20,0.1279
2020-04-21,0.18447
2020-04-22,0.14758
2020-04-23,0.11068
2020-04-24,0.15988
2020-04-25,0.08609
2020-04-26,0.14512
2020-04-27,0.21645
2020-04-28,0.14512
2020-04-29,0.20415
2020-04-30,0.22629
2020-05-01,0.1525
2020-05-02,0.1279
2020-05-03,0.18939
2020-05-04,0.33206
2020-05-05,0.27056
2020-05-06,1.10195
2020-05-07,2.52367
2020-05-08,2.05632
2020-05-09,1.0011
2020-05-10,0.49686
2020-05-11,0.47472
2020-05-12,0.78219
2020-05-13,0.52146
2020-05-14,0.55589
2020-05-15,0.26073
2020-05-16,0.17955
2020-05-17,0.25581
2020-05-18,0.37633
2020-05-19,0.88304
2020-05-20,1.26921
2020-05-21,0.81908
2020-05-22,0.41077
2020-05-23,0.29762
2020-05-24,0.26564
2020-05-25,0.38125
2020-05-26,0.41323
2020-05-27,0.44274
2020-05-28,0.35911
2020-05-29,0.26073
2020-05-30,0.17464
2020-05-31,0.21399
2020-06-01,0.33944
2020-06-02,0.40339
2020-06-03,0.29516
2020-06-04,0.28778
2020-06-05,0.25827
2020-06-06,0.20415
2020-06-07,0.22875
2020-06-08,0.32222
2020-06-09,0.40831
2020-06-10,0.38617
2020-06-11,0.31976
2020-06-12,0.20661
2020-06-13,0.14266
2020-06-14,0.13528
2020-06-15,0.20169
2020-06-16,0.23613
2020-06-17,0.20415
2020-06-18,0.16726
2020-06-19,0.1156
2020-06-20,0.10084
2020-06-21,0.11068
2020-06-22,0.16972
2020-06-23,0.2927
2020-06-24,0.22383
2020-06-25,0.22875
2020-06-26,0.18447
2020-06-27,0.14758
2020-06-28,0.14512
2020-06-29,0.17955
2020-06-30,0.19185
2020-07-01,0.22875
2020-07-02,0.13036
2020-07-03,0.15004
2020-07-04,0.15496
2020-07-05,0.11068
2020-07-06,0.21153
2020-07-07,0.15004
2020-07-08,0.16234
2020-07-09,0.18939
2020-07-10,0.19677
2020-07-11,0.16972
2020-07-12,0.1402
2020-07-13,0.18693
2020-07-14,0.15742
