date,벤처인증
2020-03-20,38.20224
2020-03-21,17.97752
2020-03-22,10.67415
2020-03-23,51.68539
2020-03-24,55.05617
2020-03-25,43.25842
2020-03-26,48.3146
2020-03-27,29.21348
2020-03-28,11.79775
2020-03-29,10.67415
2020-03-30,39.88764
2020-03-31,50.56179
2020-04-01,41.01123
2020-04-02,43.25842
2020-04-03,29.77528
2020-04-04,4.49438
2020-04-05,6.17977
2020-04-06,46.06741
2020-04-07,69.10112
2020-04-08,46.06741
2020-04-09,39.32584
2020-04-10,24.7191
2020-04-11,13.48314
2020-04-12,9.55056
2020-04-13,62.92134
2020-04-14,48.3146
2020-04-15,16.29213
2020-04-16,36.51685
2020-04-17,36.51685
2020-04-18,8.42696
2020-04-19,6.17977
2020-04-20,43.25842
2020-04-21,34.83146
2020-04-22,39.88764
2020-04-23,47.19101
2020-04-24,57.30337
2020-04-25,6.17977
2020-04-26,7.86516
2020-04-27,40.44943
2020-04-28,38.76404
2020-04-29,30.89887
2020-04-30,12.92134
2020-05-01,10.11235
2020-05-02,7.86516
2020-05-03,7.86516
2020-05-04,30.89887
2020-05-05,15.16853
2020-05-06,43.25842
2020-05-07,44.94382
2020-05-08,45.50561
2020-05-09,8.42696
2020-05-10,4.49438
2020-05-11,39.88764
2020-05-12,48.3146
2020-05-13,51.12359
2020-05-14,50.0
2020-05-15,42.69662
2020-05-16,7.30337
2020-05-17,10.67415
2020-05-18,48.3146
2020-05-19,53.37078
2020-05-20,49.4382
2020-05-21,34.83146
2020-05-22,34.26966
2020-05-23,10.11235
2020-05-24,7.86516
2020-05-25,42.69662
2020-05-26,26.96629
2020-05-27,38.76404
2020-05-28,33.70786
2020-05-29,29.21348
2020-05-30,14.04494
2020-05-31,12.92134
2020-06-01,43.25842
2020-06-02,53.93258
2020-06-03,45.50561
2020-06-04,39.32584
2020-06-05,25.28089
2020-06-06,8.98876
2020-06-07,10.11235
2020-06-08,37.64044
2020-06-09,35.39325
2020-06-10,41.01123
2020-06-11,34.83146
2020-06-12,33.14606
2020-06-13,10.11235
2020-06-14,4.49438
2020-06-15,39.32584
2020-06-16,46.06741
2020-06-17,34.26966
2020-06-18,33.14606
2020-06-19,19.66292
2020-06-20,9.55056
2020-06-22,42.69662
2020-06-23,47.19101
2020-06-24,44.94382
2020-06-25,44.38202
2020-06-26,35.95505
2020-06-27,5.61797
2020-06-28,2.80898
2020-06-29,35.39325
2020-06-30,43.82022
2020-07-01,39.32584
2020-07-02,35.39325
2020-07-03,30.33707
2020-07-04,7.86516
2020-07-05,2.80898
2020-07-06,39.88764
2020-07-07,41.01123
2020-07-08,39.88764
2020-07-09,38.20224
2020-07-10,30.89887
2020-07-11,11.23595
2020-07-12,5.05617
2020-07-13,28.65168
2020-07-14,34.83146
2020-07-15,29.21348
2020-07-16,35.39325
2020-07-17,32.02247
2020-07-18,5.61797
2020-07-19,7.30337
2020-07-20,30.89887
2020-07-21,37.07865
2020-07-22,39.88764
2020-07-23,43.25842
