date,선악과즙
2020-03-20,1.26448
2020-03-21,1.15911
2020-03-22,1.84404
2020-03-23,1.63329
2020-03-24,1.47523
2020-03-25,1.58061
2020-03-26,1.89673
2020-03-27,0.84299
2020-03-28,1.52792
2020-03-29,1.42255
2020-03-30,0.73761
2020-03-31,2.37091
2020-04-01,1.94942
2020-04-02,2.26554
2020-04-03,1.05374
2020-04-04,1.05374
2020-04-05,1.15911
2020-04-06,1.84404
2020-04-07,1.79135
2020-04-08,1.26448
2020-04-09,1.2118
2020-04-10,2.26554
2020-04-11,1.58061
2020-04-12,1.84404
2020-04-13,0.84299
2020-04-14,1.79135
2020-04-15,1.00105
2020-04-16,1.36986
2020-04-17,1.73867
2020-04-18,1.52792
2020-04-19,1.73867
2020-04-20,1.47523
2020-04-21,1.58061
2020-04-22,1.58061
2020-04-23,0.94836
2020-04-24,1.05374
2020-04-25,0.7903
2020-04-26,1.79135
2020-04-27,1.42255
2020-04-28,1.2118
2020-04-29,1.00105
2020-04-30,0.84299
2020-05-01,1.00105
2020-05-02,1.36986
2020-05-03,1.42255
2020-05-04,1.63329
2020-05-05,1.89673
2020-05-06,1.79135
2020-05-07,1.42255
2020-05-08,1.68598
2020-05-09,0.84299
2020-05-10,1.36986
2020-05-11,1.31717
2020-05-12,1.52792
2020-05-13,2.0021
2020-05-14,0.63224
2020-05-15,0.73761
2020-05-16,1.63329
2020-05-17,1.52792
2020-05-18,1.68598
2020-05-19,0.89567
2020-05-20,0.7903
2020-05-21,1.10642
2020-05-22,1.00105
2020-05-23,1.2118
2020-05-24,1.73867
2020-05-25,1.36986
2020-05-26,1.15911
2020-05-27,1.68598
2020-05-28,2.63435
2020-05-29,1.63329
2020-05-30,1.94942
2020-05-31,3.53003
2020-06-01,3.2139
2020-06-02,3.05584
2020-06-03,4.21496
2020-06-04,4.0569
2020-06-05,7.37618
2020-06-06,8.16649
2020-06-07,8.1138
2020-06-08,6.21707
2020-06-09,5.79557
2020-06-10,6.11169
2020-06-11,3.47734
2020-06-12,2.73972
2020-06-13,2.89778
2020-06-14,3.95152
2020-06-15,2.4236
2020-06-16,2.31822
2020-06-17,4.37302
2020-06-18,4.47839
2020-06-19,4.74183
2020-06-20,5.90094
2020-06-21,4.89989
2020-06-22,5.74288
2020-06-23,5.00526
2020-06-24,6.32244
2020-06-25,4.74183
2020-06-26,3.84615
2020-06-27,5.21601
2020-06-28,4.95258
2020-06-29,4.16227
2020-06-30,3.68809
2020-07-01,3.47734
2020-07-02,3.6354
2020-07-03,3.47734
2020-07-04,6.11169
2020-07-05,4.42571
2020-07-06,2.73972
2020-07-07,4.74183
2020-07-08,5.00526
2020-07-09,4.26765
2020-07-10,3.79346
2020-07-11,5.16332
2020-07-12,5.74288
2020-07-13,3.79346
2020-07-14,3.74077
2020-07-15,3.16122
2020-07-16,2.89778
2020-07-17,3.42465
2020-07-18,5.37407
2020-07-19,5.16332
2020-07-20,5.53213
2020-07-21,6.58587
2020-07-22,3.95152
2020-07-23,4.32033
2020-07-24,4.47839
2020-07-25,5.16332
2020-07-26,6.11169
2020-07-27,6.63856
2020-07-28,3.79346
2020-07-29,5.05795
2020-07-30,3.95152
2020-07-31,3.58271
2020-08-01,5.37407
2020-08-02,4.63645
2020-08-03,3.05584
2020-08-04,3.68809
2020-08-05,4.63645
2020-08-06,5.90094
2020-08-07,4.26765
2020-08-08,4.47839
2020-08-09,4.58377
2020-08-10,15.38461
2020-08-11,9.3256
2020-08-12,4.37302
2020-08-13,3.74077
2020-08-14,4.47839
2020-08-15,5.00526
2020-08-16,4.10958
2020-08-17,5.53213
2020-08-18,3.74077
2020-08-19,4.00421
2020-08-20,3.10853
2020-08-21,2.47629
2020-08-22,4.21496
2020-08-23,4.37302
2020-08-24,3.84615
2020-08-25,3.16122
2020-08-26,4.16227
2020-08-27,4.0569
2020-08-28,3.6354
2020-08-29,4.47839
2020-08-30,5.84826
2020-08-31,3.53003
2020-09-01,3.16122
2020-09-02,3.05584
2020-09-03,4.0569
2020-09-04,4.21496
2020-09-05,4.0569
2020-09-06,5.90094
2020-09-07,3.10853
2020-09-08,3.79346
2020-09-09,2.31822
2020-09-10,3.10853
2020-09-11,2.21285
2020-09-12,4.42571
2020-09-13,4.53108
2020-09-14,3.10853
2020-09-15,2.8451
2020-09-16,3.42465
2020-09-17,3.00316
2020-09-18,4.26765
2020-09-19,3.58271
2020-09-20,3.16122
2020-09-21,3.31928
2020-09-22,1.94942
2020-09-23,2.68703
2020-09-24,3.05584
2020-09-25,4.10958
2020-09-26,3.00316
2020-09-27,2.68703
2020-09-28,2.58166
2020-09-29,2.16016
2020-09-30,1.52792
2020-10-01,2.73972
2020-10-02,2.95047
2020-10-03,4.89989
2020-10-04,5.00526
2020-10-05,2.8451
2020-10-06,2.52897
2020-10-07,3.58271
2020-10-08,2.47629
2020-10-09,2.89778
2020-10-10,3.37197
2020-10-11,4.37302
2020-10-12,3.26659
2020-10-13,2.4236
2020-10-14,3.31928
2020-10-15,2.73972
2020-10-16,2.79241
2020-10-17,3.16122
2020-10-18,3.47734
2020-10-19,2.63435
2020-10-20,2.21285
2020-10-21,2.10748
2020-10-22,2.79241
2020-10-23,2.26554
2020-10-24,2.8451
2020-10-25,3.26659
2020-10-26,3.05584
2020-10-27,2.73972
2020-10-28,2.89778
2020-10-29,2.31822
2020-10-30,1.94942
2020-10-31,2.73972
2020-11-01,2.79241
2020-11-02,3.31928
2020-11-03,1.94942
2020-11-04,2.4236
2020-11-05,3.16122
2020-11-06,4.16227
2020-11-07,5.74288
2020-11-08,5.00526
2020-11-09,4.32033
2020-11-10,3.89884
2020-11-11,3.95152
2020-11-12,4.95258
2020-11-13,4.74183
2020-11-14,4.58377
2020-11-15,7.42887
2020-11-16,6.37513
2020-11-17,9.90516
2020-11-18,8.1138
2020-11-19,8.06111
2020-11-20,9.06217
2020-11-21,10.01053
2020-11-22,11.22233
2020-11-23,17.80821
2020-11-24,16.28029
2020-11-25,16.91253
2020-11-26,11.32771
2020-11-27,8.95679
2020-11-28,7.58693
2020-11-29,7.00737
2020-11-30,8.1138
2020-12-01,9.22023
2020-12-02,16.12223
2020-12-03,11.01159
2020-12-04,9.64172
2020-12-05,7.53424
2020-12-06,8.64067
2020-12-07,8.1138
2020-12-08,9.95785
2020-12-09,10.37934
2020-12-10,9.7471
2020-12-11,7.27081
2020-12-12,7.48155
2020-12-13,8.69336
2020-12-14,9.11485
2020-12-15,5.95363
2020-12-16,4.63645
2020-12-17,4.8472
2020-12-18,4.95258
2020-12-19,4.37302
2020-12-20,6.11169
2020-12-21,5.90094
2020-12-22,6.42781
2020-12-23,4.74183
2020-12-24,23.60379
2020-12-25,21.65437
2020-12-26,10.74815
2020-12-27,9.37829
2020-12-28,6.58587
2020-12-29,7.6923
2020-12-30,6.21707
2020-12-31,6.059
2021-01-01,3.53003
2021-01-02,5.00526
2021-01-03,5.32139
2021-01-04,5.11064
2021-01-05,4.37302
2021-01-06,3.37197
