date,오늘상장주
2020-04-22,0.33624
2020-05-22,4.16946
2020-05-25,0.33624
2020-06-08,0.53799
2020-06-09,0.33624
2020-06-17,7.33019
2020-06-18,0.67249
2020-06-22,3.16072
2020-06-23,0.94149
2020-06-24,1.21049
2020-06-25,1.74848
2020-06-29,0.47074
2020-07-01,6.59045
2020-07-02,4.37121
2020-07-03,2.89172
2020-07-04,0.33624
2020-07-06,2.35373
2020-07-09,0.40349
2020-07-13,1.74848
2020-07-14,0.87424
2020-07-15,2.75722
2020-07-16,8.67518
2020-07-17,1.27774
2020-07-20,0.94149
2020-07-21,0.80699
2020-07-22,6.05245
2020-07-23,4.64021
2020-07-24,4.10221
2020-07-27,0.73974
2020-07-28,0.87424
2020-07-29,2.75722
2020-07-30,2.89172
2020-07-31,3.63147
2020-08-03,1.34498
2020-08-04,0.87424
2020-08-05,1.54673
2020-08-06,3.49697
2020-08-07,1.74848
2020-08-10,1.61398
2020-08-11,0.40349
2020-08-12,2.21923
2020-08-13,0.94149
2020-08-18,0.60524
2020-08-21,0.40349
2020-08-24,0.47074
2020-08-31,0.33624
2020-09-01,0.40349
2020-09-09,3.69872
2020-09-10,1.27774
2020-09-14,2.68997
2020-09-16,1.14324
2020-09-18,0.40349
2020-09-21,0.33624
2020-09-22,0.73974
2020-09-23,0.40349
2020-09-24,0.33624
2020-10-05,0.67249
2020-10-15,3.16072
2020-10-19,0.53799
2020-10-22,0.33624
2020-10-28,1.14324
2020-10-29,0.60524
2020-10-30,0.60524
2020-11-06,1.14324
2020-11-09,0.53799
2020-11-12,0.60524
2020-11-13,0.47074
2020-11-16,0.47074
2020-11-17,1.88298
2020-11-18,1.74848
2020-11-19,1.27774
2020-11-20,3.83322
2020-11-23,0.53799
2020-11-24,0.60524
2020-11-25,1.27774
2020-11-26,1.07599
2020-11-27,0.60524
2020-12-01,0.60524
2020-12-02,3.63147
2020-12-03,2.28648
2020-12-04,1.27774
2020-12-07,1.27774
2020-12-08,0.60524
2020-12-09,1.14324
2020-12-10,1.81573
2020-12-11,1.07599
2020-12-14,2.48823
2020-12-15,1.07599
2020-12-16,1.14324
2020-12-17,2.21923
2020-12-19,0.40349
2020-12-21,2.82447
2020-12-22,4.57296
2020-12-23,6.72494
2020-12-24,3.56422
2020-12-28,1.95023
2020-12-29,1.34498
2020-12-30,2.01748
2021-01-04,0.40349
2021-01-12,0.33624
2021-01-13,0.33624
2021-01-14,0.33624
2021-01-18,1.14324
2021-01-20,0.33624
2021-01-21,2.82447
2021-01-22,0.40349
2021-01-25,0.67249
2021-01-26,0.53799
2021-01-27,1.41223
2021-01-28,3.42972
2021-01-29,2.35373
2021-02-01,1.00874
2021-02-02,3.76597
2021-02-03,3.49697
2021-02-04,1.00874
2021-02-05,5.17821
2021-02-08,1.54673
2021-02-09,2.89172
2021-02-10,1.81573
2021-02-15,1.07599
2021-02-16,6.59045
2021-02-17,1.00874
