date,주식추천
2020-03-20,77.3617
2020-03-21,36.42553
2020-03-22,36.0851
2020-03-23,63.57446
2020-03-24,69.27659
2020-03-25,90.38297
2020-03-26,87.65957
2020-03-27,69.27659
2020-03-28,34.29787
2020-03-29,32.0851
2020-03-30,70.7234
2020-03-31,85.3617
2020-04-01,74.55319
2020-04-02,60.59574
2020-04-03,46.80851
2020-04-04,27.06382
2020-04-05,24.42553
2020-04-06,61.19148
2020-04-07,72.34042
2020-04-08,64.68085
2020-04-09,61.95744
2020-04-10,51.65957
2020-04-11,24.0
2020-04-12,24.85106
2020-04-13,38.7234
2020-04-14,40.93617
2020-04-15,20.42553
2020-04-16,39.06382
2020-04-17,51.23404
2020-04-18,22.97872
2020-04-19,24.59574
2020-04-20,44.93617
2020-04-21,39.74468
2020-04-22,41.70212
2020-04-23,47.82978
2020-04-24,33.19148
2020-04-25,13.27659
2020-04-26,16.68085
2020-04-27,37.3617
2020-04-28,37.95744
2020-04-29,30.12765
2020-04-30,15.65957
2020-05-01,10.04255
2020-05-02,12.42553
2020-05-03,13.87234
2020-05-04,25.27659
2020-05-05,17.3617
2020-05-06,30.63829
2020-05-07,31.23404
2020-05-08,31.06382
2020-05-09,16.51063
2020-05-10,15.48936
2020-05-11,35.31914
2020-05-12,38.63829
2020-05-13,36.68085
2020-05-14,40.93617
2020-05-15,29.87234
2020-05-16,14.12765
2020-05-17,14.12765
2020-05-18,39.40425
2020-05-19,52.25531
2020-05-20,54.04255
2020-05-21,54.80851
2020-05-22,39.91489
2020-05-23,17.4468
2020-05-24,18.29787
2020-05-25,47.31914
2020-05-26,60.17021
2020-05-27,54.55319
2020-05-28,52.93617
2020-05-29,36.51063
2020-05-30,19.74468
2020-05-31,20.85106
2020-06-01,48.93617
2020-06-02,64.85106
2020-06-03,74.80851
2020-06-04,64.85106
2020-06-05,58.97872
2020-06-06,23.40425
2020-06-07,26.46808
2020-06-08,55.31914
2020-06-09,61.02127
2020-06-10,61.3617
2020-06-11,56.85106
2020-06-12,38.63829
2020-06-13,21.78723
2020-06-14,19.57446
2020-06-15,34.63829
2020-06-16,41.61702
2020-06-17,43.74468
2020-06-18,45.3617
2020-06-19,35.82978
2020-06-20,17.53191
2020-06-21,19.57446
2020-06-22,44.34042
2020-06-23,42.38297
2020-06-24,48.51063
2020-06-25,39.65957
2020-06-26,32.34042
2020-06-27,14.63829
2020-06-28,16.85106
2020-06-29,30.38297
2020-06-30,35.65957
2020-07-01,30.46808
2020-07-02,37.27659
2020-07-03,32.34042
2020-07-04,13.3617
2020-07-05,16.0
2020-07-06,36.85106
2020-07-07,38.46808
2020-07-08,37.70212
2020-07-09,41.70212
2020-07-10,32.0
2020-07-11,14.89361
2020-07-12,20.93617
2020-07-13,45.61702
2020-07-14,38.89361
2020-07-15,42.97872
2020-07-16,28.42553
2020-07-17,24.17021
2020-07-18,10.7234
2020-07-19,12.0851
2020-07-20,29.02127
2020-07-21,34.38297
2020-07-22,41.02127
2020-07-23,36.93617
2020-07-24,34.04255
2020-07-25,14.7234
2020-07-26,20.34042
2020-07-27,38.46808
2020-07-28,41.02127
2020-07-29,36.85106
2020-07-30,36.25531
2020-07-31,29.27659
2020-08-01,13.19148
2020-08-02,16.34042
2020-08-03,34.46808
2020-08-04,41.02127
2020-08-05,38.97872
2020-08-06,45.10638
2020-08-07,36.68085
2020-08-08,17.78723
2020-08-09,18.55319
2020-08-10,49.61702
2020-08-11,48.34042
2020-08-12,42.55319
2020-08-13,45.4468
2020-08-14,33.78723
2020-08-15,13.53191
2020-08-16,12.85106
2020-08-17,16.59574
2020-08-18,28.0851
2020-08-19,35.23404
2020-08-20,28.34042
2020-08-21,28.0851
2020-08-22,14.63829
2020-08-23,16.76595
2020-08-24,34.04255
2020-08-25,41.61702
2020-08-26,46.46808
2020-08-27,44.85106
2020-08-28,41.4468
2020-08-29,19.06382
2020-08-30,22.7234
2020-08-31,44.51063
2020-09-01,49.53191
2020-09-02,53.02127
2020-09-03,57.19148
2020-09-04,41.3617
2020-09-05,18.97872
2020-09-06,18.12765
2020-09-07,48.51063
2020-09-08,47.91489
2020-09-09,40.85106
2020-09-10,57.61702
2020-09-11,41.53191
2020-09-12,19.31914
2020-09-13,20.17021
2020-09-14,44.0851
2020-09-15,51.65957
2020-09-16,51.23404
2020-09-17,41.87234
2020-09-18,32.76595
2020-09-19,12.0851
2020-09-20,15.82978
2020-09-21,30.12765
2020-09-22,29.87234
2020-09-23,29.27659
2020-09-24,29.3617
2020-09-25,22.89361
2020-09-26,11.57446
2020-09-27,12.85106
2020-09-28,23.91489
2020-09-29,25.10638
2020-09-30,10.55319
2020-10-01,10.21276
2020-10-02,11.82978
2020-10-03,14.63829
2020-10-04,18.89361
