date,목돈만들기
2020-03-20,85.52631
2020-03-21,71.49122
2020-03-22,71.92982
2020-03-23,100.0
2020-03-24,86.8421
2020-03-25,96.05263
2020-03-26,87.2807
2020-03-27,88.15789
2020-03-28,59.64912
2020-03-29,61.4035
2020-03-30,72.36842
2020-03-31,95.61403
2020-04-01,68.42105
2020-04-02,61.4035
2020-04-03,48.24561
2020-04-04,34.64912
2020-04-05,36.4035
2020-04-06,64.47368
2020-04-07,62.71929
2020-04-08,57.89473
2020-04-09,44.29824
2020-04-10,42.98245
2020-04-11,41.66666
2020-04-12,43.42105
2020-04-13,67.98245
2020-04-14,52.63157
2020-04-15,42.10526
2020-04-16,61.8421
2020-04-17,64.47368
2020-04-18,39.47368
2020-04-19,44.29824
2020-04-20,53.07017
2020-04-21,67.10526
2020-04-22,67.10526
2020-04-23,55.26315
2020-04-24,54.82456
2020-04-25,36.4035
2020-04-26,37.2807
2020-04-27,57.01754
2020-04-28,59.64912
2020-04-29,62.2807
2020-04-30,49.5614
2020-05-01,49.1228
2020-05-02,35.96491
2020-05-03,48.24561
2020-05-04,58.77192
2020-05-05,50.43859
2020-05-06,45.17543
2020-05-07,41.22807
2020-05-08,38.59649
2020-05-09,34.21052
2020-05-10,32.01754
2020-05-11,42.10526
2020-05-12,54.82456
2020-05-13,42.54385
2020-05-14,35.08771
2020-05-15,39.91228
2020-05-16,29.82456
2020-05-17,28.07017
2020-05-18,38.15789
2020-05-19,36.4035
2020-05-20,36.8421
2020-05-21,32.45614
2020-05-22,49.1228
2020-05-23,32.45614
2020-05-24,33.33333
2020-05-25,44.29824
2020-05-26,42.98245
2020-05-27,46.49122
2020-05-28,44.73684
2020-05-29,39.03508
2020-05-30,20.17543
2020-05-31,32.01754
2020-06-01,36.4035
2020-06-02,44.73684
2020-06-03,53.50877
2020-06-04,50.87719
2020-06-05,49.5614
2020-06-06,35.08771
2020-06-07,34.64912
2020-06-08,38.59649
2020-06-09,42.10526
2020-06-10,54.38596
2020-06-11,56.14035
2020-06-12,38.59649
2020-06-13,30.26315
2020-06-14,27.63157
2020-06-15,40.78947
2020-06-16,42.98245
2020-06-17,41.66666
2020-06-18,46.92982
2020-06-19,37.2807
2020-06-20,24.5614
2020-06-21,20.17543
2020-06-22,33.33333
2020-06-23,34.64912
2020-06-24,33.33333
2020-06-25,33.77192
2020-06-26,45.17543
2020-06-27,16.22807
2020-06-28,21.49122
2020-06-29,32.45614
2020-06-30,22.80701
2020-07-01,25.87719
2020-07-02,37.71929
2020-07-03,39.47368
2020-07-04,21.92982
2020-07-05,29.38596
2020-07-06,45.61403
2020-07-07,37.71929
2020-07-08,39.47368
2020-07-09,39.47368
2020-07-10,37.71929
2020-07-11,28.94736
