date,서남주가
2020-03-20,0.1534
2020-03-21,0.01004
2020-03-22,0.01187
2020-03-23,0.10318
2020-03-24,0.10957
2020-03-25,0.10227
2020-03-26,0.1461
2020-03-27,0.55152
2020-03-28,0.14427
2020-03-29,0.10044
2020-03-30,0.65745
2020-03-31,0.52961
2020-04-01,0.39264
2020-04-02,0.32963
2020-04-03,0.30863
2020-04-04,0.02922
2020-04-05,0.04017
2020-04-06,0.24289
2020-04-07,0.2648
2020-04-08,0.23467
2020-04-09,0.35885
2020-04-10,0.29128
2020-04-11,0.04017
2020-04-12,0.03835
2020-04-13,0.24563
2020-04-14,0.25476
2020-04-15,0.02922
2020-04-16,0.21732
2020-04-17,0.22828
2020-04-18,0.02191
2020-04-19,0.021
2020-04-20,0.24837
2020-04-21,0.23284
2020-04-22,0.26571
2020-04-23,0.25293
2020-04-24,0.19358
2020-04-25,0.01369
2020-04-26,0.01552
2020-04-27,0.21093
2020-04-28,0.20545
2020-04-29,0.19632
2020-04-30,0.02648
2020-05-01,0.0283
2020-05-02,0.01095
2020-05-03,0.01369
2020-05-04,0.20727
2020-05-05,0.02465
2020-05-06,0.21641
2020-05-07,0.27119
2020-05-08,0.25658
2020-05-09,0.01369
2020-05-10,0.01461
2020-05-11,0.26206
2020-05-12,0.25019
2020-05-13,0.24563
2020-05-14,0.26663
2020-05-15,0.25019
2020-05-16,0.02008
2020-05-17,0.01369
2020-05-18,0.25567
2020-05-19,0.28215
2020-05-20,0.30954
2020-05-21,0.2858
2020-05-22,0.39355
2020-05-23,0.05478
2020-05-24,0.04017
2020-05-25,0.39812
2020-05-26,0.31228
2020-05-27,0.28124
2020-05-28,0.31411
2020-05-29,0.2091
2020-05-30,0.01826
2020-05-31,0.02922
2020-06-01,0.16071
2020-06-02,0.14792
2020-06-03,0.18079
2020-06-04,0.15797
2020-06-05,0.19723
2020-06-06,0.02648
2020-06-07,0.02282
2020-06-08,0.17805
2020-06-09,0.17623
2020-06-10,0.43464
2020-06-11,0.4036
2020-06-12,0.35429
2020-06-13,0.04017
2020-06-14,0.01461
2020-06-15,0.21367
2020-06-16,0.19906
2020-06-17,0.17897
2020-06-18,0.14336
2020-06-19,0.15066
2020-06-20,0.01461
2020-06-21,0.02008
2020-06-22,0.14975
2020-06-23,0.12053
2020-06-24,0.16527
2020-06-25,0.12692
2020-06-26,0.13788
2020-06-27,0.02465
2020-06-28,0.021
2020-06-29,0.13422
2020-06-30,0.17166
2020-07-01,0.14336
2020-07-02,0.15979
2020-07-03,0.18262
2020-07-04,0.01552
2020-07-05,0.01369
2020-07-06,0.16344
2020-07-07,0.15523
2020-07-08,0.15888
2020-07-09,0.20271
2020-07-10,0.15705
2020-07-11,0.02191
2020-07-12,0.01278
2020-07-13,0.18445
2020-07-14,0.14244
2020-07-15,0.14062
2020-07-16,0.1324
2020-07-17,0.16527
2020-07-18,0.0283
2020-07-19,0.01917
2020-07-20,0.16892
2020-07-21,0.19175
2020-07-22,0.13057
2020-07-23,0.16436
2020-07-24,0.12418
2020-07-25,0.01826
2020-07-26,0.01278
2020-07-27,0.12053
2020-07-28,0.13605
2020-07-29,0.17714
2020-07-30,0.14427
2020-07-31,0.12875
2020-08-01,0.01369
2020-08-02,0.01461
2020-08-03,0.12509
2020-08-04,0.12601
2020-08-05,0.16071
2020-08-06,0.17805
2020-08-07,0.1534
2020-08-08,0.01278
2020-08-09,0.0073
2020-08-10,0.15157
2020-08-11,0.14975
2020-08-12,0.12601
2020-08-13,0.13422
2020-08-14,0.09222
2020-08-15,0.01552
2020-08-16,0.00913
2020-08-17,0.01278
2020-08-18,0.10227
2020-08-19,0.1114
2020-08-20,0.13696
2020-08-21,0.12509
2020-08-22,0.01734
2020-08-23,0.01278
2020-08-24,0.13879
2020-08-25,0.14244
2020-08-26,0.1397
2020-08-27,0.11961
2020-08-28,0.11322
2020-08-29,0.01095
2020-08-30,0.00821
2020-08-31,0.13331
2020-09-01,0.11414
2020-09-02,0.13788
2020-09-03,0.12966
2020-09-04,0.14701
2020-09-05,0.02191
2020-09-06,0.02191
2020-09-07,0.27119
2020-09-08,0.19266
2020-09-09,0.13149
2020-09-10,0.17897
2020-09-11,0.11231
2020-09-12,0.01369
2020-09-13,0.01917
2020-09-14,0.12235
2020-09-15,0.09496
2020-09-16,0.10227
2020-09-17,0.09953
2020-09-18,0.08492
2020-09-19,0.01461
2020-09-20,0.01643
2020-09-21,0.08766
2020-09-22,0.07852
2020-09-23,0.08309
2020-09-24,0.06209
2020-09-25,0.06848
2020-09-26,0.01004
2020-09-27,0.00913
2020-09-28,0.06391
2020-09-29,0.06848
2020-09-30,0.0073
2020-10-01,0.0073
2020-10-04,0.01187
2020-10-05,0.07852
2020-10-06,0.084
2020-10-07,0.05935
2020-10-08,0.07031
2020-10-09,0.01734
2020-10-10,0.0073
2020-10-11,0.01278
2020-10-12,0.08766
2020-10-13,0.07305
2020-10-14,0.05022
2020-10-15,0.05844
2020-10-16,0.06209
2020-10-17,0.01278
2020-10-18,0.00547
2020-10-19,0.06483
2020-10-20,0.05478
2020-10-21,0.04291
2020-10-22,0.05296
2020-10-23,0.06665
2020-10-24,0.00639
2020-10-25,0.0073
2020-10-26,0.05752
2020-10-27,0.05661
2020-10-28,0.07213
2020-10-29,0.06026
2020-10-30,0.05661
2020-10-31,0.01004
2020-11-02,0.08309
2020-11-03,0.07761
2020-11-04,0.06483
2020-11-05,0.07578
2020-11-06,0.08218
2020-11-07,0.00821
2020-11-08,0.01095
2020-11-09,0.07578
2020-11-10,0.06483
2020-11-11,0.05204
2020-11-12,0.04839
2020-11-13,0.04656
2020-11-14,0.00821
2020-11-15,0.00547
2020-11-16,0.06391
2020-11-17,0.08218
2020-11-18,0.06848
2020-11-19,0.05752
2020-11-20,0.04839
