date,선물옵션만기일
2020-03-20,5.07385
2020-03-21,3.37561
2020-03-22,1.51673
2020-03-23,2.79771
2020-03-24,2.10715
2020-03-25,2.45556
2020-03-26,2.41174
2020-03-27,3.78244
2020-03-28,2.28031
2020-03-29,1.23508
2020-03-30,2.0842
2020-03-31,2.16139
2020-04-01,2.418
2020-04-02,2.68088
2020-04-03,3.20453
2020-04-04,2.40966
2020-04-05,1.98197
2020-04-06,4.60652
2020-04-07,4.65451
2020-04-08,9.06701
2020-04-09,7.02244
2020-04-10,3.46323
2020-04-11,1.7796
2020-04-12,1.01185
2020-04-13,2.12384
2020-04-14,1.59392
2020-04-15,1.77334
2020-04-16,0.97221
2020-04-17,1.9319
2020-04-18,1.20587
2020-04-19,0.79904
2020-04-20,1.59392
2020-04-21,1.89226
2020-04-22,1.62521
2020-04-23,1.12868
2020-04-24,1.19335
2020-04-25,0.96177
2020-04-26,0.76984
2020-04-27,1.43953
2020-04-28,1.81715
2020-04-29,6.06484
2020-04-30,5.54535
2020-05-01,6.7095
2020-05-02,0.85746
2020-05-03,0.79278
2020-05-04,1.77125
2020-05-05,1.01185
2020-05-06,1.22673
2020-05-07,1.22465
2020-05-08,0.97012
2020-05-09,0.86163
2020-05-10,0.50488
2020-05-11,1.0953
2020-05-12,1.51673
2020-05-13,2.34707
2020-05-14,3.2254
2020-05-15,1.29767
2020-05-16,0.60502
2020-05-17,0.36301
2020-05-18,0.67387
2020-05-19,0.85746
2020-05-20,0.70516
2020-05-21,0.81156
2020-05-22,0.84494
2020-05-23,0.60919
2020-05-24,0.49445
2020-05-25,1.50838
2020-05-26,1.59183
2020-05-27,1.08487
2020-05-28,1.13494
2020-05-29,1.30601
2020-05-30,0.94508
2020-05-31,0.79904
2020-06-01,1.75039
2020-06-02,1.74413
2020-06-03,3.36309
2020-06-04,3.54669
2020-06-05,4.5794
2020-06-06,2.66836
2020-06-07,2.67253
2020-06-08,5.48902
2020-06-09,9.01694
2020-06-10,16.36067
2020-06-11,100.0
2020-06-12,8.33263
2020-06-13,2.23024
2020-06-14,1.55428
2020-06-15,6.05649
2020-06-16,3.10648
2020-06-17,2.4639
2020-06-18,3.41942
2020-06-19,2.98756
2020-06-20,1.29558
2020-06-21,0.57164
2020-06-22,0.9576
2020-06-23,0.85329
2020-06-24,0.81991
2020-06-25,1.11825
2020-06-26,1.01602
2020-06-27,0.74897
2020-06-28,0.49653
2020-06-29,1.0181
2020-06-30,1.0181
2020-07-01,1.18292
2020-07-02,1.51464
2020-07-03,1.94024
2020-07-04,1.05774
2020-07-05,0.63214
2020-07-06,1.65234
2020-07-07,2.418
2020-07-08,4.40206
2020-07-09,3.77201
2020-07-10,1.55845
2020-07-11,0.83034
2020-07-12,0.62797
2020-07-13,0.99724
2020-07-14,0.93257
2020-07-15,0.86372
2020-07-16,1.20587
2020-07-17,1.08278
2020-07-18,0.70933
2020-07-19,0.37553
2020-07-20,0.61962
2020-07-21,0.76775
2020-07-22,0.76358
2020-07-23,0.8512
2020-07-24,1.21213
2020-07-25,0.68847
2020-07-26,0.42143
2020-07-27,0.8825
2020-07-28,0.98055
2020-07-29,1.13702
2020-07-30,1.09738
2020-07-31,1.4291
2020-08-01,0.87415
2020-08-02,0.51948
2020-08-03,1.064
2020-08-04,1.01602
2020-08-05,1.27054
2020-08-06,1.37277
2020-08-07,1.99031
2020-08-08,1.354
2020-08-09,0.88041
2020-08-10,2.30534
2020-08-11,3.03346
2020-08-12,9.14629
2020-08-13,7.67128
2020-08-14,4.09747
2020-08-15,1.40407
2020-08-16,1.07861
2020-08-17,2.36585
2020-08-18,1.89226
2020-08-19,0.943
2020-08-20,1.62521
2020-08-21,1.49378
2020-08-22,1.3832
2020-08-23,0.82617
2020-08-24,1.14328
2020-08-25,1.18709
2020-08-26,1.20796
2020-08-27,1.43536
2020-08-28,1.54594
2020-08-29,1.19961
2020-08-30,0.99098
2020-08-31,2.65167
2020-09-01,2.43261
2020-09-02,3.18367
2020-09-03,3.60093
2020-09-04,6.30893
2020-09-05,3.64891
2020-09-06,3.44863
2020-09-07,9.0837
2020-09-08,18.45739
2020-09-09,29.52724
2020-09-10,17.17433
2020-09-11,4.53767
2020-09-12,1.59601
2020-09-13,0.89501
2020-09-14,1.74831
2020-09-15,1.68989
2020-09-16,1.71284
2020-09-17,3.20662
2020-09-18,2.37836
2020-09-19,1.20587
2020-09-20,0.59459
2020-09-21,1.3686
2020-09-22,1.36026
2020-09-23,1.20587
2020-09-24,1.51255
2020-09-25,1.41033
2020-09-26,0.8512
2020-09-27,0.55703
2020-09-28,1.27054
2020-09-29,1.24551
2020-09-30,0.89919
2020-10-01,0.58624
2020-10-02,0.75732
2020-10-03,0.71768
2020-10-04,0.56955
2020-10-05,1.4291
2020-10-06,1.5814
2020-10-07,2.77267
2020-10-08,3.32971
2020-10-09,1.03479
2020-10-10,0.67387
2020-10-11,0.5007
2020-10-12,0.84703
2020-10-13,0.99724
2020-10-14,0.92005
2020-10-15,1.3686
2020-10-16,1.03062
2020-10-17,0.6384
2020-10-18,0.33171
2020-10-19,0.57998
2020-10-20,0.52991
2020-10-21,0.44437
2020-10-22,0.57998
2020-10-23,0.54869
2020-10-24,0.35466
2020-10-25,0.27539
2020-10-26,0.60502
2020-10-27,0.52365
2020-10-28,0.55703
2020-10-29,0.66135
2020-10-30,0.92213
2020-10-31,0.53617
2020-11-01,0.29416
2020-11-02,1.61061
2020-11-03,0.91796
2020-11-04,0.79904
2020-11-05,0.97638
2020-11-06,0.93048
2020-11-07,0.59041
2020-11-08,0.47358
2020-11-09,1.73161
2020-11-10,2.43469
2020-11-11,3.18784
2020-11-12,4.22473
2020-11-13,1.62104
2020-11-14,0.73437
2020-11-15,0.45481
2020-11-16,1.0953
2020-11-17,1.03479
2020-11-18,0.9117
2020-11-19,0.98472
2020-11-20,1.12242
2020-11-21,0.80739
2020-11-22,0.47776
2020-11-23,1.16414
2020-11-24,1.35608
2020-11-25,2.03621
2020-11-26,2.32829
2020-11-27,3.38604
2020-11-28,1.77543
2020-11-29,0.98264
2020-11-30,2.83943
2020-12-01,2.93123
2020-12-02,3.93265
2020-12-03,10.15814
2020-12-04,5.92506
2020-12-05,5.20946
2020-12-06,5.13435
2020-12-07,11.72285
2020-12-08,21.87056
2020-12-09,24.13419
2020-12-10,17.239
2020-12-11,3.41525
2020-12-12,1.85888
2020-12-13,1.22882
2020-12-14,2.03621
2020-12-15,1.80046
2020-12-16,1.60852
2020-12-17,1.8714
2020-12-18,2.5098
2020-12-19,1.83593
2020-12-20,1.11199
2020-12-21,2.2052
2020-12-22,2.62872
2020-12-23,2.99799
2020-12-24,4.8527
2020-12-25,3.43611
2020-12-26,1.75039
2020-12-27,2.00075
2020-12-28,5.38888
2020-12-29,9.47801
2020-12-30,12.69089
2020-12-31,10.44604
2021-01-01,2.64124
2021-01-02,1.63982
2021-01-03,1.94442
2021-01-04,15.50321
2021-01-05,2.71634
2021-01-06,2.86864
2021-01-07,2.61203
2021-01-08,5.10932
2021-01-09,5.40348
2021-01-10,2.56822
2021-01-11,6.37569
2021-01-12,6.28181
2021-01-13,8.55169
2021-01-14,8.36184
2021-01-15,4.23725
2021-01-16,2.82066
2021-01-17,1.2622
2021-01-18,2.83526
