date,전세권
2020-03-20,15.58109
2020-03-21,12.8991
2020-03-22,12.13282
2020-03-23,20.81736
2020-03-24,15.96424
2020-03-25,18.64623
2020-03-26,19.92337
2020-03-27,15.83652
2020-03-28,9.96168
2020-03-29,11.49425
2020-03-30,17.36909
2020-03-31,17.75223
2020-04-01,14.30395
2020-04-02,17.75223
2020-04-03,13.15453
2020-04-04,11.49425
2020-04-05,10.85568
2020-04-06,18.64623
2020-04-07,16.98595
2020-04-08,21.45593
2020-04-09,19.79565
2020-04-10,15.96424
2020-04-11,8.55683
2020-04-12,10.21711
2020-04-13,18.00766
2020-04-14,16.34738
2020-04-15,13.53767
2020-04-16,18.13537
2020-04-17,20.05108
2020-04-18,12.8991
2020-04-19,11.49425
2020-04-20,20.30651
2020-04-21,20.17879
2020-04-22,18.00766
2020-04-23,15.83652
2020-04-24,26.56449
2020-04-25,16.34738
2020-04-26,12.26053
2020-04-27,22.22222
2020-04-28,20.05108
2020-04-29,18.3908
2020-04-30,13.40996
2020-05-01,13.7931
2020-05-02,13.15453
2020-05-03,13.7931
2020-05-04,18.77394
2020-05-05,24.7765
2020-05-06,23.11621
2020-05-07,19.66794
2020-05-08,11.74968
2020-05-09,13.7931
2020-05-10,10.08939
2020-05-11,18.77394
2020-05-12,17.36909
2020-05-13,18.64623
2020-05-14,17.62452
2020-05-15,14.43167
2020-05-16,13.66538
2020-05-17,15.07024
2020-05-18,19.66794
2020-05-19,19.41251
2020-05-20,20.68965
2020-05-21,14.55938
2020-05-22,15.83652
2020-05-23,12.0051
2020-05-24,12.64367
2020-05-25,16.85823
2020-05-26,18.64623
2020-05-27,18.77394
2020-05-28,15.83652
2020-05-29,16.6028
2020-05-30,12.8991
2020-05-31,13.28224
2020-06-01,15.83652
2020-06-02,17.87994
2020-06-03,17.24137
2020-06-04,15.58109
2020-06-05,13.15453
2020-06-06,11.74968
2020-06-07,12.13282
2020-06-08,17.62452
2020-06-09,18.26309
2020-06-10,18.51851
2020-06-11,26.81992
2020-06-12,18.13537
2020-06-13,12.64367
2020-06-14,12.64367
2020-06-15,24.26564
2020-06-16,17.4968
2020-06-17,18.26309
2020-06-18,19.79565
2020-06-19,18.00766
