date,주식상한가
2020-03-20,45.34313
2020-03-21,10.66176
2020-03-22,8.29248
2020-03-23,36.88725
2020-03-24,50.36764
2020-03-25,73.44771
2020-03-26,100.0
2020-03-27,75.61274
2020-03-28,18.38235
2020-03-29,14.25653
2020-03-30,62.37745
2020-03-31,66.99346
2020-04-01,57.18954
2020-04-02,47.75326
2020-04-03,39.74673
2020-04-04,6.94444
2020-04-05,6.45424
2020-04-06,49.87745
2020-04-07,43.91339
2020-04-08,39.86928
2020-04-09,36.31535
2020-04-10,35.29411
2020-04-11,6.65849
2020-04-12,6.74019
2020-04-13,33.49673
2020-04-14,28.96241
2020-04-15,6.41339
2020-04-16,28.79901
2020-04-17,30.3513
2020-04-18,7.59803
2020-04-19,7.84313
2020-04-20,39.99183
2020-04-21,29.20751
2020-04-22,32.63888
2020-04-23,27.90032
2020-04-24,23.36601
2020-04-25,5.6781
2020-04-26,3.92156
2020-04-27,26.63398
2020-04-28,36.23366
2020-04-29,32.18954
2020-04-30,7.35294
2020-05-01,5.9232
2020-05-02,4.28921
2020-05-03,3.83986
2020-05-04,22.99836
2020-05-05,5.39215
2020-05-06,21.28267
2020-05-07,15.93137
2020-05-08,19.03594
2020-05-09,4.49346
2020-05-10,2.65522
2020-05-11,19.11764
2020-05-12,19.24019
2020-05-13,20.34313
2020-05-14,27.28758
2020-05-15,19.68954
2020-05-16,3.92156
2020-05-17,4.33006
2020-05-18,21.36437
2020-05-19,24.183
2020-05-20,20.30228
2020-05-21,19.48529
2020-05-22,19.52614
2020-05-23,3.79901
2020-05-24,3.88071
2020-05-25,18.70915
2020-05-26,23.12091
2020-05-27,21.56862
2020-05-28,18.6683
2020-05-29,15.27777
2020-05-30,3.06372
2020-05-31,3.71732
2020-06-01,21.77287
2020-06-02,24.7549
2020-06-03,28.67647
2020-06-04,22.18137
2020-06-05,24.183
2020-06-06,6.37254
2020-06-07,5.0245
2020-06-08,26.34803
2020-06-09,31.90359
2020-06-10,30.8415
2020-06-11,35.94771
2020-06-12,25.93954
2020-06-13,4.90196
2020-06-14,4.04411
2020-06-15,35.29411
2020-06-16,38.72549
2020-06-17,38.15359
2020-06-18,42.72875
2020-06-19,36.2745
2020-06-20,6.41339
2020-06-21,5.5147
2020-06-22,33.61928
2020-06-23,34.23202
2020-06-24,36.39705
2020-06-25,31.33169
2020-06-26,24.6732
2020-06-27,4.53431
2020-06-28,4.73856
2020-06-29,26.14379
2020-06-30,32.43464
2020-07-01,27.28758
2020-07-02,45.38398
2020-07-03,33.57843
2020-07-04,5.5147
2020-07-05,4.57516
2020-07-06,33.45588
2020-07-07,34.10947
2020-07-08,23.61111
2020-07-09,26.26633
2020-07-10,22.42647
2020-07-11,3.51307
2020-07-12,5.1062
2020-07-13,28.79901
2020-07-14,29.28921
2020-07-15,33.12908
2020-07-16,26.79738
2020-07-17,22.50816
2020-07-18,4.57516
2020-07-19,3.96241
2020-07-20,31.53594
2020-07-21,38.31699
2020-07-22,41.38071
2020-07-23,41.54411
2020-07-24,40.44117
2020-07-25,7.10784
2020-07-26,5.8415
2020-07-27,33.45588
2020-07-28,32.43464
2020-07-29,29.65686
2020-07-30,28.26797
2020-07-31,27.28758
2020-08-01,5.55555
2020-08-02,4.82026
2020-08-03,35.37581
2020-08-04,35.90686
2020-08-05,42.36111
2020-08-06,33.74183
2020-08-07,31.53594
2020-08-08,6.04575
2020-08-09,6.12745
2020-08-10,41.87091
2020-08-11,33.37418
2020-08-12,34.80392
2020-08-13,40.44117
2020-08-14,28.96241
2020-08-15,4.94281
2020-08-16,5.39215
2020-08-17,5.63725
2020-08-18,37.2549
2020-08-19,33.74183
2020-08-20,39.01143
2020-08-21,30.5147
2020-08-22,6.45424
2020-08-23,4.45261
2020-08-24,41.58496
2020-08-25,43.5049
2020-08-26,48.81535
2020-08-27,45.13888
2020-08-28,36.31535
2020-08-29,6.37254
2020-08-30,7.35294
2020-08-31,39.62418
2020-09-01,40.48202
2020-09-02,45.79248
2020-09-03,49.46895
2020-09-04,41.25816
2020-09-05,9.76307
2020-09-06,9.15032
2020-09-07,63.97058
2020-09-08,54.28921
2020-09-09,47.58986
2020-09-10,76.75653
2020-09-11,46.73202
2020-09-12,7.96568
2020-09-13,6.1683
2020-09-14,41.54411
2020-09-15,39.74673
2020-09-16,37.94934
2020-09-17,31.0049
2020-09-18,30.22875
2020-09-19,7.23039
2020-09-20,5.96405
2020-09-21,35.45751
2020-09-22,31.45424
2020-09-23,30.14705
2020-09-24,34.55882
2020-09-25,26.22549
2020-09-26,6.33169
2020-09-27,5.06535
2020-09-28,25.28594
2020-09-29,25.28594
2020-09-30,5.5147
2020-10-01,4.16666
2020-10-02,3.55392
2020-10-03,3.63562
2020-10-04,4.53431
2020-10-05,23.81535
2020-10-06,29.08496
2020-10-07,26.47058
2020-10-08,24.9183
2020-10-09,7.35294
2020-10-10,5.5964
2020-10-11,5.96405
2020-10-12,26.47058
2020-10-13,25.24509
2020-10-14,26.96078
2020-10-15,37.45915
2020-10-16,23.61111
2020-10-17,5.88235
2020-10-18,4.04411
2020-10-19,19.40359
2020-10-20,16.62581
2020-10-21,21.89542
2020-10-22,19.89379
2020-10-23,17.6062
2020-10-24,3.18627
2020-10-25,4.37091
2020-10-26,24.5098
2020-10-27,17.8513
2020-10-28,18.91339
2020-10-29,18.70915
2020-10-30,15.76797
2020-10-31,3.79901
2020-11-01,2.73692
2020-11-02,14.82843
2020-11-03,21.52777
2020-11-04,18.13725
2020-11-05,29.49346
2020-11-06,20.66993
2020-11-07,4.53431
2020-11-08,5.96405
2020-11-09,30.2696
2020-11-10,33.33333
2020-11-11,31.57679
2020-11-12,34.27287
2020-11-13,24.38725
2020-11-14,5.1062
2020-11-15,5.55555
2020-11-16,52.16503
2020-11-17,27.36928
2020-11-18,34.96732
2020-11-19,33.25163
2020-11-20,26.71568
2020-11-21,8.57843
2020-11-22,6.69934
2020-11-23,35.00816
2020-11-24,30.0245
2020-11-25,39.74673
2020-11-26,47.58986
2020-11-27,22.54901
2020-11-28,6.45424
2020-11-29,4.65686
2020-11-30,25.44934
2020-12-01,25.16339
2020-12-02,29.82026
2020-12-03,33.04738
2020-12-04,33.98692
2020-12-05,7.10784
2020-12-06,7.88398
2020-12-07,35.53921
2020-12-08,40.31862
2020-12-09,31.78104
2020-12-10,27.98202
2020-12-11,29.20751
2020-12-12,6.33169
2020-12-13,5.47385
2020-12-14,30.31045
2020-12-15,33.16993
2020-12-16,31.1683
2020-12-17,37.99019
2020-12-18,44.19934
2020-12-19,9.64052
2020-12-20,8.08823
2020-12-21,50.53104
2020-12-22,39.91013
2020-12-23,63.15359
2020-12-24,37.66339
2020-12-25,7.39379
2020-12-26,6.12745
2020-12-27,7.35294
2020-12-28,35.70261
2020-12-29,40.11437
2020-12-30,37.90849
