date,코스모신소재주가
2020-03-20,2.01535
2020-03-21,0.18321
2020-03-22,0.10777
2020-03-23,1.8483
2020-03-24,2.12313
2020-03-25,2.16354
2020-03-26,2.04768
2020-03-27,1.86986
2020-03-28,0.19668
2020-03-29,0.16704
2020-03-30,1.54385
2020-03-31,1.82406
2020-04-01,2.28748
2020-04-02,2.22551
2020-04-03,1.88064
2020-04-04,0.1859
2020-04-05,0.18321
2020-04-06,1.96685
2020-04-07,2.68085
2020-04-08,2.73743
2020-04-09,2.52458
2020-04-10,2.29017
2020-04-11,0.29368
2020-04-12,0.24518
2020-04-13,1.72437
2020-04-14,2.01805
2020-04-15,0.31523
2020-04-16,2.565
2020-04-17,2.76976
2020-04-18,0.27482
2020-04-19,0.28559
2020-04-20,2.45453
2020-04-21,2.2309
2020-04-22,1.9453
2020-04-23,1.78364
2020-04-24,1.754
2020-04-25,0.21554
2020-04-26,0.14279
2020-04-27,1.60581
2020-04-28,1.41452
2020-04-29,1.29327
2020-04-30,0.14818
2020-05-01,0.20476
2020-05-02,0.10507
2020-05-03,0.10238
2020-05-04,1.07503
2020-05-05,0.1401
2020-05-06,1.20705
2020-05-07,1.33369
2020-05-08,1.39296
2020-05-09,0.17782
2020-05-10,0.16974
2020-05-11,1.29597
2020-05-12,1.06156
2020-05-13,4.03071
2020-05-14,4.68813
2020-05-15,4.18698
2020-05-16,0.54425
2020-05-17,0.37451
2020-05-18,4.64502
2020-05-19,6.67115
2020-05-20,5.33207
2020-05-21,8.03179
2020-05-22,5.80088
2020-05-23,0.73824
2020-05-24,0.58197
2020-05-25,6.1269
2020-05-26,5.98679
2020-05-27,4.80668
2020-05-28,4.34056
2020-05-29,3.94988
2020-05-30,0.54425
2020-05-31,0.53347
2020-06-01,4.25165
2020-06-02,3.73164
2020-06-03,3.73972
2020-06-04,5.49912
2020-06-05,4.79859
2020-06-06,0.60083
2020-06-07,0.64125
2020-06-08,3.6077
2020-06-09,4.01454
2020-06-10,3.13889
2020-06-11,3.82864
2020-06-12,2.95567
2020-06-13,0.34756
2020-06-14,0.28021
2020-06-15,2.88832
2020-06-16,2.95298
2020-06-17,3.06884
2020-06-18,3.18469
2020-06-19,3.11464
2020-06-20,0.47689
2020-06-21,0.28559
2020-06-22,3.3248
2020-06-23,2.91526
2020-06-24,2.68355
2020-06-25,1.99649
2020-06-26,1.93452
2020-06-27,0.2344
2020-06-28,0.30984
2020-06-29,2.31442
2020-06-30,2.2309
2020-07-01,2.10696
2020-07-02,2.03152
2020-07-03,2.61619
2020-07-04,0.29907
2020-07-05,0.33948
2020-07-06,2.86137
2020-07-07,2.9422
2020-07-08,3.38677
2020-07-09,2.97184
2020-07-10,2.69163
2020-07-11,0.35834
2020-07-12,0.37181
2020-07-13,2.7994
2020-07-14,3.0877
2020-07-15,2.85059
2020-07-16,6.77623
2020-07-17,5.18119
2020-07-18,0.79482
2020-07-19,0.617
2020-07-20,6.36669
2020-07-21,6.61457
2020-07-22,4.72046
2020-07-23,4.82554
2020-07-24,4.02263
2020-07-25,0.34487
2020-07-26,0.28021
2020-07-27,3.702
2020-07-28,3.70739
2020-07-29,3.25474
2020-07-30,3.26552
2020-07-31,3.49454
2020-08-01,0.5685
2020-08-02,0.41492
2020-08-03,6.5553
2020-08-04,5.40482
2020-08-05,5.73353
2020-08-06,6.981
2020-08-07,7.84049
2020-08-08,1.33638
2020-08-09,1.58426
2020-08-10,10.84467
2020-08-11,9.0718
2020-08-12,7.58992
2020-08-13,6.53105
2020-08-14,5.28357
2020-08-15,0.5658
2020-08-16,0.42031
2020-08-17,0.83524
2020-08-18,4.80398
2020-08-19,4.47258
2020-08-20,4.85787
2020-08-21,4.23009
2020-08-22,0.41492
2020-08-23,0.49306
2020-08-24,5.31052
2020-08-25,6.1727
2020-08-26,6.25892
2020-08-27,5.32399
2020-08-28,5.37787
2020-08-29,0.52269
2020-08-30,0.43109
2020-08-31,4.42139
2020-09-01,4.8417
2020-09-02,4.42678
2020-09-03,3.82325
2020-09-04,3.78014
2020-09-05,0.49575
2020-09-06,0.29368
2020-09-07,4.02532
2020-09-08,3.65081
2020-09-09,3.29785
2020-09-10,3.50532
2020-09-11,2.73474
2020-09-12,0.52808
2020-09-13,0.45803
2020-09-14,4.06574
2020-09-15,3.73703
2020-09-16,3.2763
2020-09-17,3.01495
2020-09-18,3.23858
2020-09-19,0.38798
2020-09-20,0.30176
2020-09-21,3.0877
2020-09-22,2.88832
2020-09-23,3.02303
2020-09-24,2.80479
2020-09-25,2.59463
2020-09-26,0.35565
2020-09-27,0.27482
2020-09-28,3.21433
2020-09-29,2.74552
2020-09-30,0.23171
2020-10-01,0.19938
2020-10-02,0.25596
2020-10-03,0.22901
2020-10-04,0.30715
2020-10-05,2.77246
2020-10-06,2.65121
2020-10-07,2.44914
2020-10-08,3.01495
2020-10-09,0.54425
2020-10-10,0.43378
