date,모의투자
2020-11-07,20.9424
2020-11-08,32.72251
2020-11-09,45.81151
2020-11-10,52.87958
2020-11-11,54.71204
2020-11-12,79.05759
2020-11-13,60.73298
2020-11-14,25.13089
2020-11-15,36.38743
2020-11-16,60.99476
2020-11-17,70.15706
2020-11-18,49.73821
2020-11-19,50.78534
2020-11-20,44.76439
2020-11-21,34.29319
2020-11-22,31.93717
2020-11-23,61.25654
2020-11-24,65.18324
2020-11-25,64.92146
2020-11-26,68.06282
2020-11-27,59.68586
2020-11-28,40.31413
2020-11-29,49.47643
2020-11-30,58.11518
2020-12-01,71.98952
2020-12-02,66.49214
2020-12-03,68.84816
2020-12-04,64.92146
2020-12-05,52.35602
2020-12-06,51.04712
2020-12-07,79.84293
2020-12-08,78.53403
2020-12-09,77.22513
2020-12-10,80.10471
2020-12-11,48.69109
2020-12-12,48.42931
2020-12-13,51.83246
2020-12-14,76.70157
2020-12-15,72.77486
2020-12-16,92.40837
2020-12-17,86.64921
2020-12-18,80.10471
2020-12-19,55.49738
2020-12-20,54.97382
2020-12-21,99.47643
2020-12-22,92.14659
2020-12-23,91.62303
2020-12-24,67.80104
2020-12-25,46.33507
2020-12-26,42.40837
2020-12-27,54.45026
2020-12-28,100.0
2020-12-29,75.65445
2020-12-30,75.91623
2020-12-31,51.04712
2021-01-01,36.64921
2021-01-02,44.24083
2021-01-03,44.50261
2021-01-04,76.70157
2021-01-05,78.27225
2021-01-06,82.19895
2021-01-07,71.20418
2021-01-08,99.47643
2021-01-09,57.32984
2021-01-10,44.50261
2021-01-11,93.19371
2021-01-12,74.34554
2021-01-13,80.36649
2021-01-14,71.72774
2021-01-15,59.94764
2021-01-16,47.12041
2021-01-17,37.95811
2021-01-18,58.63874
2021-01-19,67.27748
2021-01-20,77.74869
2021-01-21,82.98429
2021-01-22,78.01047
2021-01-23,43.71727
2021-01-24,46.85863
2021-01-25,61.7801
2021-01-26,66.75392
2021-01-27,56.28272
2021-01-28,61.7801
2021-01-29,53.14136
2021-01-30,35.07853
2021-01-31,33.24607
2021-02-01,51.04712
2021-02-02,73.82198
2021-02-03,58.63874
2021-02-04,51.57068
2021-02-05,47.64397
2021-02-06,35.07853
2021-02-07,35.86387
2021-02-08,59.94764
2021-02-09,59.94764
2021-02-10,45.28795
2021-02-11,28.53403
2021-02-12,29.05759
2021-02-13,31.15183
2021-02-14,30.89005
2021-02-15,35.60209
2021-02-16,45.28795
2021-02-17,53.40314
2021-02-18,51.04712
2021-02-19,48.16753
2021-02-20,32.72251
2021-02-21,43.71727
2021-02-22,67.0157
2021-02-23,56.02094
2021-02-24,59.94764
2021-02-25,57.06806
2021-02-26,45.28795
2021-02-27,33.50785
2021-02-28,38.48167
2021-03-01,32.46073
2021-03-02,46.59685
2021-03-03,52.09424
2021-03-04,49.47643
2021-03-05,41.36125
2021-03-06,32.98429
2021-03-07,29.05759
2021-03-08,46.07329
2021-03-09,47.90575
2021-03-10,53.40314
2021-03-11,41.88481
2021-03-12,52.35602
2021-03-13,37.69633
2021-03-14,34.81675
2021-03-15,50.78534
2021-03-16,44.24083
2021-03-17,62.56544
2021-03-18,56.5445
2021-03-19,56.5445
2021-03-20,34.03141
2021-03-21,26.96335
2021-03-22,43.19371
2021-03-23,42.67015
2021-03-24,48.69109
2021-03-25,40.31413
2021-03-26,41.62303
2021-03-27,23.5602
2021-03-28,28.01047
2021-03-29,43.45549
2021-03-30,42.67015
2021-03-31,47.90575
2021-04-01,36.38743
2021-04-02,42.14659
2021-04-03,25.39267
2021-04-04,20.41884
2021-04-05,44.24083
2021-04-06,49.73821
2021-04-07,51.04712
2021-04-08,33.76963
2021-04-09,31.41361
2021-04-10,25.13089
2021-04-11,26.43979
2021-04-12,39.00523
2021-04-13,36.64921
2021-04-14,37.43455
2021-04-15,39.52879
2021-04-16,31.67539
2021-04-17,23.29842
2021-04-18,22.51308
2021-04-19,33.50785
2021-04-20,37.95811
2021-04-21,38.21989
2021-04-22,26.96335
2021-04-23,31.41361
2021-04-24,18.3246
2021-04-25,16.75392
2021-04-26,27.22513
2021-04-27,29.05759
2021-04-28,30.36649
2021-04-29,30.10471
2021-04-30,25.39267
2021-05-01,11.25654
2021-05-02,17.0157
2021-05-03,29.84293
2021-05-04,27.22513
2021-05-05,21.72774
2021-05-06,24.60732
2021-05-07,26.70157
2021-05-08,16.49214
2021-05-09,17.80104
2021-05-10,30.10471
2021-05-11,37.95811
2021-05-12,33.24607
2021-05-13,27.48691
2021-05-14,27.48691
2021-05-15,19.6335
2021-05-16,14.13612
2021-05-17,26.17801
2021-05-18,26.17801
2021-05-19,18.3246
2021-05-20,24.08376
2021-05-21,25.65445
2021-05-22,19.10994
2021-05-23,19.6335
2021-05-24,28.53403
2021-05-25,23.5602
2021-05-26,26.70157
2021-05-27,29.31937
2021-05-28,23.29842
2021-05-29,18.06282
2021-05-30,15.18324
2021-05-31,21.72774
2021-06-01,32.72251
2021-06-02,26.43979
2021-06-03,22.51308
2021-06-04,29.05759
2021-06-05,19.89528
2021-06-06,23.29842
2021-06-07,24.34554
2021-06-08,24.34554
2021-06-09,26.17801
2021-06-10,26.96335
2021-06-11,26.17801
2021-06-12,15.7068
2021-06-13,14.92146
2021-06-14,20.9424
2021-06-15,22.77486
2021-06-16,34.03141
2021-06-17,18.58638
2021-06-18,20.15706
2021-06-19,14.13612
2021-06-20,12.30366
2021-06-21,20.68062
2021-06-22,22.2513
2021-06-23,29.84293
2021-06-24,24.08376
2021-06-25,17.80104
2021-06-26,15.96858
2021-06-27,14.13612
2021-06-28,17.53926
2021-06-29,23.29842
2021-06-30,21.20418
2021-07-01,19.89528
2021-07-02,21.72774
2021-07-03,10.99476
2021-07-04,13.61256
2021-07-05,20.68062
2021-07-06,20.41884
2021-07-07,25.13089
2021-07-08,36.38743
2021-07-09,36.64921
2021-07-10,20.41884
2021-07-11,21.46596
2021-07-12,36.12565
2021-07-13,30.10471
2021-07-14,28.27225
2021-07-15,26.96335
2021-07-16,24.60732
2021-07-17,12.56544
2021-07-18,12.56544
2021-07-19,26.70157
2021-07-20,26.70157
2021-07-21,27.48691
2021-07-22,34.03141
2021-07-23,22.51308
2021-07-24,14.3979
