date,예금이자
2020-03-20,8.1512
2020-03-21,15.29896
2020-03-22,6.94158
2020-03-23,9.5945
2020-03-24,8.41237
2020-03-25,9.16838
2020-03-26,8.64604
2020-03-27,7.84879
2020-03-28,6.06185
2020-03-29,11.58762
2020-03-30,13.05841
2020-03-31,11.65635
2020-04-01,9.96563
2020-04-02,8.76975
2020-04-03,7.24398
2020-04-04,5.04467
2020-04-05,5.78694
2020-04-06,8.26116
2020-04-07,7.38144
2020-04-08,7.76632
2020-04-09,7.64261
2020-04-10,7.53264
2020-04-11,4.54982
2020-04-12,4.94845
2020-04-13,8.02749
2020-04-14,5.96563
2020-04-15,4.96219
2020-04-16,7.57388
2020-04-17,7.54639
2020-04-18,4.96219
2020-04-19,5.40206
2020-04-20,7.61512
2020-04-21,8.38487
2020-04-22,7.86254
2020-04-23,6.94158
2020-04-24,7.40893
2020-04-25,4.79725
2020-04-26,4.64604
2020-04-27,7.42268
2020-04-28,7.29896
2020-04-29,7.09278
2020-04-30,4.53608
2020-05-01,4.59106
2020-05-02,3.80756
2020-05-03,4.05498
2020-05-04,8.01374
2020-05-05,5.05841
2020-05-06,7.07903
2020-05-07,6.48797
2020-05-08,5.62199
2020-05-09,3.83505
2020-05-10,3.89003
2020-05-11,7.38144
2020-05-12,6.26804
2020-05-13,6.0481
2020-05-14,5.88316
2020-05-15,5.95189
2020-05-16,3.98625
2020-05-17,4.28865
2020-05-18,6.81786
2020-05-19,6.98281
2020-05-20,7.83505
2020-05-21,6.47422
2020-05-22,5.75945
2020-05-23,4.28865
2020-05-24,4.17869
2020-05-25,7.65635
2020-05-26,7.32646
2020-05-27,6.13058
2020-05-28,7.64261
2020-05-29,6.8591
2020-05-30,4.49484
2020-05-31,5.23711
2020-06-01,8.0
2020-06-02,7.0378
2020-06-03,7.06529
2020-06-04,6.26804
2020-06-05,6.0481
2020-06-06,3.86254
2020-06-07,3.35395
2020-06-08,6.47422
2020-06-09,6.15807
2020-06-10,6.62542
2020-06-11,6.65292
2020-06-12,5.63573
2020-06-13,3.61512
2020-06-14,4.39862
2020-06-15,6.378
2020-06-16,5.84192
2020-06-17,5.92439
2020-06-18,6.5292
2020-06-19,5.63573
2020-06-20,10.18556
2020-06-21,4.81099
2020-06-22,7.14776
2020-06-23,6.03436
2020-06-24,6.94158
2020-06-25,7.90378
2020-06-26,6.15807
2020-06-27,4.26116
2020-06-28,8.57731
2020-06-29,10.28178
2020-06-30,8.71477
2020-07-01,8.6323
2020-07-02,6.87285
2020-07-03,6.13058
2020-07-04,3.78006
2020-07-05,4.43986
2020-07-06,7.36769
2020-07-07,6.68041
2020-07-08,6.8591
2020-07-09,5.77319
2020-07-10,5.53951
2020-07-11,3.9725
2020-07-12,4.37113
2020-07-13,6.13058
2020-07-14,6.17182
