date,공동주택
2020-03-20,24.70588
2020-03-21,12.86274
2020-03-22,14.90196
2020-03-23,26.11764
2020-03-24,22.03921
2020-03-25,29.88235
2020-03-26,25.41176
2020-03-27,19.84313
2020-03-28,10.66666
2020-03-29,17.41176
2020-03-30,29.41176
2020-03-31,25.09803
2020-04-01,24.94117
2020-04-02,27.05882
2020-04-03,22.35294
2020-04-04,12.47058
2020-04-05,14.11764
2020-04-06,24.62745
2020-04-07,24.62745
2020-04-08,25.72549
2020-04-09,25.64705
2020-04-10,20.94117
2020-04-11,14.82352
2020-04-12,13.64705
2020-04-13,22.43137
2020-04-14,23.29411
2020-04-15,11.84313
2020-04-16,23.21568
2020-04-17,21.0196
2020-04-18,12.54901
2020-04-19,12.39215
2020-04-20,23.13725
2020-04-21,21.96078
2020-04-22,25.49019
2020-04-23,22.66666
2020-04-24,23.13725
2020-04-25,13.80392
2020-04-26,12.86274
2020-04-27,22.66666
2020-04-28,29.17647
2020-04-29,26.2745
2020-04-30,13.64705
2020-05-01,14.82352
2020-05-02,10.43137
2020-05-03,13.80392
2020-05-04,23.05882
2020-05-05,14.5098
2020-05-06,24.62745
2020-05-07,23.13725
2020-05-08,20.94117
2020-05-09,13.80392
2020-05-10,13.56862
2020-05-11,25.41176
2020-05-12,27.37254
2020-05-13,25.64705
2020-05-14,25.64705
2020-05-15,19.68627
2020-05-16,11.37254
2020-05-17,18.5098
2020-05-18,29.2549
2020-05-19,29.2549
2020-05-20,27.21568
2020-05-21,23.21568
2020-05-22,18.2745
2020-05-23,15.37254
2020-05-24,14.43137
2020-05-25,26.74509
2020-05-26,27.05882
2020-05-27,26.11764
2020-05-28,27.45098
2020-05-29,25.09803
2020-05-30,11.05882
2020-05-31,14.11764
2020-06-01,24.94117
2020-06-02,23.84313
2020-06-03,21.49019
2020-06-04,24.15686
2020-06-05,18.90196
2020-06-06,9.96078
2020-06-07,11.29411
2020-06-08,25.17647
2020-06-09,21.56862
2020-06-10,22.98039
2020-06-11,22.66666
2020-06-12,20.15686
2020-06-13,12.70588
2020-06-14,11.52941
2020-06-15,25.09803
2020-06-16,25.72549
2020-06-17,22.58823
2020-06-18,26.82352
2020-06-19,20.0
2020-06-20,13.09803
2020-06-21,13.09803
2020-06-22,24.15686
2020-06-23,23.21568
2020-06-24,23.60784
2020-06-25,23.7647
2020-06-26,22.03921
2020-06-27,11.29411
2020-06-28,17.0196
2020-06-29,24.07843
2020-06-30,22.82352
2020-07-01,23.21568
2020-07-02,21.80392
2020-07-03,19.21568
2020-07-04,12.0
2020-07-05,12.0
2020-07-06,26.66666
2020-07-07,23.37254
2020-07-08,27.29411
2020-07-09,24.94117
2020-07-10,29.33333
2020-07-11,14.58823
2020-07-12,15.13725
2020-07-13,25.17647
2020-07-14,24.23529
2020-07-15,24.0
2020-07-16,22.90196
2020-07-17,24.39215
2020-07-18,12.07843
2020-07-19,13.56862
2020-07-20,25.17647
2020-07-21,23.7647
2020-07-22,23.52941
2020-07-23,26.90196
2020-07-24,20.23529
2020-07-25,12.31372
2020-07-26,11.68627
2020-07-27,24.62745
2020-07-28,24.47058
2020-07-29,22.11764
2020-07-30,25.09803
2020-07-31,18.03921
2020-08-01,12.0
2020-08-02,10.58823
2020-08-03,21.80392
2020-08-04,22.19607
2020-08-05,23.45098
2020-08-06,23.05882
2020-08-07,22.35294
2020-08-08,10.5098
2020-08-09,10.5098
2020-08-10,21.56862
2020-08-11,27.37254
2020-08-12,25.88235
2020-08-13,24.94117
2020-08-14,20.70588
2020-08-15,11.21568
2020-08-16,10.43137
2020-08-17,18.35294
2020-08-18,29.49019
2020-08-19,46.82352
2020-08-20,36.39215
2020-08-21,25.33333
2020-08-22,17.2549
2020-08-23,16.70588
2020-08-24,25.41176
2020-08-25,25.2549
2020-08-26,27.52941
2020-08-27,25.2549
2020-08-28,23.7647
2020-08-29,13.41176
2020-08-30,14.03921
2020-08-31,27.37254
2020-09-01,26.90196
2020-09-02,26.66666
2020-09-03,29.41176
2020-09-04,27.21568
2020-09-05,18.03921
2020-09-06,21.88235
2020-09-07,31.92156
2020-09-08,30.74509
2020-09-09,34.5098
2020-09-10,36.31372
2020-09-11,27.60784
2020-09-12,15.45098
2020-09-13,15.37254
2020-09-14,31.60784
2020-09-15,34.19607
2020-09-16,32.78431
2020-09-17,31.13725
2020-09-18,26.03921
2020-09-19,18.74509
2020-09-20,18.90196
2020-09-21,28.78431
2020-09-22,31.7647
2020-09-23,27.84313
2020-09-24,27.60784
2020-09-25,23.05882
2020-09-26,14.35294
2020-09-27,15.52941
