date,인덱스펀드뜻
2020-03-20,2.45614
2020-03-21,1.75438
2020-03-23,2.45614
2020-03-24,2.10526
2020-03-25,1.75438
2020-04-05,2.10526
2020-04-19,2.10526
2020-05-03,2.45614
2020-06-06,2.10526
2020-08-05,2.10526
2020-08-10,1.75438
2020-08-12,1.75438
2020-08-16,2.10526
2020-08-20,1.75438
2020-08-29,1.75438
2020-10-21,1.75438
2020-11-17,1.75438
2020-11-25,2.45614
2020-11-26,1.75438
2020-12-01,2.10526
2020-12-09,1.75438
2020-12-13,1.75438
2020-12-14,2.10526
2020-12-15,2.10526
2020-12-20,2.45614
2020-12-23,1.75438
2020-12-24,1.75438
2020-12-29,2.10526
2021-01-04,1.75438
2021-01-05,2.10526
2021-01-06,3.85964
2021-01-07,3.50877
2021-01-08,3.85964
2021-01-09,3.50877
2021-01-10,1.75438
2021-01-13,3.15789
2021-01-14,1.75438
2021-01-15,2.80701
2021-01-16,1.75438
2021-01-17,1.75438
2021-01-19,2.10526
2021-01-21,1.75438
2021-01-22,1.75438
2021-01-25,2.10526
2021-01-29,1.75438
2021-02-04,1.75438
2021-02-15,1.75438
2021-02-18,1.75438
2021-02-27,1.75438
2021-03-10,2.45614
2021-03-11,1.75438
2021-03-12,2.80701
2021-03-14,2.45614
2021-03-16,1.75438
2021-03-17,2.10526
2021-03-18,2.10526
2021-03-21,1.75438
2021-03-29,1.75438
2021-03-30,1.75438
2021-04-03,1.75438
2021-04-05,1.75438
2021-04-08,2.10526
2021-04-11,2.45614
2021-04-21,4.91228
2021-05-01,2.45614
2021-06-07,2.45614
2021-06-10,1.75438
2021-06-21,1.75438
2021-06-22,1.75438
2021-07-07,2.45614
2021-07-13,1.75438
2021-07-16,1.75438
2021-07-20,1.75438
2021-07-24,1.75438
2021-08-02,1.75438
2021-08-22,1.75438
2021-08-24,1.75438
2021-08-28,3.15789
2021-08-29,2.45614
2021-09-10,1.75438
2021-09-15,2.10526
2021-09-18,2.10526
2021-09-25,1.75438
2021-11-04,2.10526
2021-11-08,2.10526
2021-11-09,2.80701
2021-11-18,1.75438
2021-11-20,2.10526
2021-11-21,2.80701
2021-11-27,3.85964
2021-12-05,2.10526
2021-12-13,1.75438
2021-12-16,1.75438
2021-12-23,2.80701
2022-01-07,3.50877
2022-01-10,2.10526
2022-01-20,4.5614
2022-01-22,2.10526
2022-01-25,2.45614
2022-01-29,1.75438
2022-02-02,2.45614
2022-02-04,1.75438
2022-02-09,1.75438
2022-02-12,2.10526
2022-02-13,2.45614
2022-02-16,1.75438
