date,집에서하는부업
2020-03-20,75.64276
2020-03-21,69.28281
2020-03-22,70.36535
2020-03-23,82.67929
2020-03-24,79.16102
2020-03-25,72.80108
2020-03-26,75.2368
2020-03-27,58.59269
2020-03-28,39.51285
2020-03-29,52.77401
2020-03-30,64.00541
2020-03-31,69.82408
2020-04-01,59.81055
2020-04-02,62.92286
2020-04-03,50.74424
2020-04-04,44.11366
2020-04-05,46.14343
2020-04-06,59.26928
2020-04-07,60.75778
2020-04-08,64.81732
2020-04-09,56.29228
2020-04-10,45.46684
2020-04-11,37.6184
2020-04-12,47.49661
2020-04-13,56.56292
2020-04-14,51.55615
2020-04-15,42.48985
2020-04-16,54.26251
2020-04-17,51.28552
2020-04-18,40.05412
2020-04-19,41.54262
2020-04-20,59.53991
2020-04-21,63.87009
2020-04-22,56.83355
2020-04-23,51.69147
2020-04-24,39.78349
2020-04-25,38.43031
2020-04-26,32.74695
2020-04-27,52.50338
2020-04-28,41.54262
2020-04-29,35.58863
2020-04-30,28.95805
2020-05-01,23.81596
2020-05-02,23.54533
2020-05-03,29.49932
2020-05-04,37.07713
2020-05-05,37.34776
2020-05-06,40.18944
2020-05-07,32.74695
2020-05-08,26.387
2020-05-09,24.0866
2020-05-10,30.71718
2020-05-11,43.84303
2020-05-12,44.11366
2020-05-13,47.90257
2020-05-14,37.07713
2020-05-15,41.27198
2020-05-16,23.27469
2020-05-17,27.46955
2020-05-18,44.3843
2020-05-19,42.76048
2020-05-20,38.83626
2020-05-21,39.51285
2020-05-22,33.28822
2020-05-23,21.92151
2020-05-24,31.79972
2020-05-25,47.22598
2020-05-26,46.41407
2020-05-27,37.6184
2020-05-28,40.46008
2020-05-29,33.01759
2020-05-30,26.11637
2020-05-31,24.62787
2020-06-01,47.36129
2020-06-02,38.56562
2020-06-03,39.64817
2020-06-04,33.1529
2020-06-05,30.98782
2020-06-06,22.46278
2020-06-07,24.62787
2020-06-08,39.64817
2020-06-09,34.37077
2020-06-10,38.97158
2020-06-11,37.07713
2020-06-12,30.44654
2020-06-13,27.60487
2020-06-14,28.82273
2020-06-15,42.62516
2020-06-16,38.83626
2020-06-17,37.75372
2020-06-18,43.97834
2020-06-19,33.28822
2020-06-20,24.0866
2020-06-21,27.60487
2020-06-22,39.37753
2020-06-23,43.84303
2020-06-24,35.04736
2020-06-25,36.80649
2020-06-26,31.39377
2020-06-27,24.49255
2020-06-28,32.88227
2020-06-29,46.82002
2020-06-30,48.98511
2020-07-01,40.73071
2020-07-02,38.29499
2020-07-03,31.93504
2020-07-04,24.76319
2020-07-05,25.84573
2020-07-06,100.0
2020-07-07,62.65223
2020-07-08,51.01488
2020-07-09,50.47361
2020-07-10,36.26522
