date,온라인부업
2020-03-20,8.71794
2020-03-21,9.74358
2020-03-22,13.84615
2020-03-23,18.97435
2020-03-24,17.94871
2020-03-25,15.89743
2020-03-26,12.82051
2020-03-27,15.38461
2020-03-28,9.23076
2020-03-29,8.20512
2020-03-30,12.30769
2020-03-31,18.46153
2020-04-01,16.92307
2020-04-02,14.35897
2020-04-03,15.89743
2020-04-04,7.6923
2020-04-05,10.76923
2020-04-06,12.30769
2020-04-07,17.94871
2020-04-08,24.61538
2020-04-09,20.0
2020-04-10,16.41025
2020-04-11,7.6923
2020-04-12,5.1282
2020-04-13,14.87179
2020-04-14,13.84615
2020-04-15,19.48717
2020-04-16,15.89743
2020-04-17,15.38461
2020-04-18,9.23076
2020-04-19,11.28205
2020-04-20,17.43589
2020-04-21,20.51282
2020-04-22,11.79487
2020-04-23,12.30769
2020-04-24,9.74358
2020-04-25,15.89743
2020-04-26,11.79487
2020-04-27,16.41025
2020-04-28,18.46153
2020-04-29,15.89743
2020-04-30,3.58974
2020-05-01,9.74358
2020-05-02,5.1282
2020-05-03,12.30769
2020-05-04,8.71794
2020-05-05,11.28205
2020-05-06,7.17948
2020-05-07,10.76923
2020-05-08,10.76923
2020-05-09,11.28205
2020-05-11,15.89743
2020-05-12,16.41025
2020-05-13,13.84615
2020-05-14,16.41025
2020-05-15,10.76923
2020-05-16,8.71794
2020-05-17,8.71794
2020-05-18,9.23076
2020-05-19,10.76923
2020-05-20,14.87179
2020-05-21,11.79487
2020-05-22,12.30769
2020-05-24,5.1282
2020-05-25,10.25641
2020-05-26,21.02564
2020-05-27,28.71794
2020-05-28,15.89743
2020-05-29,14.35897
2020-05-30,12.30769
2020-05-31,8.71794
2020-06-01,20.0
2020-06-02,16.92307
2020-06-03,15.89743
2020-06-04,8.20512
2020-06-05,7.17948
2020-06-06,6.15384
2020-06-07,9.74358
2020-06-08,8.71794
2020-06-09,17.94871
2020-06-10,28.20512
2020-06-11,19.48717
2020-06-12,15.38461
2020-06-13,10.76923
2020-06-14,11.79487
2020-06-15,14.35897
2020-06-16,14.35897
2020-06-17,15.89743
2020-06-18,8.20512
2020-06-19,15.38461
2020-06-20,7.17948
2020-06-21,8.71794
2020-06-22,16.92307
2020-06-23,21.53846
2020-06-24,12.82051
2020-06-25,14.87179
2020-06-26,10.76923
2020-06-27,5.64102
2020-06-28,6.15384
2020-06-29,15.38461
2020-06-30,16.41025
2020-07-01,14.35897
2020-07-02,16.92307
2020-07-03,25.1282
2020-07-04,11.79487
2020-07-05,12.30769
2020-07-06,19.48717
2020-07-07,30.25641
2020-07-08,28.71794
2020-07-09,16.92307
2020-07-10,15.89743
2020-07-11,12.82051
2020-07-12,23.07692
2020-07-13,24.10256
2020-07-14,18.46153
2020-07-15,21.02564
2020-07-16,24.10256
2020-07-17,14.35897
2020-07-18,8.20512
2020-07-19,10.25641
2020-07-20,25.64102
2020-07-21,23.58974
2020-07-22,16.92307
2020-07-23,14.35897
2020-07-24,9.23076
2020-07-25,10.76923
2020-07-26,10.25641
2020-07-27,15.89743
2020-07-28,14.87179
2020-07-29,17.94871
2020-07-30,13.84615
2020-07-31,19.48717
2020-08-01,14.87179
2020-08-02,6.66666
2020-08-03,12.82051
2020-08-04,19.48717
2020-08-05,33.33333
2020-08-06,27.6923
2020-08-07,17.94871
2020-08-08,12.30769
2020-08-09,10.25641
2020-08-10,15.38461
2020-08-11,13.33333
2020-08-12,10.25641
2020-08-13,14.87179
2020-08-14,5.64102
2020-08-15,15.89743
2020-08-16,14.87179
2020-08-17,13.84615
2020-08-18,28.20512
2020-08-19,24.61538
2020-08-20,18.46153
2020-08-21,23.07692
