date,세계증시
2020-03-20,96.29974
2020-03-21,44.37846
2020-03-22,15.5224
2020-03-23,78.56406
2020-03-24,100.0
2020-03-25,91.95661
2020-03-26,91.95171
2020-03-27,79.78603
2020-03-28,36.82583
2020-03-29,12.28345
2020-03-30,59.94503
2020-03-31,65.42179
2020-04-01,74.68223
2020-04-02,74.64788
2020-04-03,57.90842
2020-04-04,24.4933
2020-04-05,8.74024
2020-04-06,41.18368
2020-04-07,55.78348
2020-04-08,56.11719
2020-04-09,51.78387
2020-04-10,47.46037
2020-04-11,17.64244
2020-04-12,7.34161
2020-04-13,35.59405
2020-04-14,39.01457
2020-04-15,31.79565
2020-04-16,42.14555
2020-04-17,40.76164
2020-04-18,15.69907
2020-04-19,6.17853
2020-04-20,27.85984
2020-04-21,49.3841
2020-04-22,48.81974
2020-04-23,38.90661
2020-04-24,35.56951
2020-04-25,14.88442
2020-04-26,4.97619
2020-04-27,23.56578
2020-04-28,31.96741
2020-04-29,29.36644
2020-04-30,20.01275
2020-05-01,21.86779
2020-05-02,12.85272
2020-05-03,5.94297
2020-05-04,25.61711
2020-05-05,25.18525
2020-05-06,32.6839
2020-05-07,32.49251
2020-05-08,26.53972
2020-05-09,11.78779
2020-05-10,4.44618
2020-05-11,21.58806
2020-05-12,31.29999
2020-05-13,30.66692
2020-05-14,35.34867
2020-05-15,31.42758
2020-05-16,11.12528
2020-05-17,4.31368
2020-05-18,19.88516
2020-05-19,33.87152
2020-05-20,32.90965
2020-05-21,30.57368
2020-05-22,30.981
2020-05-23,12.4454
2020-05-24,4.70137
2020-05-25,20.6311
2020-05-26,29.31736
2020-05-27,30.3234
2020-05-28,31.91833
2020-05-29,27.80095
2020-05-30,11.24797
2020-05-31,4.10266
2020-06-01,17.65225
2020-06-02,25.48461
2020-06-03,29.06217
2020-06-04,30.57859
2020-06-05,26.25509
2020-06-06,11.34612
2020-06-07,3.85729
2020-06-08,19.70849
2020-06-09,28.5567
2020-06-10,26.84889
2020-06-11,32.23241
2020-06-12,48.20631
2020-06-13,17.72095
2020-06-14,5.01055
2020-06-15,36.18295
2020-06-16,43.19575
2020-06-17,37.16445
2020-06-18,32.30603
2020-06-19,28.24262
2020-06-20,11.67492
2020-06-21,3.97506
2020-06-22,20.00294
