date,자율주행관련주
2020-03-20,0.85021
2020-03-21,0.66438
2020-03-22,0.82349
2020-03-23,1.15143
2020-03-24,1.20244
2020-03-25,1.01904
2020-03-26,1.36763
2020-03-27,1.10528
2020-03-28,0.82228
2020-03-29,0.70689
2020-03-30,1.46965
2020-03-31,1.52795
2020-04-01,1.48787
2020-04-02,1.19273
2020-04-03,0.99718
2020-04-04,0.92066
2020-04-05,0.74819
2020-04-06,1.71257
2020-04-07,1.95914
2020-04-08,1.63727
2020-04-09,1.99436
2020-04-10,2.35631
2020-04-11,1.33726
2020-04-12,1.3239
2020-04-13,1.68099
2020-04-14,1.5984
2020-04-15,1.08098
2020-04-16,1.34091
2020-04-17,2.01622
2020-04-18,1.73322
2020-04-19,1.53281
2020-04-20,2.56765
2020-04-21,1.52674
2020-04-22,1.6895
2020-04-23,1.96278
2020-04-24,1.66035
2020-04-25,0.98746
2020-04-26,1.32026
2020-04-27,2.77656
2020-04-28,4.31302
2020-04-29,2.7049
2020-04-30,1.86683
2020-05-01,1.52917
2020-05-02,0.94373
2020-05-03,1.10892
2020-05-04,1.18665
2020-05-05,0.94616
2020-05-06,1.31176
2020-05-07,1.47573
2020-05-08,1.50366
2020-05-09,0.87693
2020-05-10,1.01783
2020-05-11,1.3567
2020-05-12,1.12835
2020-05-13,2.42311
2020-05-14,1.95063
2020-05-15,1.12957
2020-05-16,2.00529
2020-05-17,2.46198
2020-05-18,3.21746
2020-05-19,2.26036
2020-05-20,2.13768
2020-05-21,3.12636
2020-05-22,1.74294
2020-05-23,1.12349
2020-05-24,1.48544
2020-05-25,2.41097
2020-05-26,3.23082
2020-05-27,2.25671
2020-05-28,1.6895
2020-05-29,1.24981
2020-05-30,0.89151
2020-05-31,1.03361
2020-06-01,1.21459
2020-06-02,1.88383
2020-06-03,2.14133
2020-06-04,1.55711
2020-06-05,1.43565
2020-06-06,1.12471
2020-06-07,1.22431
2020-06-08,1.75994
2020-06-09,1.26925
2020-06-10,1.36277
2020-06-11,1.72715
2020-06-12,0.94252
2020-06-13,0.79798
2020-06-14,0.86114
2020-06-15,0.99353
2020-06-16,0.77734
2020-06-17,0.95831
2020-06-18,0.83928
2020-06-19,1.49395
2020-06-20,0.73968
2020-06-21,0.88301
2020-06-22,1.21702
2020-06-23,1.81338
2020-06-24,1.90812
2020-06-25,1.54496
2020-06-26,2.45469
2020-06-27,1.89841
2020-06-28,1.67735
2020-06-29,2.42797
2020-06-30,1.62148
2020-07-01,1.75994
2020-07-02,1.41378
2020-07-03,1.35062
2020-07-04,0.93523
2020-07-05,1.09313
2020-07-06,1.75994
2020-07-07,1.88383
2020-07-08,1.58868
2020-07-09,2.09881
2020-07-10,1.7648
2020-07-11,1.79517
2020-07-12,2.04416
2020-07-13,2.61259
2020-07-14,2.91745
2020-07-15,2.01258
2020-07-16,2.11946
2020-07-17,1.67614
2020-07-18,1.06155
2020-07-19,1.40164
2020-07-20,1.3737
2020-07-21,2.59801
