date,환급금조회
2020-11-17,0.33354
2020-11-18,0.2293
2020-11-19,0.33354
2020-11-20,0.33354
2020-11-22,0.14592
2020-11-23,0.43777
2020-11-24,0.68792
2020-11-25,0.37523
2020-11-26,0.29184
2020-11-27,0.29184
2020-11-28,0.43777
2020-11-29,0.29184
2020-11-30,0.37523
2020-12-01,0.35438
2020-12-02,0.33354
2020-12-03,0.50031
2020-12-04,0.542
2020-12-05,0.20846
2020-12-06,0.20846
2020-12-07,0.542
2020-12-08,0.60454
2020-12-09,0.39608
2020-12-10,0.813
2020-12-11,0.43777
2020-12-12,0.16677
2020-12-13,0.35438
2020-12-14,0.68792
2020-12-15,0.87554
2020-12-16,0.45861
2020-12-17,0.41692
2020-12-18,0.16677
2020-12-19,0.52115
2020-12-20,0.35438
2020-12-21,0.52115
2020-12-22,0.60454
2020-12-23,0.70877
2020-12-24,0.68792
2020-12-25,0.75046
2020-12-26,0.41692
2020-12-27,0.52115
2020-12-28,1.04231
2020-12-29,1.00062
2020-12-30,1.10485
2020-12-31,1.00062
2021-01-01,0.75046
2021-01-02,0.70877
2021-01-03,0.68792
2021-01-04,1.20908
2021-01-05,0.89639
2021-01-06,1.04231
2021-01-07,0.77131
2021-01-08,0.60454
2021-01-09,0.79216
2021-01-10,0.83385
2021-01-11,1.27162
2021-01-12,1.16739
2021-01-13,2.23056
2021-01-14,12.90389
2021-01-15,17.80279
2021-01-16,3.54388
2021-01-17,2.93933
2021-01-18,7.83823
2021-01-19,4.96143
2021-01-20,4.56535
2021-01-21,3.33541
2021-01-22,4.02334
2021-01-23,1.68855
2021-01-24,1.25078
2021-01-25,3.04356
2021-01-26,2.62664
2021-01-27,2.33479
2021-01-28,2.58494
2021-01-29,2.48071
2021-01-30,0.91723
2021-01-31,1.31332
2021-02-01,1.60516
2021-02-02,1.89701
2021-02-03,1.95955
2021-02-04,2.08463
2021-02-05,1.95955
2021-02-06,0.77131
2021-02-07,0.50031
2021-02-08,1.50093
2021-02-09,1.87617
2021-02-10,1.52178
2021-02-11,0.64623
2021-02-12,0.58369
2021-02-13,0.50031
2021-02-14,0.64623
2021-02-15,2.04294
2021-02-16,1.6677
2021-02-17,1.48009
2021-02-18,1.3967
2021-02-19,0.87554
2021-02-20,0.66708
2021-02-21,0.60454
2021-02-22,1.33416
2021-02-23,1.25078
2021-02-24,1.52178
2021-02-25,1.06316
2021-02-26,0.87554
2021-02-27,0.50031
2021-02-28,0.66708
2021-03-01,0.60454
2021-03-02,1.16739
2021-03-03,1.27162
2021-03-04,1.22993
2021-03-05,0.64623
2021-03-06,0.43777
2021-03-07,0.542
2021-03-08,1.02147
2021-03-09,0.83385
2021-03-10,1.33416
2021-03-11,1.06316
2021-03-12,1.1257
2021-03-13,0.52115
2021-03-14,0.58369
2021-03-15,1.00062
2021-03-16,1.27162
2021-03-17,1.06316
2021-03-18,0.95893
2021-03-19,1.00062
2021-03-20,0.66708
2021-03-21,0.62539
2021-03-22,0.91723
2021-03-23,1.50093
2021-03-24,1.35501
2021-03-25,0.8547
2021-03-26,1.10485
2021-03-27,0.68792
2021-03-28,0.56285
2021-03-29,1.18824
2021-03-30,1.60516
2021-03-31,1.45924
2021-04-01,1.43839
2021-04-02,1.93871
2021-04-03,0.89639
2021-04-04,1.04231
2021-04-05,1.27162
2021-04-06,1.08401
2021-04-07,1.56347
2021-04-08,1.9804
2021-04-09,1.27162
2021-04-10,0.64623
2021-04-11,0.8547
2021-04-12,3.4188
2021-04-13,2.33479
2021-04-14,1.75109
2021-04-15,1.85532
2021-04-16,1.75109
2021-04-17,1.18824
2021-04-18,1.06316
2021-04-19,1.81363
2021-04-20,1.89701
2021-04-21,1.58432
2021-04-22,1.9804
2021-04-23,1.6677
2021-04-24,1.6677
2021-04-25,1.64686
2021-04-26,2.10548
2021-04-27,2.10548
2021-04-28,1.50093
2021-04-29,1.50093
2021-04-30,1.60516
2021-05-01,1.45924
2021-05-02,1.56347
2021-05-03,1.9804
2021-05-04,3.16864
2021-05-05,2.08463
2021-05-06,3.16864
2021-05-07,2.91849
2021-05-08,1.73024
2021-05-09,1.81363
2021-05-10,4.25265
2021-05-11,4.35688
2021-05-12,4.25265
2021-05-13,4.14842
2021-05-14,4.5445
2021-05-15,3.77319
2021-05-16,4.21096
2021-05-17,5.52428
2021-05-18,4.77381
2021-05-19,3.23118
2021-05-20,4.87804
2021-05-21,4.10673
2021-05-22,3.39795
2021-05-23,3.56472
2021-05-24,6.06629
2021-05-25,6.75422
2021-05-26,6.46237
2021-05-27,7.58807
2021-05-28,6.96268
2021-05-29,2.68918
2021-05-30,2.04294
2021-05-31,3.87742
2021-06-01,5.14905
2021-06-02,6.31644
2021-06-03,5.33666
2021-06-04,4.77381
2021-06-05,3.12695
2021-06-06,3.39795
2021-06-07,4.29435
2021-06-08,4.75297
2021-06-09,4.83635
2021-06-10,4.91974
2021-06-11,4.46112
2021-06-12,4.25265
2021-06-13,3.02272
2021-06-14,4.50281
2021-06-15,6.21221
2021-06-16,6.67083
2021-06-17,6.46237
2021-06-18,6.58745
2021-06-19,3.43964
2021-06-20,3.43964
2021-06-21,7.31707
2021-06-22,7.6923
2021-06-23,6.79591
2021-06-24,6.19136
2021-06-25,5.19074
2021-06-26,3.16864
