date,국채투자
2020-03-20,4.23892
2020-03-21,1.83044
2020-03-22,4.62427
2020-03-23,4.72061
2020-03-24,2.89017
2020-03-25,2.31213
2020-03-26,5.29865
2020-03-27,3.75722
2020-03-28,2.98651
2020-03-29,3.08285
2020-03-30,2.79383
2020-03-31,2.79383
2020-04-01,3.37186
2020-04-02,3.17919
2020-04-03,0.57803
2020-04-04,2.02312
2020-04-05,2.02312
2020-04-06,1.92678
2020-04-07,2.31213
2020-04-08,2.50481
2020-04-09,1.83044
2020-04-10,2.60115
2020-04-11,1.54142
2020-04-12,2.98651
2020-04-13,3.66088
2020-04-14,3.27552
2020-04-15,1.2524
2020-04-16,2.79383
2020-04-17,2.79383
2020-04-18,2.89017
2020-04-19,5.00963
2020-04-20,4.72061
2020-04-21,3.27552
2020-04-22,5.10597
2020-04-23,9.34489
2020-04-24,10.30828
2020-04-25,6.55105
2020-04-26,4.52793
2020-04-27,3.66088
2020-04-28,3.56454
2020-04-29,3.85356
2020-04-30,3.27552
2020-05-01,2.89017
2020-05-02,2.69749
2020-05-03,2.40847
2020-05-04,2.31213
2020-05-05,1.83044
2020-05-06,2.11946
2020-05-07,1.15606
2020-05-08,2.89017
2020-05-09,1.15606
2020-05-10,0.57803
2020-05-11,2.60115
2020-05-12,1.7341
2020-05-13,2.98651
2020-05-14,4.62427
2020-05-15,2.98651
2020-05-16,1.54142
2020-05-17,1.54142
2020-05-18,2.69749
2020-05-19,1.92678
2020-05-20,2.60115
2020-05-21,1.92678
2020-05-22,1.05973
2020-05-23,1.34874
2020-05-24,1.2524
2020-05-25,1.83044
2020-05-26,1.92678
2020-05-27,0.86705
2020-05-28,0.57803
2020-05-29,1.44508
2020-05-30,0.77071
2020-05-31,0.57803
2020-06-01,1.7341
2020-06-02,0.96339
2020-06-03,1.92678
2020-06-04,1.54142
2020-06-05,0.67437
2020-06-08,0.86705
2020-06-09,1.34874
2020-06-10,2.69749
2020-06-11,0.77071
2020-06-12,1.44508
2020-06-13,1.34874
2020-06-14,0.67437
2020-06-15,1.44508
2020-06-16,1.63776
2020-06-17,1.2524
2020-06-20,0.77071
2020-06-21,0.86705
2020-06-22,1.54142
2020-06-23,1.15606
2020-06-24,0.96339
2020-06-25,0.67437
2020-06-28,1.05973
2020-06-29,0.77071
2020-06-30,1.54142
2020-07-01,0.96339
2020-07-02,1.54142
2020-07-03,1.44508
2020-07-04,0.67437
2020-07-05,1.15606
2020-07-06,1.44508
2020-07-07,1.83044
2020-07-08,1.44508
2020-07-09,1.05973
2020-07-10,0.86705
2020-07-11,2.11946
2020-07-12,1.15606
2020-07-13,2.11946
2020-07-14,1.83044
2020-07-15,2.21579
2020-07-16,1.44508
2020-07-17,1.34874
2020-07-18,0.77071
2020-07-19,1.15606
2020-07-20,1.44508
2020-07-21,1.34874
2020-07-22,1.44508
2020-07-23,0.48169
2020-07-24,0.48169
2020-07-25,0.86705
2020-07-26,0.86705
2020-07-27,11.17533
2020-07-28,12.04238
2020-07-29,5.39499
2020-07-30,2.40847
2020-07-31,2.69749
2020-08-01,0.86705
2020-08-02,1.92678
2020-08-03,3.56454
