date,체크카드혜택
2020-03-20,56.55526
2020-03-21,41.90231
2020-03-22,47.17223
2020-03-23,69.2802
2020-03-24,66.45244
2020-03-25,64.78149
2020-03-26,57.84061
2020-03-27,58.35475
2020-03-28,36.76092
2020-03-29,43.05912
2020-03-30,55.01285
2020-03-31,61.56812
2020-04-01,64.13881
2020-04-02,55.26992
2020-04-03,51.54241
2020-04-04,37.91773
2020-04-05,37.91773
2020-04-06,53.3419
2020-04-07,54.88431
2020-04-08,57.0694
2020-04-09,53.3419
2020-04-10,57.19794
2020-04-11,36.11825
2020-04-12,40.7455
2020-04-13,51.79948
2020-04-14,48.45758
2020-04-15,41.00257
2020-04-16,49.48586
2020-04-17,47.0437
2020-04-18,30.46272
2020-04-19,45.75835
2020-04-20,49.48586
2020-04-21,56.16966
2020-04-22,48.97172
2020-04-23,52.82776
2020-04-24,45.37275
2020-04-25,36.88946
2020-04-26,43.18766
2020-04-27,56.42673
2020-04-28,54.75578
2020-04-29,47.81491
2020-04-30,50.3856
2020-05-01,49.48586
2020-05-02,40.48843
2020-05-03,40.87403
2020-05-04,60.41131
2020-05-05,49.61439
2020-05-06,51.54241
2020-05-07,49.10025
2020-05-08,53.85604
2020-05-09,44.98714
2020-05-10,62.982
2020-05-11,100.0
2020-05-12,78.9203
2020-05-13,73.90745
2020-05-14,64.78149
2020-05-15,62.08226
2020-05-16,39.20308
2020-05-17,37.27506
2020-05-18,52.57069
2020-05-19,42.54498
2020-05-20,51.41388
2020-05-21,42.80205
2020-05-22,42.80205
2020-05-23,31.10539
2020-05-24,29.56298
2020-05-25,45.24421
2020-05-26,42.03084
2020-05-27,38.43187
2020-05-28,31.491
2020-05-29,27.37789
2020-05-30,18.63753
2020-05-31,29.94858
2020-06-01,37.91773
2020-06-02,30.71979
2020-06-03,30.71979
2020-06-04,27.37789
2020-06-05,27.50642
2020-06-06,22.10796
2020-06-07,22.49357
2020-06-08,33.41902
2020-06-09,31.36246
2020-06-10,37.01799
2020-06-11,28.27763
2020-06-12,28.02056
2020-06-13,19.6658
2020-06-14,23.13624
2020-06-15,33.03341
2020-06-16,31.23393
2020-06-17,30.07712
2020-06-18,23.77892
2020-06-19,26.60668
2020-06-20,16.58097
2020-06-21,23.77892
2020-06-22,30.71979
2020-06-23,30.84832
2020-06-24,32.77634
2020-06-25,32.39074
2020-06-26,26.34961
2020-06-27,21.59383
2020-06-28,26.86375
2020-06-29,32.13367
2020-06-30,38.04627
2020-07-01,38.68894
2020-07-02,27.89203
2020-07-03,27.63496
2020-07-04,20.17994
2020-07-05,25.5784
2020-07-06,33.54755
2020-07-07,32.00514
2020-07-08,34.4473
2020-07-09,31.10539
2020-07-10,33.41902
2020-07-11,21.33676
2020-07-12,28.79177
2020-07-13,27.37789
2020-07-14,34.70437
2020-07-15,33.29048
2020-07-16,29.56298
2020-07-17,25.83547
2020-07-18,20.95115
2020-07-19,24.67866
2020-07-20,31.8766
2020-07-21,35.2185
2020-07-22,32.26221
2020-07-23,36.24678
2020-07-24,34.19023
2020-07-25,22.75064
2020-07-26,29.30591
2020-07-27,35.98971
2020-07-28,36.88946
2020-07-29,37.01799
2020-07-30,34.31876
2020-07-31,29.82005
2020-08-01,25.83547
2020-08-02,28.9203
2020-08-03,34.06169
2020-08-04,33.03341
2020-08-05,34.19023
2020-08-06,33.41902
2020-08-07,28.66323
2020-08-08,19.53727
2020-08-09,28.1491
2020-08-10,38.43187
2020-08-11,34.06169
2020-08-12,36.76092
2020-08-13,31.23393
2020-08-14,28.66323
2020-08-15,19.79434
2020-08-16,20.69408
2020-08-17,26.47814
2020-08-18,32.26221
2020-08-19,35.34704
2020-08-20,32.90488
2020-08-21,33.41902
2020-08-22,23.52185
2020-08-23,27.89203
2020-08-24,34.19023
2020-08-25,40.7455
2020-08-26,39.58868
2020-08-27,42.28791
2020-08-28,36.50385
2020-08-29,26.99228
2020-08-30,28.27763
2020-08-31,38.68894
2020-09-01,41.90231
2020-09-02,35.2185
2020-09-03,33.93316
2020-09-04,32.51928
2020-09-05,24.29305
2020-09-06,28.1491
2020-09-07,32.26221
2020-09-08,34.19023
2020-09-09,33.03341
2020-09-10,36.76092
2020-09-11,31.491
2020-09-12,21.33676
2020-09-13,24.29305
2020-09-14,31.74807
2020-09-15,35.98971
2020-09-16,38.04627
2020-09-17,32.77634
2020-09-18,27.63496
2020-09-19,20.30848
2020-09-20,24.55012
2020-09-21,34.70437
2020-09-22,28.9203
2020-09-23,33.03341
2020-09-24,28.02056
2020-09-25,29.69151
2020-09-26,20.17994
2020-09-27,25.32133
2020-09-28,30.07712
2020-09-29,31.8766
2020-09-30,19.2802
2020-10-01,22.10796
2020-10-02,20.69408
2020-10-03,21.85089
2020-10-04,24.55012
2020-10-05,38.94601
2020-10-06,35.86118
2020-10-07,27.12082
2020-10-08,28.1491
2020-10-09,21.97943
2020-10-10,20.69408
