date,바이비트수수료
2020-03-21,1.49625
2020-03-24,1.99501
2020-03-25,1.24688
2020-03-28,1.24688
2020-04-02,1.24688
2020-04-03,1.24688
2020-04-04,1.24688
2020-04-09,1.99501
2020-04-11,1.49625
2020-04-12,1.24688
2020-04-14,1.24688
2020-04-21,3.24189
2020-04-22,2.99251
2020-04-25,2.49376
2020-04-29,1.24688
2020-04-30,3.74064
2020-05-01,1.49625
2020-05-02,1.74563
2020-05-05,2.49376
2020-05-07,1.49625
2020-05-09,1.49625
2020-05-13,1.49625
2020-05-23,2.74314
2020-06-07,1.74563
2020-06-14,1.49625
2020-06-29,1.74563
2020-07-10,1.49625
2020-08-06,1.24688
2020-08-12,2.99251
2020-08-13,3.24189
2020-08-15,1.74563
2020-08-22,2.74314
2020-08-24,2.99251
2020-08-25,1.74563
2020-08-27,1.74563
2020-08-29,1.24688
2020-08-30,3.49127
2020-08-31,2.49376
2020-09-01,3.49127
2020-09-02,4.2394
2020-09-03,3.74064
2020-09-04,3.49127
2020-09-05,2.24438
2020-09-06,2.99251
2020-09-07,2.49376
2020-09-08,1.99501
2020-09-12,1.99501
2020-09-13,1.49625
2020-09-14,1.24688
2020-09-16,1.99501
2020-09-17,4.48877
2020-09-18,2.99251
2020-09-19,3.99002
2020-09-20,3.49127
2020-09-21,3.74064
2020-09-22,1.99501
2020-09-23,2.99251
2020-09-24,2.74314
2020-09-25,3.49127
2020-09-26,3.24189
2020-09-27,2.49376
2020-09-28,2.24438
2020-09-29,3.74064
2020-09-30,2.24438
2020-10-01,3.24189
2020-10-02,2.99251
2020-10-03,3.24189
2020-10-04,2.49376
2020-10-05,3.24189
2020-10-06,1.74563
2020-10-07,2.49376
2020-10-08,3.24189
2020-10-09,2.99251
2020-10-10,2.49376
2020-10-11,3.49127
2020-10-12,3.49127
2020-10-13,5.48628
2020-10-14,3.74064
2020-10-15,2.74314
2020-10-16,4.98753
2020-10-17,5.2369
2020-10-18,5.48628
2020-10-19,5.2369
2020-10-20,6.73316
2020-10-21,4.73815
2020-10-22,5.73566
