date,에이치엘비주가
2020-03-20,18.83607
2020-03-21,2.20854
2020-03-22,1.55486
2020-03-23,17.11302
2020-03-24,16.7132
2020-03-25,17.54775
2020-03-26,18.83607
2020-03-27,16.86552
2020-03-28,1.91978
2020-03-29,1.56438
2020-03-30,16.36098
2020-03-31,17.75084
2020-04-01,23.65297
2020-04-02,21.04778
2020-04-03,19.05184
2020-04-04,2.03401
2020-04-05,1.84045
2020-04-06,18.81703
2020-04-07,18.98521
2020-04-08,15.66605
2020-04-09,14.91083
2020-04-10,13.41625
2020-04-11,1.49774
2020-04-12,1.32639
2020-04-13,14.44754
2020-04-14,19.16925
2020-04-15,3.45878
2020-04-16,19.34061
2020-04-17,17.17649
2020-04-18,2.19267
2020-04-19,1.87535
2020-04-20,15.14564
2020-04-21,13.85098
2020-04-22,13.24173
2020-04-23,12.47699
2020-04-24,11.75985
2020-04-25,1.39937
2020-04-26,1.02811
2020-04-27,13.56857
2020-04-28,11.836
2020-04-29,9.83689
2020-04-30,1.58659
2020-05-01,1.90074
2020-05-02,0.77108
2020-05-03,0.8282
2020-05-04,10.36047
2020-05-05,1.37399
2020-05-06,12.5468
2020-05-07,11.09982
2020-05-08,11.33464
2020-05-09,1.61515
2020-05-10,1.03763
2020-05-11,20.73046
2020-05-12,17.76036
2020-05-13,13.56222
2020-05-14,14.95208
2020-05-15,12.98153
2020-05-16,1.45966
2020-05-17,1.06619
2020-05-18,11.49965
2020-05-19,13.63203
2020-05-20,13.23856
2020-05-21,13.00374
2020-05-22,12.10255
2020-05-23,1.33908
2020-05-24,1.06619
2020-05-25,13.80338
2020-05-26,13.83829
2020-05-27,13.02278
2020-05-28,11.8487
2020-05-29,16.55772
2020-05-30,2.82414
2020-05-31,2.03718
2020-06-01,23.23729
2020-06-02,22.81208
2020-06-03,21.84743
2020-06-04,19.66744
2020-06-05,19.80389
2020-06-06,2.60519
2020-06-07,2.15459
2020-06-08,17.40813
2020-06-09,15.74855
2020-06-10,14.97112
2020-06-11,14.77438
2020-06-12,14.914
2020-06-13,1.78968
2020-06-14,1.29783
2020-06-15,16.1928
2020-06-16,15.58672
2020-06-17,14.80294
2020-06-18,13.32741
2020-06-19,13.39087
2020-06-20,1.46601
2020-06-21,1.24389
2020-06-22,12.61026
2020-06-23,13.09576
2020-06-24,13.5527
2020-06-25,11.57263
2020-06-26,13.00057
2020-06-27,1.57707
2020-06-28,0.98686
2020-06-29,12.29612
2020-06-30,14.28888
2020-07-01,13.75896
2020-07-02,14.67284
2020-07-03,12.14063
2020-07-04,1.22485
2020-07-05,1.12013
2020-07-06,11.37589
2020-07-07,11.40128
2020-07-08,12.14698
2020-07-09,13.20365
2020-07-10,11.07126
2020-07-11,1.32956
2020-07-12,1.18994
2020-07-13,11.48378
2020-07-14,15.26623
2020-07-15,13.06403
2020-07-16,14.48879
2020-07-17,13.92397
2020-07-18,1.51043
2020-07-19,1.28831
2020-07-20,12.73402
2020-07-21,15.88817
2020-07-22,13.34327
2020-07-23,12.22948
2020-07-24,11.95659
2020-07-25,1.40255
2020-07-26,1.12331
2020-07-27,12.4992
2020-07-28,14.22542
2020-07-29,12.54363
2020-07-30,12.91806
2020-07-31,12.03909
2020-08-01,1.35495
2020-08-02,1.07888
2020-08-03,10.92212
2020-08-04,11.9312
2020-08-05,13.25442
