date,자동차보험료계산
2020-03-20,48.5557
2020-03-21,46.76753
2020-03-22,59.83493
2020-03-23,54.47042
2020-03-24,58.59697
2020-03-25,47.45529
2020-03-26,45.94222
2020-03-27,50.89408
2020-03-28,41.54057
2020-03-29,53.50756
2020-03-30,55.98349
2020-03-31,58.87207
2020-04-01,54.19532
2020-04-02,46.07977
2020-04-03,50.61898
2020-04-04,46.07977
2020-04-05,46.35488
2020-04-06,62.03576
2020-04-07,57.0839
2020-04-08,57.359
2020-04-09,55.29573
2020-04-10,51.99449
2020-04-11,45.66712
2020-04-12,56.67125
2020-04-13,69.73865
2020-04-14,58.59697
2020-04-15,54.74552
2020-04-16,60.79779
2020-04-17,57.63411
2020-04-18,53.37001
2020-04-19,58.87207
2020-04-20,74.55295
2020-04-21,71.52682
2020-04-22,66.02475
2020-04-23,59.00962
2020-04-24,59.97248
2020-04-25,50.89408
2020-04-26,58.18431
2020-04-27,72.21458
2020-04-28,58.73452
2020-04-29,56.12104
2020-04-30,51.85694
2020-05-01,44.56671
2020-05-02,46.07977
2020-05-03,56.39614
2020-05-04,70.97661
2020-05-05,59.69738
2020-05-06,72.62723
2020-05-07,68.91334
2020-05-08,59.28473
2020-05-09,52.40715
2020-05-10,60.79779
2020-05-11,92.84731
2020-05-12,70.01375
2020-05-13,84.45667
2020-05-14,69.18844
2020-05-15,73.86519
2020-05-16,49.65612
2020-05-17,59.97248
2020-05-18,79.50481
2020-05-19,74.96561
2020-05-20,61.348
2020-05-21,69.73865
2020-05-22,58.18431
2020-05-23,53.23246
2020-05-24,58.87207
2020-05-25,77.16643
2020-05-26,76.20357
2020-05-27,64.37414
2020-05-28,60.93535
2020-05-29,53.09491
2020-05-30,46.07977
2020-05-31,61.48555
2020-06-01,81.29298
2020-06-02,69.32599
2020-06-03,63.68638
2020-06-04,62.31086
2020-06-05,52.68225
2020-06-06,48.2806
2020-06-07,63.68638
2020-06-08,77.57909
2020-06-09,73.03988
2020-06-10,66.57496
2020-06-11,59.69738
2020-06-12,57.359
2020-06-13,44.15405
2020-06-14,56.5337
2020-06-15,73.45254
2020-06-16,67.26272
2020-06-17,57.77166
2020-06-18,57.49656
2020-06-19,55.84594
2020-06-20,47.31774
2020-06-21,53.92022
2020-06-22,77.71664
2020-06-23,69.05089
2020-06-24,62.72352
2020-06-25,60.24759
2020-06-26,56.67125
2020-06-27,51.30674
2020-06-28,55.84594
2020-06-29,77.85419
2020-06-30,57.0839
2020-07-01,58.04676
2020-07-02,61.89821
2020-07-03,52.68225
2020-07-04,42.36588
2020-07-05,53.50756
2020-07-06,68.91334
2020-07-07,59.28473
2020-07-08,58.59697
2020-07-09,59.42228
2020-07-10,56.94635
2020-07-11,49.93122
2020-07-12,59.83493
2020-07-13,76.89133
2020-07-14,70.56396
2020-07-15,61.89821
2020-07-16,52.2696
2020-07-17,46.90508
2020-07-18,45.52957
2020-07-19,51.16918
2020-07-20,70.4264
2020-07-21,66.85006
2020-07-22,59.55983
2020-07-23,55.29573
2020-07-24,57.22145
2020-07-25,47.86795
