date,캐쉬백
2020-11-07,1.18888
2020-11-08,1.84277
2020-11-09,2.08054
2020-11-10,2.0211
2020-11-11,1.90221
2020-11-12,2.0211
2020-11-13,3.03165
2020-11-14,2.03596
2020-11-15,1.90221
2020-11-16,2.54123
2020-11-17,1.8279
2020-11-18,2.19943
2020-11-19,2.21429
2020-11-20,2.6304
2020-11-21,2.03596
2020-11-22,2.30346
2020-11-23,3.04651
2020-11-24,2.51151
2020-11-25,2.49665
2020-11-26,2.51151
2020-11-27,2.34804
2020-11-28,2.64526
2020-11-29,2.88304
2020-11-30,2.6304
2020-12-01,2.9722
2020-12-02,2.70471
2020-12-03,2.58582
2020-12-04,2.2886
2020-12-05,1.93193
2020-12-06,2.11026
2020-12-07,2.27374
2020-12-08,2.33318
2020-12-09,1.66443
2020-12-10,2.15485
2020-12-11,1.99138
2020-12-12,1.79818
2020-12-13,2.0211
2020-12-14,2.25887
2020-12-15,2.42235
2020-12-16,2.19943
2020-12-17,1.88735
2020-12-18,1.97651
2020-12-19,1.78332
2020-12-20,1.81304
2020-12-21,2.0954
2020-12-22,3.18026
2020-12-23,3.90845
2020-12-24,3.53692
2020-12-25,4.919
2020-12-26,3.74498
2020-12-27,3.7004
2020-12-28,3.47748
2020-12-29,3.95303
2020-12-30,3.25456
2020-12-31,3.03165
2021-01-01,3.35859
2021-01-02,3.32887
2021-01-03,2.64526
2021-01-04,2.70471
2021-01-05,2.92762
2021-01-06,2.0954
2021-01-07,2.61554
2021-01-08,2.24401
2021-01-09,2.31832
2021-01-10,2.31832
2021-01-11,2.70471
2021-01-12,2.39262
2021-01-13,2.71957
2021-01-14,2.51151
2021-01-15,2.70471
2021-01-16,2.03596
2021-01-17,2.18457
2021-01-18,2.74929
2021-01-19,2.25887
2021-01-20,2.00624
2021-01-21,2.24401
2021-01-22,2.21429
2021-01-23,2.27374
2021-01-24,2.46693
2021-01-25,2.30346
2021-01-26,2.0211
2021-01-27,1.90221
2021-01-28,2.40748
2021-01-29,2.33318
2021-01-30,2.16971
2021-01-31,3.01679
2021-02-01,4.90414
2021-02-02,3.74498
2021-02-03,3.12082
2021-02-04,2.08054
2021-02-05,2.68984
2021-02-06,2.21429
2021-02-07,1.85763
2021-02-08,2.12513
2021-02-09,2.22915
2021-02-10,2.73443
2021-02-11,2.31832
2021-02-12,2.86818
2021-02-13,2.86818
2021-02-14,3.44776
2021-02-15,2.92762
2021-02-16,2.92762
2021-02-17,2.46693
2021-02-18,2.15485
2021-02-19,2.16971
2021-02-20,1.66443
2021-02-21,2.2886
2021-02-22,1.78332
2021-02-23,2.5561
2021-02-24,2.40748
2021-02-25,2.0954
2021-02-26,2.22915
2021-02-27,1.59013
2021-02-28,1.44152
2021-03-01,2.12513
2021-03-02,1.72388
2021-03-03,1.7536
2021-03-04,1.57527
2021-03-05,1.54554
2021-03-06,1.51582
2021-03-07,1.51582
2021-03-08,1.51582
2021-03-09,1.51582
2021-03-10,1.97651
