date,포스코엠텍주가
2020-03-20,0.49576
2020-03-21,0.04035
2020-03-22,0.04035
2020-03-23,0.35452
2020-03-24,0.5044
2020-03-25,0.48999
2020-03-26,0.57358
2020-03-27,0.44676
2020-03-28,0.05476
2020-03-29,0.03747
2020-03-30,0.49576
2020-03-31,0.72635
2020-04-01,0.47846
2020-04-02,0.54764
2020-04-03,0.54476
2020-04-04,0.05764
2020-04-05,0.04323
2020-04-06,0.51593
2020-04-07,0.53611
2020-04-08,0.5217
2020-04-09,0.51017
2020-04-10,0.56782
2020-04-11,0.04899
2020-04-12,0.04611
2020-04-13,0.61393
2020-04-14,0.53899
2020-04-15,0.07494
2020-04-16,0.68023
2020-04-17,0.67735
2020-04-18,0.06341
2020-04-19,0.05476
2020-04-20,0.58223
2020-04-21,0.83587
2020-04-22,0.67158
2020-04-23,0.67446
2020-04-24,0.58799
2020-04-25,0.05764
2020-04-26,0.03458
2020-04-27,0.64276
2020-04-28,0.58511
2020-04-29,0.48423
2020-04-30,0.06052
2020-05-01,0.11241
2020-05-02,0.03458
2020-05-03,0.08647
2020-05-04,0.48135
2020-05-05,0.11817
2020-05-06,0.55052
2020-05-07,0.61393
2020-05-08,0.56205
2020-05-09,0.06629
2020-05-10,0.06052
2020-05-11,0.38623
2020-05-12,0.40929
2020-05-13,0.3257
2020-05-14,0.24499
2020-05-15,0.36029
2020-05-16,0.03747
2020-05-17,0.03458
2020-05-18,0.27094
2020-05-19,0.46405
2020-05-20,0.34299
2020-05-21,0.39199
2020-05-22,0.54476
2020-05-23,0.08358
2020-05-24,0.07205
2020-05-25,0.68311
2020-05-26,0.75229
2020-05-27,1.12123
2020-05-28,1.59393
2020-05-29,1.3547
2020-05-30,0.12394
2020-05-31,0.12394
2020-06-01,1.03187
2020-06-02,1.22499
2020-06-03,1.00017
2020-06-04,1.0607
2020-06-05,0.80705
2020-06-06,0.09511
2020-06-07,0.06341
2020-06-08,0.6514
2020-06-09,0.57358
2020-06-10,0.4727
2020-06-11,0.61393
2020-06-12,0.6197
2020-06-13,0.06917
2020-06-14,0.05188
2020-06-15,0.48423
2020-06-16,0.54188
2020-06-17,0.47558
2020-06-18,0.55052
2020-06-19,0.58799
2020-06-20,0.0807
2020-06-21,0.03747
2020-06-22,0.4727
2020-06-23,0.56782
2020-06-24,0.39488
2020-06-25,0.37182
2020-06-26,0.40641
2020-06-27,0.03747
2020-06-28,0.02594
2020-06-29,0.55629
2020-06-30,0.57646
2020-07-01,0.60529
2020-07-02,0.82146
2020-07-03,0.67446
2020-07-04,0.09511
2020-07-05,0.08647
2020-07-06,0.59088
2020-07-07,0.59664
2020-07-08,0.59664
2020-07-09,0.57646
2020-07-10,0.5217
2020-07-11,0.03747
2020-07-12,0.02882
2020-07-13,0.47558
2020-07-14,0.45252
2020-07-15,0.52746
2020-07-16,0.33435
2020-07-17,0.34299
2020-07-18,0.02305
2020-07-20,0.25076
2020-07-21,0.30841
2020-07-22,0.30841
2020-07-23,0.39776
2020-07-24,0.44388
2020-07-25,0.04323
2020-07-26,0.03747
2020-07-27,0.29688
2020-07-28,0.46117
2020-07-29,0.36893
2020-07-30,0.30552
2020-07-31,0.32282
2020-08-02,0.02017
2020-08-03,0.3257
2020-08-04,0.40641
2020-08-05,0.29688
2020-08-06,0.3257
2020-08-07,0.31129
2020-08-08,0.02882
2020-08-09,0.02594
2020-08-10,0.28823
2020-08-11,0.29399
2020-08-12,0.31705
2020-08-13,0.28823
2020-08-14,0.24211
2020-08-15,0.01441
2020-08-16,0.02017
2020-08-17,0.06629
2020-08-18,0.24499
2020-08-19,0.3257
2020-08-20,0.24499
2020-08-21,0.22482
2020-08-22,0.0317
2020-08-23,0.03747
2020-08-24,0.25364
2020-08-25,0.22194
2020-08-26,0.21905
2020-08-27,0.17294
2020-08-28,0.19888
2020-08-31,0.18158
2020-09-01,0.21617
2020-09-02,0.16429
2020-09-03,0.17582
2020-09-04,0.17582
2020-09-06,0.02017
2020-09-07,0.25364
2020-09-08,0.28535
2020-09-09,0.64852
2020-09-10,0.32282
2020-09-11,0.30841
2020-09-12,0.02305
2020-09-13,0.06341
2020-09-14,0.22194
2020-09-15,0.26517
2020-09-16,0.36317
2020-09-17,0.24499
2020-09-18,0.26517
2020-09-20,0.02594
2020-09-21,0.22194
2020-09-22,0.25364
2020-09-23,0.38046
2020-09-24,0.43811
2020-09-25,0.36029
2020-09-26,0.0317
2020-09-28,0.27094
2020-09-29,0.25941
2020-09-30,0.02305
2020-10-02,0.02594
