date,자차보험
2020-03-20,11.81135
2020-03-21,8.34724
2020-03-22,7.05342
2020-03-23,15.81803
2020-03-24,13.23038
2020-03-25,13.27212
2020-03-26,11.89482
2020-03-27,12.22871
2020-03-28,8.97328
2020-03-29,9.89148
2020-03-30,17.8631
2020-03-31,13.35559
2020-04-01,12.97996
2020-04-02,12.43739
2020-04-03,13.0217
2020-04-04,8.68113
2020-04-05,8.05509
2020-04-06,15.27545
2020-04-07,12.72954
2020-04-08,13.81469
2020-04-09,13.85642
2020-04-10,12.14524
2020-04-11,8.93155
2020-04-12,9.09849
2020-04-13,13.73121
2020-04-14,13.52253
2020-04-15,9.6828
2020-04-16,14.02337
2020-04-17,12.68781
2020-04-18,8.84808
2020-04-19,9.39065
2020-04-20,19.90818
2020-04-21,19.40734
2020-04-22,16.52754
2020-04-23,15.48414
2020-04-24,15.35893
2020-04-25,11.01836
2020-04-26,11.68614
2020-04-27,18.73956
2020-04-28,16.11018
2020-04-29,16.31886
2020-04-30,11.01836
2020-05-01,10.89315
2020-05-02,10.1419
2020-05-03,9.14023
2020-05-04,17.07011
2020-05-05,11.47746
2020-05-06,17.44574
2020-05-07,14.89983
2020-05-08,14.85809
2020-05-09,10.601
2020-05-10,10.55926
2020-05-11,19.03171
2020-05-12,15.94323
2020-05-13,16.69449
2020-05-14,16.31886
2020-05-15,14.31552
2020-05-16,11.01836
2020-05-17,10.39232
2020-05-18,20.82637
2020-05-19,17.15358
2020-05-20,17.44574
2020-05-21,19.07345
2020-05-22,18.48914
2020-05-23,11.85308
2020-05-24,11.26878
2020-05-25,17.19532
2020-05-26,19.2404
2020-05-27,16.61101
2020-05-28,15.98497
2020-05-29,14.14858
2020-05-30,9.2237
2020-05-31,11.35225
2020-06-01,18.44741
2020-06-02,20.95158
2020-06-03,18.90651
2020-06-04,13.85642
2020-06-05,16.98664
2020-06-06,11.01836
2020-06-07,11.0601
2020-06-08,17.69616
2020-06-09,21.36894
2020-06-10,17.27879
2020-06-11,17.90484
2020-06-12,17.15358
2020-06-13,10.89315
2020-06-14,11.97829
2020-06-15,19.65776
2020-06-16,16.15191
2020-06-17,15.35893
2020-06-18,16.11018
2020-06-19,13.85642
2020-06-20,9.97495
2020-06-21,9.55759
2020-06-22,17.36227
2020-06-23,16.4858
2020-06-24,16.44407
2020-06-25,18.28046
2020-06-26,14.10684
2020-06-27,10.18363
2020-06-28,9.93322
2020-06-29,16.9449
2020-06-30,14.64941
2020-07-01,15.23372
2020-07-02,15.81803
2020-07-03,16.44407
2020-07-04,10.55926
2020-07-05,11.22704
2020-07-06,16.56928
2020-07-07,16.31886
2020-07-08,15.4424
2020-07-09,16.40233
2020-07-10,13.89816
2020-07-11,11.72787
2020-07-12,10.80968
2020-07-13,18.03005
2020-07-14,17.11185
2020-07-15,18.53088
2020-07-16,14.69115
2020-07-17,14.64941
2020-07-18,10.97662
2020-07-19,10.68447
2020-07-20,18.61435
2020-07-21,17.27879
2020-07-22,15.98497
2020-07-23,19.32387
2020-07-24,19.2404
2020-07-25,13.81469
