date,범일동맛집
2020-03-20,44.75218
2020-03-21,41.83673
2020-03-22,34.98542
2020-03-23,31.48688
2020-03-24,34.5481
2020-03-25,34.5481
2020-03-26,41.69096
2020-03-27,50.58309
2020-03-28,41.83673
2020-03-29,33.67346
2020-03-30,33.09037
2020-03-31,38.92128
2020-04-01,40.67055
2020-04-02,41.69096
2020-04-03,48.68804
2020-04-04,39.50437
2020-04-05,33.52769
2020-04-06,39.79591
2020-04-07,42.71137
2020-04-08,36.29737
2020-04-09,39.94169
2020-04-10,55.10204
2020-04-11,56.70553
2020-04-12,49.12536
2020-04-13,43.14868
2020-04-14,51.45772
2020-04-15,37.60932
2020-04-16,45.77259
2020-04-17,57.58017
2020-04-18,61.37026
2020-04-19,41.9825
2020-04-20,39.50437
2020-04-21,45.91836
2020-04-22,42.27405
2020-04-23,46.793
2020-04-24,48.68804
2020-04-25,61.51603
2020-04-26,37.17201
2020-04-27,48.97959
2020-04-28,51.45772
2020-04-29,44.31486
2020-04-30,48.83381
2020-05-01,56.12244
2020-05-02,58.30903
2020-05-03,52.33236
2020-05-04,61.22448
2020-05-05,60.49562
2020-05-06,51.89504
2020-05-07,58.30903
2020-05-08,70.6997
2020-05-09,59.91253
2020-05-10,50.14577
2020-05-11,44.31486
2020-05-12,49.12536
2020-05-13,52.33236
2020-05-14,54.2274
2020-05-15,56.55976
2020-05-16,58.74635
2020-05-17,48.3965
2020-05-18,51.31195
2020-05-19,45.48104
2020-05-20,47.52186
2020-05-21,55.39358
2020-05-22,58.45481
2020-05-23,57.87172
2020-05-24,53.35276
2020-05-25,48.25072
2020-05-26,53.64431
2020-05-27,52.18658
2020-05-28,55.68513
2020-05-29,52.6239
2020-05-30,59.76676
2020-05-31,48.25072
2020-06-01,42.12827
2020-06-02,49.70845
2020-06-03,48.97959
2020-06-04,53.49854
2020-06-05,57.58017
2020-06-06,58.89212
2020-06-07,49.12536
2020-06-08,47.81341
2020-06-09,54.37317
2020-06-10,55.39358
2020-06-11,48.97959
2020-06-12,60.64139
2020-06-13,65.74344
2020-06-14,51.74927
2020-06-15,46.50145
2020-06-16,60.49562
2020-06-17,53.20699
2020-06-18,52.91545
2020-06-19,62.24489
2020-06-20,65.59766
2020-06-21,46.64723
2020-06-22,55.24781
2020-06-23,58.16326
2020-06-24,48.25072
2020-06-25,54.51895
2020-06-26,69.38775
2020-06-27,62.68221
2020-06-28,52.6239
2020-06-29,44.02332
2020-06-30,58.60058
2020-07-01,54.81049
2020-07-02,55.97667
2020-07-03,54.51895
2020-07-04,71.57434
2020-07-05,48.3965
2020-07-06,50.87463
2020-07-07,57.72594
2020-07-08,56.12244
2020-07-09,56.99708
2020-07-10,46.35568
2020-07-11,70.40816
2020-07-12,53.49854
2020-07-13,43.44023
2020-07-14,53.06122
2020-07-15,59.18367
2020-07-16,63.70262
2020-07-17,66.03498
2020-07-18,69.0962
2020-07-19,48.3965
2020-07-20,50.87463
2020-07-21,52.18658
2020-07-22,53.35276
2020-07-23,56.70553
2020-07-24,52.91545
2020-07-25,62.09912
2020-07-26,52.04081
2020-07-27,44.02332
2020-07-28,57.14285
2020-07-29,52.6239
2020-07-30,52.04081
2020-07-31,62.53644
2020-08-01,54.2274
2020-08-02,46.93877
2020-08-03,60.20408
2020-08-04,67.93002
2020-08-05,52.04081
2020-08-06,59.91253
2020-08-07,63.55685
2020-08-08,55.53935
2020-08-09,46.20991
2020-08-10,45.33527
2020-08-11,58.01749
2020-08-12,51.89504
2020-08-13,55.68513
2020-08-14,60.49562
2020-08-15,56.26822
2020-08-16,47.81341
2020-08-17,53.93586
2020-08-18,44.16909
2020-08-19,51.89504
2020-08-20,46.93877
2020-08-21,54.66472
2020-08-22,49.4169
2020-08-23,31.63265
2020-08-24,39.94169
2020-08-25,39.79591
2020-08-26,38.77551
2020-08-27,42.85714
2020-08-28,41.69096
2020-08-29,35.56851
2020-08-30,34.25655
2020-08-31,31.77842
2020-09-01,36.00583
2020-09-02,26.67638
2020-09-03,40.52478
2020-09-04,48.25072
2020-09-05,38.48396
2020-09-06,33.52769
2020-09-07,30.90379
2020-09-08,41.69096
2020-09-09,42.41982
2020-09-10,46.35568
2020-09-11,48.68804
2020-09-12,49.56268
2020-09-13,39.3586
2020-09-14,37.02623
2020-09-15,37.90087
2020-09-16,44.02332
2020-09-17,39.06705
2020-09-18,46.793
2020-09-19,44.31486
2020-09-20,37.31778
2020-09-21,41.9825
2020-09-22,46.64723
2020-09-23,39.3586
2020-09-24,41.39941
2020-09-25,48.25072
2020-09-26,41.9825
2020-09-27,39.65014
2020-09-28,40.23323
2020-09-29,48.54227
2020-09-30,24.48979
2020-10-01,21.57434
2020-10-02,36.73469
2020-10-03,39.21282
2020-10-04,25.94752
2020-10-05,35.86005
2020-10-06,35.86005
2020-10-07,43.586
2020-10-08,48.3965
2020-10-09,44.89795
2020-10-10,48.25072
2020-10-11,38.62973
2020-10-12,41.10787
2020-10-13,44.16909
2020-10-14,46.93877
2020-10-15,53.49854
2020-10-16,52.91545
2020-10-17,53.20699
2020-10-18,43.29446
2020-10-19,44.46064
2020-10-20,53.64431
2020-10-21,49.27113
2020-10-22,41.54518
2020-10-23,51.60349
2020-10-24,49.56268
2020-10-25,32.79883
2020-10-26,45.77259
2020-10-27,45.77259
2020-10-28,41.69096
2020-10-29,48.54227
2020-10-30,48.83381
2020-10-31,48.97959
2020-11-01,36.1516
2020-11-02,40.81632
2020-11-03,47.95918
2020-11-04,60.34985
2020-11-05,52.76967
2020-11-06,61.22448
2020-11-07,57.87172
2020-11-08,46.64723
2020-11-09,49.27113
2020-11-10,47.95918
2020-11-11,53.20699
2020-11-12,57.72594
2020-11-13,53.64431
2020-11-14,54.08163
2020-11-15,44.16909
2020-11-16,43.14868
2020-11-17,56.99708
2020-11-18,52.18658
2020-11-19,45.91836
2020-11-20,58.89212
2020-11-21,64.57725
2020-11-22,44.60641
2020-11-23,41.54518
2020-11-24,44.75218
2020-11-25,40.379
2020-11-26,32.79883
2020-11-27,36.00583
2020-11-28,36.1516
2020-11-29,27.1137
2020-11-30,23.9067
2020-12-01,25.65597
2020-12-02,22.15743
2020-12-03,25.80174
2020-12-04,27.98833
2020-12-05,27.98833
2020-12-06,20.55393
2020-12-07,19.82507
2020-12-08,23.46938
2020-12-09,25.65597
2020-12-10,28.27988
2020-12-11,27.69679
2020-12-12,22.15743
2020-12-13,19.38775
