date,S&P500ETF
2020-03-20,37.47572
2020-03-21,26.14886
2020-03-22,27.44336
2020-03-23,29.57928
2020-03-24,31.06796
2020-03-25,29.12621
2020-03-26,24.33656
2020-03-27,18.31715
2020-03-28,12.03883
2020-03-29,13.46278
2020-03-30,11.97411
2020-03-31,12.16828
2020-04-01,11.39158
2020-04-02,11.65048
2020-04-03,8.80258
2020-04-04,6.60194
2020-04-05,8.28478
2020-04-06,13.20388
2020-04-07,14.49838
2020-04-08,11.06796
2020-04-09,10.67961
2020-04-10,10.93851
2020-04-11,7.44336
2020-04-12,9.77346
2020-04-13,12.4919
2020-04-14,9.83818
2020-04-15,9.90291
2020-04-16,8.60841
2020-04-17,9.83818
2020-04-18,8.34951
2020-04-19,8.34951
2020-04-20,11.00323
2020-04-21,9.64401
2020-04-22,9.44983
2020-04-23,8.47896
2020-04-24,7.83171
2020-04-25,6.86084
2020-04-26,6.79611
2020-04-27,6.99029
2020-04-28,6.99029
2020-04-29,6.79611
2020-04-30,6.86084
2020-05-01,4.53074
2020-05-02,5.43689
2020-05-03,13.39805
2020-05-04,13.0097
2020-05-05,8.41423
2020-05-06,7.96116
2020-05-07,7.89644
2020-05-08,6.66666
2020-05-09,5.88996
2020-05-10,4.98381
2020-05-11,6.01941
2020-05-12,4.53074
2020-05-13,6.01941
2020-05-14,5.50161
2020-05-15,5.11326
2020-05-16,5.50161
2020-05-17,5.95469
2020-05-18,6.27831
2020-05-19,6.99029
2020-05-20,5.50161
2020-05-21,6.66666
2020-05-22,5.24271
2020-05-23,2.97734
2020-05-24,4.20711
2020-05-25,5.43689
2020-05-26,5.56634
2020-05-27,5.95469
2020-05-28,5.76051
2020-05-29,3.62459
2020-05-30,3.36569
2020-05-31,3.81877
2020-06-01,4.46601
2020-06-02,4.14239
2020-06-03,6.40776
2020-06-04,6.66666
2020-06-05,5.95469
2020-06-06,3.23624
2020-06-07,3.49514
2020-06-08,6.14886
2020-06-09,7.11974
2020-06-10,6.79611
2020-06-11,6.34304
2020-06-12,6.27831
2020-06-13,3.81877
2020-06-14,3.17152
2020-06-15,3.75404
2020-06-16,5.04854
2020-06-17,5.04854
2020-06-18,4.72491
2020-06-19,3.04207
2020-06-20,2.52427
2020-06-21,3.75404
2020-06-22,3.75404
2020-06-23,3.36569
2020-06-24,3.81877
2020-06-25,3.88349
2020-06-26,4.20711
2020-06-27,3.10679
2020-06-28,6.27831
2020-06-29,6.08414
2020-06-30,3.88349
2020-07-01,4.14239
2020-07-02,4.27184
2020-07-03,3.68932
2020-07-04,2.07119
2020-07-05,3.75404
2020-07-06,6.86084
2020-07-07,7.63754
2020-07-08,6.99029
2020-07-09,7.50809
2020-07-10,6.53721
2020-07-11,5.69579
2020-07-12,6.01941
2020-07-13,6.92556
2020-07-14,6.86084
2020-07-15,5.37216
2020-07-16,5.63106
2020-07-17,4.85436
2020-07-18,4.20711
2020-07-19,4.14239
2020-07-20,5.30744
2020-07-21,7.18446
2020-07-22,7.96116
2020-07-23,10.74433
2020-07-24,8.09061
2020-07-25,4.66019
2020-07-26,4.78964
2020-07-27,7.50809
2020-07-28,10.61488
2020-07-29,10.93851
2020-07-30,6.34304
2020-07-31,7.24919
2020-08-01,6.47249
2020-08-02,7.37864
2020-08-03,7.96116
2020-08-04,6.66666
2020-08-05,8.28478
2020-08-06,11.45631
2020-08-07,12.36245
2020-08-08,8.09061
2020-08-09,6.86084
2020-08-10,14.822
2020-08-11,12.29773
2020-08-12,9.38511
2020-08-13,8.34951
2020-08-14,6.73139
2020-08-15,4.53074
2020-08-16,5.50161
2020-08-17,6.66666
2020-08-18,5.76051
2020-08-19,6.34304
2020-08-20,5.88996
2020-08-21,6.01941
2020-08-22,3.43042
2020-08-23,3.75404
2020-08-24,6.99029
2020-08-25,8.67313
2020-08-26,7.18446
2020-08-27,7.44336
2020-08-28,5.56634
2020-08-29,3.17152
2020-08-30,5.88996
2020-08-31,9.38511
2020-09-01,8.67313
2020-09-02,10.67961
2020-09-03,9.25566
2020-09-04,9.32038
2020-09-05,6.08414
2020-09-06,3.62459
2020-09-07,5.30744
2020-09-08,7.31391
2020-09-09,9.64401
2020-09-10,8.73786
2020-09-11,6.34304
2020-09-12,5.11326
2020-09-13,4.53074
2020-09-14,6.40776
2020-09-15,11.77993
2020-09-16,7.83171
2020-09-17,6.86084
2020-09-18,7.96116
2020-09-19,4.98381
2020-09-20,4.33656
2020-09-21,8.60841
2020-09-22,7.76699
2020-09-23,6.53721
2020-09-24,5.88996
2020-09-25,3.88349
2020-09-26,3.55987
2020-09-27,3.88349
2020-09-28,5.43689
2020-09-29,3.88349
2020-09-30,3.30097
2020-10-01,4.33656
2020-10-02,4.72491
2020-10-03,4.59546
2020-10-04,5.88996
2020-10-05,5.76051
2020-10-06,7.50809
2020-10-07,8.47896
2020-10-08,5.82524
2020-10-09,4.91909
2020-10-10,4.27184
2020-10-11,4.66019
2020-10-12,7.57281
2020-10-13,5.37216
2020-10-14,6.92556
2020-10-15,4.78964
2020-10-16,6.47249
2020-10-17,4.53074
2020-10-18,4.66019
2020-10-19,4.78964
2020-10-20,6.27831
2020-10-21,6.01941
2020-10-22,5.63106
2020-10-23,4.27184
2020-10-24,4.01294
2020-10-25,4.59546
2020-10-26,6.08414
2020-10-27,5.76051
2020-10-28,6.53721
2020-10-29,7.05501
2020-10-30,4.53074
2020-10-31,3.30097
2020-11-01,4.14239
2020-11-02,4.78964
2020-11-03,4.59546
2020-11-04,4.91909
2020-11-05,5.11326
2020-11-06,6.73139
2020-11-07,7.83171
2020-11-08,6.92556
2020-11-09,11.39158
2020-11-10,12.10355
2020-11-11,10.03236
2020-11-12,8.22006
2020-11-13,7.18446
2020-11-14,4.66019
2020-11-15,6.73139
2020-11-16,9.38511
2020-11-17,16.31067
2020-11-18,18.1877
2020-11-19,12.55663
2020-11-20,9.38511
2020-11-21,7.57281
2020-11-22,11.13268
2020-11-23,12.55663
2020-11-24,15.79288
2020-11-25,18.57605
2020-11-26,14.88673
2020-11-27,8.22006
2020-11-28,8.73786
2020-11-29,9.44983
2020-11-30,14.75728
2020-12-01,13.2686
2020-12-02,13.65695
2020-12-03,12.62135
2020-12-04,11.97411
2020-12-05,8.47896
2020-12-06,8.60841
2020-12-07,12.7508
2020-12-08,11.32686
2020-12-09,14.62783
2020-12-10,21.10032
2020-12-11,20.32362
2020-12-12,11.19741
2020-12-13,13.91585
2020-12-14,16.24595
2020-12-15,15.8576
2020-12-16,14.43365
2020-12-17,11.71521
2020-12-18,11.13268
2020-12-19,9.90291
2020-12-20,9.32038
2020-12-21,17.86407
2020-12-22,17.86407
2020-12-23,14.95145
2020-12-24,15.5987
2020-12-25,13.13915
2020-12-26,14.822
2020-12-27,14.62783
2020-12-28,22.84789
2020-12-29,26.34304
2020-12-30,26.27831
2020-12-31,19.61165
2021-01-01,21.55339
2021-01-02,18.25242
2021-01-03,18.05825
2021-01-04,29.77346
2021-01-05,27.37864
2021-01-06,26.92556
2021-01-07,29.19093
2021-01-08,28.41423
2021-01-09,21.35922
2021-01-10,24.40129
2021-01-11,32.233
2021-01-12,29.90291
2021-01-13,26.73139
2021-01-14,25.95469
2021-01-15,34.88673
2021-01-16,19.67637
2021-01-17,22.00647
2021-01-18,22.13592
2021-01-19,24.78964
2021-01-20,31.13268
2021-01-21,33.39805
2021-01-22,35.01618
2021-01-23,31.39158
2021-01-24,24.46601
2021-01-25,33.46278
2021-01-26,36.18122
2021-01-27,31.84466
2021-01-28,30.55016
2021-01-29,27.50809
2021-01-30,20.12944
2021-01-31,21.68284
2021-02-01,30.67961
2021-02-02,29.64401
2021-02-03,28.54368
2021-02-04,24.91909
2021-02-05,29.51456
2021-02-06,18.51132
2021-02-07,21.74757
2021-02-08,26.01941
2021-02-09,25.69579
2021-02-10,25.11326
2021-02-11,21.81229
2021-02-12,22.52427
2021-02-13,21.22977
2021-02-14,25.88996
2021-02-15,32.42718
2021-02-16,33.07443
2021-02-17,31.32686
2021-02-18,26.40776
2021-02-19,23.94822
2021-02-20,16.24595
2021-02-21,18.64077
2021-02-22,20.71197
2021-02-23,22.45954
2021-02-24,24.14239
2021-02-25,25.30744
2021-02-26,22.13592
2021-02-27,16.3754
2021-02-28,15.40453
2021-03-01,17.6699
2021-03-02,20.64724
2021-03-03,16.82847
2021-03-04,19.4822
2021-03-05,25.95469
2021-03-06,19.67637
2021-03-07,15.5987
2021-03-08,22.71844
2021-03-09,26.14886
2021-03-10,37.02265
2021-03-11,32.94498
2021-03-12,28.99676
2021-03-13,19.93527
2021-03-14,26.79611
2021-03-15,27.96116
2021-03-16,33.98058
2021-03-17,30.61488
2021-03-18,28.73786
2021-03-19,24.53074
2021-03-20,18.51132
2021-03-21,17.34627
2021-03-22,21.87702
2021-03-23,22.00647
2021-03-24,22.26537
2021-03-25,25.04854
2021-03-26,21.35922
2021-03-27,19.41747
2021-03-28,24.66019
2021-03-29,26.27831
2021-03-30,23.04207
2021-03-31,21.74757
2021-04-01,23.94822
2021-04-02,26.08414
2021-04-03,17.99352
2021-04-04,22.84789
2021-04-05,46.66666
2021-04-06,41.94174
2021-04-07,37.411
2021-04-08,30.29126
2021-04-09,35.40453
2021-04-10,25.37216
2021-04-11,26.47249
2021-04-12,42.58899
2021-04-13,40.58252
2021-04-14,40.90614
2021-04-15,42.65372
2021-04-16,39.80582
2021-04-17,28.60841
2021-04-18,24.20711
2021-04-19,33.7864
2021-04-20,35.27508
2021-04-21,36.8932
2021-04-22,33.20388
2021-04-23,34.43365
2021-04-24,24.78964
2021-04-25,22.07119
2021-04-26,29.38511
2021-04-27,29.90291
2021-04-28,43.94822
2021-04-29,40.77669
2021-04-30,39.15857
2021-05-01,24.72491
2021-05-02,25.69579
2021-05-03,46.14886
2021-05-04,54.49838
2021-05-05,44.14239
2021-05-06,43.23624
2021-05-07,37.02265
2021-05-08,28.67313
2021-05-09,28.15533
2021-05-10,45.37216
2021-05-11,46.40776
2021-05-12,37.28155
2021-05-13,37.34627
2021-05-14,27.24919
2021-05-15,19.67637
2021-05-16,20.77669
2021-05-17,26.92556
2021-05-18,30.93851
2021-05-19,23.62459
2021-05-20,32.233
2021-05-21,27.76699
2021-05-22,18.89967
2021-05-23,18.38187
2021-05-24,31.32686
2021-05-25,33.91585
2021-05-26,31.58576
2021-05-27,32.94498
2021-05-28,25.37216
2021-05-29,21.42394
2021-05-30,19.87055
2021-05-31,27.11974
2021-06-01,32.55663
2021-06-02,27.18446
2021-06-03,25.63106
2021-06-04,27.70226
2021-06-05,17.02265
2021-06-06,22.71844
2021-06-07,29.83818
