date,장후시간외거래
2020-11-07,0.25395
2020-11-08,0.21242
2020-11-09,4.57442
2020-11-10,3.63685
2020-11-11,7.42065
2020-11-12,6.4192
2020-11-13,5.27879
2020-11-14,0.41208
2020-11-15,0.31624
2020-11-16,20.3501
2020-11-17,5.25323
2020-11-18,4.16074
2020-11-19,4.75331
2020-11-20,3.60651
2020-11-21,0.44242
2020-11-22,0.33222
2020-11-23,5.95601
2020-11-24,3.779
2020-11-25,3.42762
2020-11-26,3.35734
2020-11-27,5.93844
2020-11-28,0.31784
2020-11-29,0.27312
2020-11-30,30.48603
2020-12-01,5.2149
2020-12-02,4.43227
2020-12-03,4.0697
2020-12-04,4.05373
2020-12-05,0.46798
2020-12-06,0.44722
2020-12-07,4.42907
2020-12-08,12.3816
2020-12-09,4.14796
2020-12-10,23.3928
2020-12-11,4.28213
2020-12-12,0.49513
2020-12-13,0.31944
2020-12-14,3.79657
2020-12-15,4.43067
2020-12-16,4.78206
2020-12-17,4.74053
2020-12-18,7.58517
2020-12-19,0.59735
2020-12-20,0.4009
2020-12-21,5.02803
2020-12-22,5.34108
2020-12-23,4.84435
2020-12-24,3.49949
2020-12-25,0.38492
2020-12-26,0.26833
2020-12-27,0.31624
2020-12-28,50.84093
2020-12-29,5.9592
2020-12-30,5.76913
2020-12-31,0.52867
2021-01-01,0.23319
2021-01-02,0.21722
2021-01-03,0.28749
2021-01-04,10.63904
2021-01-05,20.78135
2021-01-06,20.40601
2021-01-07,38.57911
2021-01-08,21.46177
2021-01-09,1.09568
2021-01-10,1.04936
2021-01-11,8.29752
2021-01-12,6.55177
2021-01-13,9.04183
2021-01-14,12.79368
2021-01-15,6.77059
2021-01-16,0.50152
2021-01-17,0.46478
2021-01-18,10.04328
2021-01-19,12.80806
2021-01-20,11.27154
2021-01-21,27.77236
2021-01-22,9.68391
2021-01-23,0.92957
2021-01-24,0.69478
2021-01-25,6.45434
2021-01-26,6.77538
2021-01-27,7.03572
2021-01-28,5.77552
2021-01-29,7.93336
2021-01-30,0.57659
2021-01-31,0.42965
2021-02-01,4.30289
2021-02-02,4.05053
2021-02-03,5.47205
2021-02-04,4.814
2021-02-05,4.54726
2021-02-06,0.5143
2021-02-07,0.46798
2021-02-08,24.89578
2021-02-09,19.64733
2021-02-10,46.89102
2021-02-11,0.63089
2021-02-12,0.38492
2021-02-13,0.43124
2021-02-14,0.43923
2021-02-15,38.38425
2021-02-16,33.07831
2021-02-17,31.53699
2021-02-18,21.66781
2021-02-19,7.66183
2021-02-20,0.5159
2021-02-21,0.36256
2021-02-22,5.34907
2021-02-23,4.70858
2021-02-24,4.46261
2021-02-25,6.20996
2021-02-26,6.49746
2021-02-27,0.44562
2021-02-28,0.29388
2021-03-01,0.32583
2021-03-02,3.66241
2021-03-03,4.71178
2021-03-04,4.69581
2021-03-05,4.03456
2021-03-06,0.46319
2021-03-07,0.3418
2021-03-08,4.31886
2021-03-09,3.63046
2021-03-10,3.45158
2021-03-11,4.22463
2021-03-12,3.79498
2021-03-13,0.43124
2021-03-14,0.35937
2021-03-15,3.67838
2021-03-16,3.88442
2021-03-17,4.09525
2021-03-18,5.37302
2021-03-19,5.62698
2021-03-20,0.47277
2021-03-21,0.29069
2021-03-22,4.44345
2021-03-23,3.99463
2021-03-24,4.19907
2021-03-25,3.48192
2021-03-26,3.76463
2021-03-27,0.40569
2021-03-28,0.32742
2021-03-29,3.82053
2021-03-30,3.93393
2021-03-31,4.20866
2021-04-01,3.90199
2021-04-02,3.35095
2021-04-03,0.36576
2021-04-04,0.32902
2021-04-05,3.44039
2021-04-06,3.82213
2021-04-07,3.87803
2021-04-08,3.8397
2021-04-09,3.61609
2021-04-10,0.30985
2021-04-11,0.47117
2021-04-12,4.28692
2021-04-13,4.36997
2021-04-14,4.19109
2021-04-15,4.78046
2021-04-16,4.03935
2021-04-17,0.36576
2021-04-18,0.29708
2021-04-19,3.70873
2021-04-20,3.56657
2021-04-21,4.38754
2021-04-22,4.1831
2021-04-23,3.94991
2021-04-24,0.53187
2021-04-25,0.4009
2021-04-26,4.13838
2021-04-27,4.33484
2021-04-28,4.21185
2021-04-29,3.97866
2021-04-30,3.80935
2021-05-01,0.34978
2021-05-02,0.24597
2021-05-03,2.82387
2021-05-04,2.50922
2021-05-05,0.26992
2021-05-06,2.93727
2021-05-07,2.87179
2021-05-08,0.27472
2021-05-09,0.2811
2021-05-10,3.34616
2021-05-11,4.70858
2021-05-12,3.96268
2021-05-13,4.04095
2021-05-14,3.50428
2021-05-15,0.3961
2021-05-16,0.31944
2021-05-17,3.02352
2021-05-18,2.82547
2021-05-19,0.26992
2021-05-20,2.22172
2021-05-21,2.65936
2021-05-22,0.2859
2021-05-23,0.31944
2021-05-24,2.08755
2021-05-25,2.31116
2021-05-26,2.76956
2021-05-27,3.75824
2021-05-28,2.82706
2021-05-29,0.23479
2021-05-30,0.18847
2021-05-31,3.14651
2021-06-01,3.02033
2021-06-02,3.39887
2021-06-03,3.0379
2021-06-04,3.41324
2021-06-05,0.32423
2021-06-06,0.23798
2021-06-07,3.76463
2021-06-08,3.46914
2021-06-09,3.47074
2021-06-10,3.16887
2021-06-11,3.58574
2021-06-12,0.30027
2021-06-13,0.21083
2021-06-14,4.30129
2021-06-15,3.10019
2021-06-16,3.19283
2021-06-17,2.85422
2021-06-18,2.95005
2021-06-19,0.22999
2021-06-20,0.22361
2021-06-21,2.79831
2021-06-22,3.10338
2021-06-23,3.43401
2021-06-24,3.27588
2021-06-25,2.68012
2021-06-26,0.22999
2021-06-27,0.16611
2021-06-28,2.91811
2021-06-29,2.70727
2021-06-30,2.75519
2021-07-01,2.43894
2021-07-02,2.56512
2021-07-03,0.21881
2021-07-04,0.19645
2021-07-05,3.16408
2021-07-06,3.02831
2021-07-07,3.02991
2021-07-08,3.63046
2021-07-09,2.79831
2021-07-10,0.32742
2021-07-11,0.20923
2021-07-12,2.38144
2021-07-13,2.6897
2021-07-14,3.06186
2021-07-15,2.97401
2021-07-16,2.55873
2021-07-17,0.2252
2021-07-18,0.18367
2021-07-19,2.61783
2021-07-20,2.6929
2021-07-21,2.71047
2021-07-22,2.61623
2021-07-23,2.39901
2021-07-24,0.20923
2021-07-25,0.17249
2021-07-26,1.92943
2021-07-27,2.39901
2021-07-28,2.42297
2021-07-29,2.11311
2021-07-30,2.16422
2021-07-31,0.19006
2021-08-01,0.13736
2021-08-02,1.78408
2021-08-03,1.99651
2021-08-04,2.32394
2021-08-05,2.35908
2021-08-06,3.36373
2021-08-07,0.23479
2021-08-08,0.2252
2021-08-09,3.88761
2021-08-10,3.1497
2021-08-11,3.39727
2021-08-12,3.36213
2021-08-13,3.83171
2021-08-14,0.2859
2021-08-15,0.15333
2021-08-16,0.26194
2021-08-17,2.87179
2021-08-18,2.83984
2021-08-19,2.8063
2021-08-20,2.65936
2021-08-21,0.18527
2021-08-22,0.18847
2021-08-23,2.13228
2021-08-24,3.01873
2021-08-25,2.54436
2021-08-26,2.33512
2021-08-27,2.44054
2021-08-28,0.47117
2021-08-29,0.31784
2021-08-30,2.41179
2021-08-31,2.97081
2021-09-01,3.03311
2021-09-02,2.94206
2021-09-03,2.5172
2021-09-04,0.25395
2021-09-05,0.21242
2021-09-06,2.39901
2021-09-07,2.09235
2021-09-08,2.76477
2021-09-09,3.16567
2021-09-10,2.26804
2021-09-11,0.23319
2021-09-12,0.17409
2021-09-13,1.99651
2021-09-14,2.03804
2021-09-15,2.18658
2021-09-16,1.81603
2021-09-17,2.84623
2021-09-18,0.19645
2021-09-19,0.08784
2021-09-20,0.1102
2021-09-21,0.12937
2021-09-22,0.16611
2021-09-23,2.02526
2021-09-24,2.13707
2021-09-25,0.19486
2021-09-26,0.18527
2021-09-27,2.14825
2021-09-28,2.16103
2021-09-29,2.522
2021-09-30,2.42776
2021-10-01,2.08755
2021-10-02,0.14374
2021-10-03,0.08145
2021-10-04,0.1693
2021-10-05,1.82082
2021-10-06,2.13867
2021-10-07,2.05721
2021-10-08,1.83999
2021-10-09,0.13097
2021-10-10,0.07506
2021-10-11,0.12138
2021-10-12,1.68665
2021-10-13,1.83519
2021-10-14,2.03485
2021-10-15,1.98214
2021-10-16,0.15333
2021-10-17,0.13576
2021-10-18,1.78888
2021-10-19,1.64033
2021-10-20,1.68346
2021-10-21,3.44838
2021-10-22,1.7745
2021-10-23,0.1693
2021-10-24,0.15972
2021-10-25,1.65631
2021-10-26,1.80485
2021-10-27,1.65151
2021-10-28,1.61797
2021-10-29,1.91665
2021-10-30,0.14854
2021-10-31,0.14374
2021-11-01,1.6036
2021-11-02,1.602
2021-11-03,2.74401
2021-11-04,2.10193
2021-11-05,2.30478
2021-11-06,0.18847
2021-11-07,0.14534
2021-11-08,1.8336
2021-11-09,1.82881
2021-11-10,1.88151
2021-11-11,2.39422
2021-11-12,1.93422
2021-11-13,0.22201
2021-11-14,0.19486
2021-11-15,2.35908
2021-11-16,1.99971
2021-11-17,2.40859
2021-11-18,1.98853
2021-11-19,2.03005
2021-11-20,0.1709
2021-11-21,0.20763
2021-11-22,2.24248
2021-11-23,1.87992
2021-11-24,1.72978
2021-11-25,1.69464
2021-11-26,2.27283
2021-11-27,0.33541
2021-11-28,0.2843
2021-11-29,1.8911
2021-11-30,2.55394
2021-12-01,1.88471
2021-12-02,1.58283
2021-12-03,1.46784
2021-12-04,0.15173
2021-12-05,0.12458
2021-12-06,1.44068
2021-12-07,1.57485
2021-12-08,1.42631
2021-12-09,1.75054
2021-12-10,1.50457
2021-12-11,0.13256
2021-12-12,0.13576
2021-12-13,1.56367
2021-12-14,1.3752
2021-12-15,1.63235
2021-12-16,1.41832
2021-12-17,1.72978
2021-12-18,0.13416
2021-12-19,0.13256
2021-12-20,1.60839
2021-12-21,1.5461
2021-12-22,1.67707
2021-12-23,1.48061
2021-12-24,1.40235
2021-12-25,0.14215
2021-12-26,0.15652
2021-12-27,1.59402
2021-12-28,2.71207
2021-12-29,1.8895
2021-12-30,1.63554
2021-12-31,0.14055
2022-01-01,0.04951
2022-01-02,0.08944
2022-01-03,1.5477
2022-01-04,1.90228
2022-01-05,2.40859
2022-01-06,1.95818
2022-01-07,1.86874
2022-01-08,0.13736
2022-01-09,0.17409
2022-01-10,1.63714
2022-01-11,1.88471
2022-01-12,1.92783
2022-01-13,1.85915
2022-01-14,1.74894
2022-01-15,0.12138
2022-01-16,0.10861
2022-01-17,1.2586
2022-01-18,1.39756
2022-01-19,1.34006
2022-01-20,1.6052
2022-01-21,1.8911
2022-01-22,0.20444
2022-01-23,0.1693
2022-01-24,1.21707
2022-01-25,1.5445
2022-01-26,2.54436
2022-01-27,5.4433
2022-01-28,2.68811
2022-01-29,0.44881
2022-01-30,0.09583
2022-01-31,0.07826
2022-02-01,0.08465
2022-02-02,0.24117
2022-02-03,2.38623
2022-02-04,2.67054
2022-02-05,0.23159
2022-02-06,0.37374
2022-02-07,2.70248
2022-02-08,2.14825
2022-02-09,2.59707
2022-02-10,2.56352
2022-02-11,1.98533
2022-02-12,0.1709
2022-02-13,0.17888
2022-02-14,1.76172
2022-02-15,2.25846
2022-02-16,2.33512
2022-02-17,1.5477
2022-02-18,1.71381
2022-02-19,0.15652
2022-02-20,0.15652
2022-02-21,1.4902
2022-02-22,2.38464
2022-02-23,1.97894
2022-02-24,2.3479
2022-02-25,2.64019
2022-02-26,0.38013
2022-02-27,0.29548
2022-02-28,1.88471
2022-03-01,0.28749
2022-03-02,1.81763
2022-03-03,1.90547
2022-03-04,1.86235
2022-03-05,0.17888
2022-03-06,0.16131
2022-03-07,1.8304
2022-03-08,2.1179
2022-03-09,0.25874
2022-03-10,1.81283
2022-03-11,2.31276
2022-03-12,0.22041
2022-03-13,0.14694
2022-03-14,1.67068
2022-03-15,1.87672
2022-03-16,2.01249
2022-03-17,1.95978
2022-03-18,2.11151
2022-03-19,0.18367
2022-03-20,0.1709
2022-03-21,2.02686
2022-03-22,2.37346
2022-03-23,2.83665
2022-03-24,2.73602
2022-03-25,2.40061
2022-03-26,0.22041
2022-03-27,0.20284
2022-03-28,2.37665
2022-03-29,2.32234
2022-03-30,2.47248
2022-03-31,2.77915
2022-04-01,2.65936
2022-04-02,0.23638
2022-04-03,0.2252
2022-04-04,2.33512
2022-04-05,2.29998
2022-04-06,2.88776
2022-04-07,2.25047
2022-04-08,1.80964
2022-04-09,0.19805
2022-04-10,0.15173
2022-04-11,1.4327
2022-04-12,1.73617
2022-04-13,1.89749
2022-04-14,1.82881
2022-04-15,1.90547
2022-04-16,0.15812
2022-04-17,0.11659
2022-04-18,1.64513
2022-04-19,1.77131
2022-04-20,1.9486
2022-04-21,2.04124
2022-04-22,1.93582
2022-04-23,0.21722
2022-04-24,0.17249
2022-04-25,2.08276
2022-04-26,2.26005
2022-04-27,2.32873
2022-04-28,2.14026
2022-04-29,1.9438
2022-04-30,0.17409
2022-05-01,0.14854
2022-05-02,1.64353
2022-05-03,1.72339
2022-05-04,1.48061
2022-05-05,0.25235
2022-05-06,1.57645
2022-05-07,0.1102
2022-05-08,0.1134
2022-05-09,1.45665
2022-05-10,1.28256
2022-05-11,1.50138
2022-05-12,1.66589
2022-05-13,1.51735
2022-05-14,0.1709
2022-05-15,0.14694
2022-05-16,1.45186
2022-05-17,1.35124
2022-05-18,1.57165
2022-05-19,1.78408
2022-05-20,1.68186
2022-05-21,0.19326
2022-05-22,0.12458
2022-05-23,1.3161
2022-05-24,1.41353
2022-05-25,1.45985
2022-05-26,1.46624
2022-05-27,1.17075
2022-05-28,0.13097
2022-05-29,0.14694
2022-05-30,1.40714
2022-05-31,1.38159
2022-06-01,0.15013
2022-06-02,1.40075
2022-06-03,1.25221
2022-06-04,0.12138
2022-06-05,0.04791
2022-06-06,0.06868
2022-06-07,1.32249
2022-06-08,1.57804
2022-06-09,1.62596
2022-06-10,1.6052
2022-06-11,0.16131
2022-06-12,0.13736
2022-06-13,1.67388
2022-06-14,1.57804
2022-06-15,1.65471
2022-06-16,1.98374
2022-06-17,1.69624
2022-06-18,0.12617
2022-06-19,0.09423
2022-06-20,1.33047
2022-06-21,2.29839
2022-06-22,1.69624
2022-06-23,1.41992
2022-06-24,1.17874
2022-06-25,0.12777
2022-06-26,0.10541
2022-06-27,1.22346
2022-06-28,1.37041
2022-06-29,1.39596
2022-06-30,1.3145
2022-07-01,1.13881
2022-07-02,0.09743
2022-07-03,0.07347
2022-07-04,0.80819
2022-07-05,1.07332
2022-07-06,1.00943
2022-07-07,1.09728
2022-07-08,0.97589
2022-07-09,0.0543
2022-07-10,0.0559
2022-07-11,0.99027
2022-07-12,1.02221
2022-07-13,1.02221
2022-07-14,1.27138
2022-07-15,1.11166
2022-07-16,0.06548
2022-07-17,0.06548
2022-07-18,1.1452
2022-07-19,1.06534
2022-07-20,1.19631
2022-07-21,1.23624
2022-07-22,1.01742
2022-07-23,0.08305
2022-07-24,0.06388
2022-07-25,0.88485
2022-07-26,0.87846
2022-07-27,1.10207
2022-07-28,1.257
2022-07-29,1.12763
2022-07-30,0.08145
2022-07-31,0.08465
2022-08-01,0.94395
2022-08-02,0.96471
2022-08-03,1.07811
2022-08-04,1.13721
2022-08-05,1.09568
2022-08-06,0.06069
2022-08-07,0.06388
2022-08-08,1.59402
2022-08-09,1.32089
2022-08-10,1.3177
2022-08-11,1.38797
2022-08-12,1.30332
2022-08-13,0.10541
2022-08-14,0.08624
2022-08-15,0.06868
2022-08-16,1.25381
2022-08-17,1.13721
2022-08-18,1.12923
2022-08-19,0.90562
2022-08-20,0.09263
2022-08-21,0.04951
2022-08-22,0.93437
2022-08-23,0.99666
2022-08-24,1.22346
2022-08-25,1.34964
2022-08-26,1.142
2022-08-27,0.1134
2022-08-28,0.06548
2022-08-29,1.10048
2022-08-30,1.22027
2022-08-31,1.13881
2022-09-01,1.09568
2022-09-02,1.05096
2022-09-03,0.06388
2022-09-04,0.03194
2022-09-05,0.82575
2022-09-06,0.83694
2022-09-07,0.95992
2022-09-08,1.17235
2022-09-09,0.07187
2022-09-10,0.04312
2022-09-11,0.05749
2022-09-12,0.08305
2022-09-13,1.09409
2022-09-14,1.12443
2022-09-15,1.16916
2022-09-16,1.11645
2022-09-17,0.08944
2022-09-18,0.06548
2022-09-19,0.80339
2022-09-20,1.02062
2022-09-21,1.04617
2022-09-22,1.14999
2022-09-23,1.02062
2022-09-24,0.08305
2022-09-25,0.05111
2022-09-26,1.07492
2022-09-27,0.96791
2022-09-28,0.9695
2022-09-29,1.15318
2022-09-30,0.46159
2022-10-01,0.01597
2022-10-02,0.01118
2022-10-03,0.01756
2022-10-04,0.33222
2022-10-05,0.29069
2022-10-06,0.29548
2022-10-07,0.3418
2022-10-08,0.02715
2022-10-11,0.31624
2022-10-12,0.28909
2022-10-13,0.30506
2022-10-14,0.30187
2022-10-15,0.02555
2022-10-16,0.01277
2022-10-17,0.29548
2022-10-18,0.36576
2022-10-19,0.29069
2022-10-20,0.32104
2022-10-21,0.24117
2022-10-22,0.01437
2022-10-23,0.01277
2022-10-24,0.25395
2022-10-25,0.23159
2022-10-26,0.2827
2022-10-27,0.32263
2022-10-28,0.30187
2022-10-29,0.01916
2022-10-31,0.24277
2022-11-01,0.30506
2022-11-02,0.20763
2022-11-03,0.24916
2022-11-04,0.2843
2022-11-05,0.00798
2022-11-06,0.00958
2022-11-07,0.19326
2022-11-08,0.26034
2022-11-09,0.30826
2022-11-10,0.30347
2022-11-11,0.40569
2022-11-12,0.02395
2022-11-13,0.01437
2022-11-14,0.34499
2022-11-15,0.35777
2022-11-16,0.29548
2022-11-17,0.26194
2022-11-18,0.28909
2022-11-19,0.00958
2022-11-21,0.23319
2022-11-22,0.2827
2022-11-23,0.35458
2022-11-24,0.24597
2022-11-25,0.30826
2022-11-26,0.01118
2022-11-27,0.00958
2022-11-28,0.2827
2022-11-29,0.21722
2022-11-30,0.32104
2022-12-01,0.26833
2022-12-02,0.33222
2022-12-03,0.00958
2022-12-04,0.00798
2022-12-05,0.25555
2022-12-06,0.26354
2022-12-07,0.32742
2022-12-08,0.30187
2022-12-09,0.29229
2022-12-10,0.00798
2022-12-12,0.19805
2022-12-13,0.23798
2022-12-14,0.2252
2022-12-15,0.21562
2022-12-16,0.25395
2022-12-18,0.00798
2022-12-19,0.18527
2022-12-20,0.19006
2022-12-21,0.21562
2022-12-22,0.23319
2022-12-23,0.19326
2022-12-24,0.01118
2022-12-26,0.21722
2022-12-27,0.30506
2022-12-28,0.22999
2022-12-29,0.25555
2022-12-30,0.02555
2023-01-02,0.17569
2023-01-03,0.19965
2023-01-04,0.19166
2023-01-05,0.22999
2023-01-06,0.26354
2023-01-07,0.00798
2023-01-09,0.29708
2023-01-10,0.26354
2023-01-11,0.29388
2023-01-12,0.25874
2023-01-13,0.25076
2023-01-14,0.01277
2023-01-16,0.30506
2023-01-17,0.27472
2023-01-18,0.26992
2023-01-19,0.30666
2023-01-20,0.25076
2023-01-21,0.00958
2023-01-22,0.00798
2023-01-25,0.30985
2023-01-26,0.42485
2023-01-27,0.35617
2023-01-28,0.01118
2023-01-29,0.02236
2023-01-30,0.43603
2023-01-31,0.44402
2023-02-01,0.36416
2023-02-02,0.42645
2023-02-03,0.40569
2023-02-04,0.02076
2023-02-05,0.01118
2023-02-06,0.3402
2023-02-07,0.44722
2023-02-08,0.4568
2023-02-09,0.47437
2023-02-10,0.41048
2023-02-11,0.00798
2023-02-13,0.35298
2023-02-14,0.35617
2023-02-15,0.36097
2023-02-16,0.37694
2023-02-17,0.40569
2023-02-18,0.01597
2023-02-20,0.35298
2023-02-21,0.36097
2023-02-22,0.3402
2023-02-23,0.38492
2023-02-24,0.41527
2023-02-25,0.01597
2023-02-26,0.01118
2023-02-27,0.32902
2023-02-28,0.38333
2023-03-01,0.01756
2023-03-02,0.3961
2023-03-03,0.39131
2023-03-04,0.01118
2023-03-05,0.01597
2023-03-06,0.43923
2023-03-07,0.4584
2023-03-08,0.46798
2023-03-09,0.36576
2023-03-10,0.37853
2023-03-11,0.00798
2023-03-12,0.00958
2023-03-13,0.3386
2023-03-14,0.36735
2023-03-15,0.3977
2023-03-16,0.32583
2023-03-17,0.44562
2023-03-18,0.01756
2023-03-19,0.00958
2023-03-20,0.41367
2023-03-21,0.44242
2023-03-22,0.42965
2023-03-23,0.53985
2023-03-24,0.49673
2023-03-25,0.02555
2023-03-26,0.01916
2023-03-27,0.43124
2023-03-28,0.43444
2023-03-29,0.41527
2023-03-30,0.44562
2023-03-31,0.43444
2023-04-01,0.01437
2023-04-02,0.01756
2023-04-03,0.38173
2023-04-04,0.44402
2023-04-05,0.47596
2023-04-06,0.4568
2023-04-07,0.50631
2023-04-08,0.01756
2023-04-09,0.01118
2023-04-10,0.5143
2023-04-11,0.53027
2023-04-12,0.59096
2023-04-13,0.56221
2023-04-14,0.5111
2023-04-15,0.01916
2023-04-16,0.02236
2023-04-17,0.48395
2023-04-18,0.57659
2023-04-19,0.6852
2023-04-20,0.49833
2023-04-21,0.52548
2023-04-22,0.02555
2023-04-23,0.01118
2023-04-24,0.36895
2023-04-25,0.47437
2023-04-26,0.43124
2023-04-27,0.48395
2023-04-28,0.38013
2023-04-29,0.00798
2023-05-01,0.00798
2023-05-02,0.33222
2023-05-03,0.3434
2023-05-04,0.29708
2023-05-08,0.3434
2023-05-09,0.29867
2023-05-10,0.3402
2023-05-11,0.4552
2023-05-12,0.33062
2023-05-13,0.01277
2023-05-14,0.02395
2023-05-15,0.26513
2023-05-16,0.24916
2023-05-17,0.28749
2023-05-18,0.2811
2023-05-19,0.32263
2023-05-21,0.01437
2023-05-22,0.27152
2023-05-23,0.3418
2023-05-24,0.28909
2023-05-25,0.29388
2023-05-26,0.29708
2023-05-27,0.01437
2023-05-28,0.00798
2023-05-29,0.00798
2023-05-30,0.25235
2023-05-31,0.38652
2023-06-01,0.29069
2023-06-02,0.29708
2023-06-03,0.00798
2023-06-05,0.27472
2023-06-06,0.01756
2023-06-07,0.29867
2023-06-08,0.27312
2023-06-09,0.43124
2023-06-12,0.3386
2023-06-13,0.38013
2023-06-14,0.38812
2023-06-15,0.33701
2023-06-16,0.38173
2023-06-17,0.01597
2023-06-19,0.35937
2023-06-20,0.26992
2023-06-21,0.31784
