date,이율높은적금
2020-03-20,26.45914
2020-03-21,16.14785
2020-03-22,15.46692
2020-03-23,27.14007
2020-03-24,30.05836
2020-03-25,34.8249
2020-03-26,35.70038
2020-03-27,25.19455
2020-03-28,18.19066
2020-03-29,20.23346
2020-03-30,31.90661
2020-03-31,25.09727
2020-04-01,27.23735
2020-04-02,23.63813
2020-04-03,21.49805
2020-04-04,17.21789
2020-04-05,15.46692
2020-04-06,27.62645
2020-04-07,27.91828
2020-04-08,25.87548
2020-04-09,24.51361
2020-04-10,24.12451
2020-04-11,18.57976
2020-04-12,18.96887
2020-04-13,26.65369
2020-04-14,26.16731
2020-04-15,21.49805
2020-04-16,24.22178
2020-04-17,25.87548
2020-04-18,16.63424
2020-04-19,15.17509
2020-04-20,27.14007
2020-04-21,27.82101
2020-04-22,27.0428
2020-04-23,25.09727
2020-04-24,25.09727
2020-04-25,14.29961
2020-04-26,12.45136
2020-04-27,28.21011
2020-04-28,27.23735
2020-04-29,25.87548
2020-04-30,16.92607
2020-05-01,18.28793
2020-05-02,11.57587
2020-05-03,16.43968
2020-05-04,28.40466
2020-05-05,21.98443
2020-05-06,26.75097
2020-05-07,23.05447
2020-05-08,21.59533
2020-05-09,12.74319
2020-05-10,14.29961
2020-05-11,26.16731
2020-05-12,28.11284
2020-05-13,26.94552
2020-05-14,21.3035
2020-05-15,22.08171
2020-05-16,13.81322
2020-05-17,12.54863
2020-05-18,25.0
2020-05-19,26.65369
2020-05-20,23.44357
2020-05-21,23.15175
2020-05-22,21.10894
2020-05-23,12.64591
2020-05-24,15.07782
2020-05-25,33.75486
2020-05-26,31.5175
2020-05-27,26.55642
2020-05-28,21.3035
2020-05-29,18.09338
2020-05-30,12.45136
2020-05-31,15.27237
2020-06-01,25.09727
2020-06-02,22.47081
2020-06-03,21.01167
2020-06-04,23.3463
2020-06-05,19.2607
2020-06-06,12.2568
2020-06-07,13.42412
2020-06-08,25.29182
2020-06-09,21.49805
2020-06-10,24.51361
2020-06-11,22.37354
2020-06-12,21.01167
2020-06-13,12.54863
2020-06-14,13.81322
2020-06-15,22.95719
2020-06-16,25.77821
2020-06-17,23.05447
2020-06-18,21.88715
2020-06-19,16.92607
2020-06-20,11.18677
2020-06-21,14.39688
2020-06-22,19.35797
2020-06-23,21.49805
2020-06-24,21.40077
2020-06-25,28.40466
2020-06-26,20.33073
2020-06-27,11.77042
