date,나스닥선물지수실시간
2020-03-23,0.17096
2020-03-25,0.06105
2020-03-26,0.07326
2020-03-27,0.15874
2020-03-28,0.06105
2020-03-29,0.08548
2020-03-30,0.07326
2020-03-31,0.06105
2020-04-01,0.13432
2020-04-14,0.06105
2020-05-07,0.06105
2020-06-22,0.06105
2020-09-25,0.08548
2020-09-28,0.31749
2020-10-30,0.07326
2021-01-07,0.06105
2021-02-22,0.09769
2021-02-26,0.09769
2021-03-04,0.14653
2021-03-09,0.08548
2021-03-10,0.15874
2021-03-12,0.07326
2021-03-15,0.08548
2021-04-06,0.06105
2021-05-13,0.07326
2021-05-27,0.29307
2021-05-28,0.43961
2021-05-31,0.2198
2021-06-01,0.15874
2021-06-22,0.07326
2021-06-29,0.06105
2021-07-01,0.06105
2021-07-02,0.06105
2021-07-08,0.35413
2021-07-09,0.07326
2021-07-12,0.06105
2021-07-19,0.06105
2021-07-20,0.09769
2021-08-16,0.09769
2021-08-18,0.1099
2021-08-19,0.08548
2021-09-02,0.06105
2021-10-01,0.06105
2021-10-18,0.07326
2021-11-01,0.08548
2021-11-10,0.07326
2021-11-12,0.1099
2021-11-15,0.13432
2021-11-16,0.1099
2021-11-18,0.07326
2021-11-19,0.12211
2021-11-22,0.08548
2021-11-23,0.15874
2021-11-24,0.24423
2021-11-25,0.17096
2021-11-26,0.24423
2021-11-29,0.12211
2021-11-30,0.36634
2021-12-01,0.32971
2021-12-02,0.26865
2021-12-03,0.52509
2021-12-06,0.34192
2021-12-07,0.15874
2021-12-08,0.14653
2021-12-09,0.18317
2021-12-10,0.13432
2021-12-13,0.13432
2021-12-14,0.30528
2021-12-15,0.20759
2021-12-17,0.19538
2021-12-20,0.18317
2021-12-21,0.30528
2021-12-22,0.1099
2021-12-23,0.13432
2021-12-24,0.07326
2021-12-27,0.18317
2021-12-28,0.12211
2021-12-29,0.1099
2021-12-30,0.20759
2022-01-03,0.20759
2022-01-04,0.19538
2022-01-05,0.18317
2022-01-06,0.2198
2022-01-07,0.19538
2022-01-10,0.20759
2022-01-11,0.24423
2022-01-12,0.12211
2022-01-13,0.09769
2022-01-14,0.09769
2022-01-17,0.35413
2022-01-18,0.13432
2022-01-19,0.32971
2022-01-20,0.20759
2022-01-21,0.23201
2022-01-24,0.58615
2022-01-25,0.76932
2022-01-26,0.52509
2022-01-27,0.32971
2022-01-28,0.40297
2022-02-02,0.07326
2022-02-03,0.41519
2022-02-04,0.41519
2022-02-07,0.20759
2022-02-08,0.18317
2022-02-09,0.13432
2022-02-10,0.12211
2022-02-11,0.19538
2022-02-14,0.24423
2022-02-15,0.32971
2022-02-16,0.24423
2022-02-17,0.57394
2022-02-18,0.50067
2022-02-20,0.07326
2022-02-21,0.39076
2022-02-22,0.46403
2022-02-23,0.67163
2022-02-24,0.37855
