date,신세계백화점제휴카드
2020-11-22,13.7931
2020-11-23,7.5862
2020-11-24,8.96551
2020-11-25,8.96551
2020-11-26,10.34482
2020-11-27,14.48275
2020-11-28,13.10344
2020-11-29,8.96551
2020-11-30,6.89655
2020-12-01,17.93103
2020-12-02,10.34482
2020-12-03,8.27586
2020-12-04,17.24137
2020-12-05,22.06896
2020-12-06,13.10344
2020-12-07,15.86206
2020-12-08,17.93103
2020-12-09,14.48275
2020-12-10,16.55172
2020-12-11,19.31034
2020-12-12,11.72413
2020-12-13,13.10344
2020-12-14,8.27586
2020-12-15,17.24137
2020-12-16,10.34482
2020-12-17,4.82758
2020-12-18,15.86206
2020-12-19,11.03448
2020-12-20,15.17241
2020-12-21,20.68965
2020-12-22,13.10344
2020-12-23,17.24137
2020-12-24,10.34482
2020-12-25,15.17241
2020-12-26,21.37931
2020-12-27,12.41379
2020-12-28,8.96551
2020-12-29,9.65517
2020-12-30,13.10344
2020-12-31,6.89655
2021-01-01,15.17241
2021-01-02,19.31034
2021-01-03,22.75862
2021-01-04,21.37931
2021-01-05,22.06896
2021-01-06,11.72413
2021-01-07,22.06896
2021-01-08,24.13793
2021-01-09,10.34482
2021-01-10,24.13793
2021-01-11,28.27586
2021-01-12,20.68965
2021-01-13,16.55172
2021-01-14,9.65517
2021-01-15,18.62068
2021-01-16,10.34482
2021-01-17,28.96551
2021-01-18,21.37931
2021-01-19,18.62068
2021-01-20,12.41379
2021-01-21,8.96551
2021-01-22,25.51724
2021-01-23,29.65517
2021-01-24,30.34482
2021-01-25,21.37931
2021-01-26,20.68965
2021-01-27,15.86206
2021-01-28,11.72413
2021-01-29,18.62068
2021-01-30,20.68965
2021-01-31,26.20689
2021-02-01,28.96551
2021-02-02,26.20689
2021-02-03,21.37931
2021-02-04,25.51724
2021-02-05,36.55172
2021-02-06,17.24137
2021-02-07,21.37931
2021-02-08,26.89655
2021-02-09,19.31034
2021-02-10,19.31034
2021-02-11,8.96551
