date,사전청약
2020-03-23,0.01284
2020-03-26,0.01541
2020-04-09,0.01284
2020-04-13,0.01284
2020-04-20,0.01541
2020-04-29,0.01284
2020-05-06,1.35155
2020-05-07,1.37468
2020-05-08,0.63723
2020-05-09,0.31091
2020-05-10,0.16958
2020-05-11,0.6064
2020-05-12,0.34688
2020-05-13,0.29549
2020-05-14,0.21326
2020-05-15,0.09507
2020-05-16,0.10278
2020-05-17,0.18243
2020-05-18,0.24153
2020-05-19,0.12847
2020-05-20,0.11562
2020-05-21,0.11048
2020-05-22,0.1593
2020-05-23,0.0668
2020-05-24,0.07965
2020-05-25,0.39313
2020-05-26,0.38799
2020-05-27,0.21069
2020-05-28,0.12333
2020-05-29,0.13361
2020-05-30,0.12076
2020-05-31,0.11562
2020-06-01,0.12076
2020-06-02,0.12847
2020-06-03,0.07451
2020-06-04,0.11305
2020-06-05,0.07708
2020-06-06,0.08736
2020-06-07,0.09507
2020-06-08,0.10791
2020-06-09,0.04882
2020-06-10,0.07194
2020-06-11,0.0925
2020-06-12,0.08479
2020-06-13,0.11305
2020-06-14,0.07708
2020-06-15,0.17986
2020-06-16,0.10791
2020-06-17,0.06937
2020-06-18,0.08479
2020-06-19,0.12333
2020-06-20,0.03854
2020-06-21,0.04882
2020-06-22,0.11819
2020-06-23,0.11562
2020-06-24,0.10534
2020-06-25,0.0925
2020-06-26,0.06423
2020-06-27,0.04368
2020-06-28,0.04882
2020-06-29,0.05395
2020-06-30,0.06423
2020-07-01,0.07194
2020-07-02,0.29806
2020-07-03,0.50105
2020-07-04,0.17215
2020-07-05,0.1516
2020-07-06,0.19785
2020-07-07,0.20042
2020-07-08,0.30063
2020-07-09,0.19528
2020-07-10,0.87106
2020-07-11,0.35973
2020-07-12,0.32375
2020-07-13,0.33403
2020-07-14,0.34431
2020-07-15,0.26465
2020-07-16,0.31604
2020-07-17,0.25695
2020-07-18,0.2184
2020-07-19,0.17729
2020-07-20,0.3957
2020-07-21,0.3366
2020-07-22,0.24667
2020-07-23,0.13104
2020-07-24,0.13618
2020-07-25,0.08736
2020-07-26,0.10791
2020-07-27,0.16444
2020-07-28,0.15673
2020-07-29,0.15673
2020-07-30,0.17986
2020-07-31,0.13104
2020-08-01,0.08479
2020-08-02,0.13361
2020-08-03,0.11305
2020-08-04,1.50572
2020-08-05,0.65265
2020-08-06,0.53188
2020-08-07,0.39056
2020-08-08,0.19785
2020-08-09,0.14646
2020-08-10,0.29292
2020-08-11,0.23382
2020-08-12,0.20299
2020-08-13,0.39313
2020-08-14,0.29549
2020-08-15,0.16187
2020-08-16,0.19271
2020-08-17,0.20042
2020-08-18,0.23896
2020-08-19,0.185
2020-08-20,0.28778
2020-08-21,0.20299
2020-08-22,0.12847
2020-08-23,0.12076
2020-08-24,0.13875
2020-08-25,0.3366
2020-08-26,0.33917
2020-08-27,0.27236
2020-08-28,0.19785
2020-08-29,0.185
2020-08-30,0.14389
2020-08-31,0.42139
2020-09-01,0.65779
2020-09-02,1.7858
2020-09-03,1.00981
2020-09-04,1.38753
2020-09-05,0.57813
2020-09-06,2.76992
2020-09-07,4.81011
2020-09-08,36.79788
2020-09-09,21.16758
2020-09-10,6.14882
2020-09-11,3.19389
2020-09-12,2.48471
2020-09-13,2.02733
2020-09-14,2.03247
2020-09-15,2.05303
2020-09-16,1.39781
2020-09-17,1.40294
2020-09-18,1.40808
2020-09-19,0.82738
2020-09-20,1.07662
2020-09-21,0.97127
2020-09-22,1.02523
2020-09-23,0.79911
2020-09-24,0.47792
2020-09-25,0.38542
2020-09-26,0.51133
2020-09-27,0.62695
2020-09-28,0.7246
2020-09-29,0.7323
2020-09-30,0.50619
2020-10-01,0.59098
2020-10-02,0.5216
2020-10-03,1.34128
2020-10-04,0.65265
2020-10-05,0.90446
2020-10-06,0.70404
2020-10-07,0.50619
2020-10-08,0.4548
2020-10-09,0.30577
2020-10-10,0.5473
2020-10-11,0.46251
2020-10-12,0.56529
2020-10-13,0.50876
2020-10-14,0.48049
2020-10-15,0.40341
2020-10-16,0.34174
2020-10-17,0.25695
2020-10-18,0.29292
2020-10-19,0.3366
2020-10-20,0.36486
2020-10-21,0.51133
2020-10-22,0.39313
2020-10-23,0.20556
2020-10-24,0.22868
2020-10-25,0.21583
2020-10-26,0.32632
2020-10-27,0.31604
2020-10-28,0.38799
2020-10-29,0.27493
2020-10-30,0.23639
2020-10-31,0.18243
2020-11-01,0.22097
2020-11-02,0.35459
2020-11-03,0.34688
2020-11-04,0.34431
2020-11-05,0.25438
2020-11-06,0.25695
2020-11-07,0.20556
2020-11-08,0.21583
2020-11-09,0.44195
2020-11-10,0.37771
2020-11-11,0.31091
2020-11-12,0.40084
2020-11-13,0.35716
2020-11-14,0.29292
2020-11-15,0.20556
2020-11-16,0.36486
2020-11-17,0.31604
2020-11-18,0.26208
2020-11-19,0.35973
2020-11-20,0.22611
2020-11-21,0.18243
2020-11-22,0.2441
2020-11-23,0.28778
2020-11-24,0.26208
2020-11-25,0.26208
2020-11-26,0.26208
2020-11-27,0.21069
