date,토스프로모션
2020-04-29,10.26722
2020-04-30,1.54711
2020-05-01,0.98452
2020-05-02,0.98452
2020-05-04,0.70323
2020-05-29,1.96905
2020-07-01,1.54711
2020-07-31,9.84528
2020-08-01,1.96905
2020-08-02,0.84388
2020-08-03,0.70323
2020-09-28,25.73839
2020-09-29,2.95358
2020-09-30,1.68776
2020-10-01,1.12517
2020-10-30,2.25035
2020-11-12,0.84388
2020-11-27,12.51758
2020-11-28,3.51617
2020-11-29,1.54711
2020-11-30,0.98452
2020-12-01,0.70323
2020-12-28,2.39099
2021-01-25,6.46976
2021-01-26,0.98452
2021-02-26,10.97046
2021-02-27,1.54711
2021-02-28,1.40646
2021-03-31,31.22362
2021-04-01,6.75105
2021-04-02,1.96905
2021-04-06,0.98452
2021-04-30,20.25316
2021-05-01,3.51617
2021-05-02,2.39099
2021-05-03,1.82841
2021-05-05,2.25035
2021-05-07,0.98452
2021-05-31,9.56399
2021-06-01,3.23488
2021-06-30,2.39099
2021-09-30,8.29817
2021-10-01,1.82841
2021-10-29,3.09423
2021-10-30,1.68776
2021-11-30,2.67229
2021-12-30,4.36005
2021-12-31,0.98452
2022-01-28,2.95358
2022-02-28,4.36005
2022-03-01,0.70323
2022-03-31,4.2194
2022-04-01,1.26582
2022-04-29,19.26863
2022-04-30,1.96905
2022-05-01,1.12517
2022-05-02,1.12517
2022-05-11,1.68776
2022-06-07,0.70323
2022-06-10,22.36286
2022-06-11,2.67229
2022-06-12,1.40646
2022-06-13,0.98452
2022-06-14,0.70323
2022-06-30,2.25035
2022-07-01,0.70323
2022-07-03,0.84388
2022-07-04,4.92264
2022-07-05,2.53164
2022-07-08,14.90857
2022-07-09,2.53164
2022-07-10,1.26582
2022-07-11,1.12517
2022-07-29,2.25035
2022-08-12,90.99859
2022-08-13,9.14205
2022-08-14,4.92264
2022-08-15,3.09423
2022-08-16,3.51617
2022-08-17,0.84388
2022-08-18,1.54711
2022-08-23,0.70323
2022-08-26,31.92686
2022-08-27,5.62587
2022-08-28,1.96905
2022-08-29,1.54711
2022-08-30,1.68776
2022-08-31,0.98452
2022-09-01,0.70323
2022-09-05,0.70323
2022-09-07,0.70323
2022-09-16,42.19409
2022-09-17,6.6104
2022-09-18,2.67229
2022-09-19,2.95358
2022-09-20,1.54711
2022-09-21,1.40646
2022-09-30,15.8931
2022-10-01,1.54711
2022-10-02,1.40646
2022-10-07,0.70323
2022-10-14,38.95921
2022-10-15,6.8917
2022-10-16,3.23488
2022-10-17,1.54711
2022-10-18,0.84388
2022-10-20,0.70323
2022-10-28,10.97046
2022-10-29,2.25035
2022-10-30,1.96905
2022-10-31,0.70323
2022-11-11,63.85372
2022-11-12,10.12658
2022-11-13,3.09423
2022-11-14,2.53164
2022-11-15,1.40646
2022-11-16,1.82841
2022-11-17,0.70323
2022-11-18,2.67229
2022-11-23,0.70323
2022-11-25,16.03375
2022-11-26,3.37552
2022-11-27,1.26582
2022-12-16,100.0
2022-12-17,15.8931
2022-12-18,5.34458
2022-12-19,2.39099
2022-12-20,2.81293
2022-12-21,1.54711
2022-12-22,0.98452
2022-12-23,0.84388
2022-12-25,0.70323
2022-12-30,27.5668
2022-12-31,4.78199
2023-01-01,1.26582
2023-01-02,1.96905
2023-01-03,4.07876
2023-01-04,1.82841
2023-01-08,0.70323
2023-01-11,57.10267
2023-01-12,7.31364
2023-01-13,3.51617
2023-01-14,1.68776
2023-01-15,1.12517
2023-01-16,1.40646
2023-01-19,0.70323
2023-01-29,0.70323
2023-01-30,14.90857
2023-01-31,4.36005
2023-02-01,1.54711
2023-02-02,1.12517
2023-02-03,0.84388
2023-02-07,85.79465
2023-02-08,12.93952
2023-02-09,4.2194
2023-02-10,3.51617
2023-02-11,1.26582
2023-02-12,1.40646
2023-02-13,0.70323
2023-02-15,0.70323
2023-02-17,0.84388
2023-02-23,26.86357
2023-02-24,4.5007
2023-02-25,0.70323
2023-02-27,1.12517
2023-02-28,1.82841
2023-03-01,1.26582
2023-03-29,63.85372
2023-03-30,11.95499
2023-03-31,4.36005
2023-04-01,1.12517
2023-04-02,0.84388
2023-04-04,0.84388
2023-04-05,0.70323
2023-05-07,0.70323
2023-05-22,59.21237
2023-05-23,7.17299
2023-05-24,3.09423
2023-05-25,2.53164
2023-05-26,0.70323
2023-05-31,0.70323
2023-06-19,0.84388
2023-06-28,27.28551
2023-06-29,3.93811
2023-06-30,1.40646
2023-07-01,0.84388
2023-07-27,18.70604
2023-07-28,2.53164
2023-07-30,0.70323
2023-08-01,0.70323
2023-08-17,21.80028
2023-08-18,4.36005
2023-08-19,1.82841
2023-08-26,0.70323
2023-09-27,41.35021
2023-09-28,5.20393
2023-09-29,2.1097
2023-09-30,1.12517
2023-10-01,0.84388
2023-10-31,43.03797
2023-11-01,9.2827
2023-11-02,2.81293
2023-11-03,0.84388
2023-11-28,44.30379
2023-11-29,8.29817
2023-11-30,3.23488
2023-12-01,1.26582
2023-12-02,0.98452
2023-12-04,1.82841
2023-12-18,10.54852
2023-12-19,3.23488
2023-12-20,0.84388
2024-01-25,33.19268
2024-01-26,4.07876
2024-01-27,1.82841
2024-01-28,1.40646
2024-01-31,0.70323
2024-02-05,0.70323
2024-02-22,16.87763
2024-02-23,2.67229
2024-02-24,0.70323
2024-02-25,0.70323
2024-02-28,45.28832
2024-02-29,9.14205
2024-03-01,3.37552
2024-03-03,0.84388
2024-03-04,1.68776
2024-03-05,1.12517
2024-03-06,0.70323
2024-03-07,0.70323
