date,대신증권배당금
2020-03-20,4.60584
2020-03-21,2.65721
2020-03-22,2.0372
2020-03-23,4.34012
2020-03-24,2.92294
2020-03-25,4.69441
2020-03-26,8.23737
2020-03-27,7.7945
2020-03-28,3.01151
2020-03-29,5.04871
2020-03-30,9.74313
2020-03-31,6.28875
2020-04-01,4.60584
2020-04-02,5.7573
2020-04-03,8.32595
2020-04-04,7.17449
2020-04-05,4.87156
2020-04-06,9.38883
2020-04-07,6.73162
2020-04-08,9.21169
2020-04-09,9.8317
2020-04-10,8.68024
2020-04-11,5.13728
2020-04-12,5.04871
2020-04-13,6.28875
2020-04-14,5.04871
2020-04-15,3.01151
2020-04-16,2.74579
2020-04-17,6.55447
2020-04-18,5.04871
2020-04-19,4.16297
2020-04-20,6.02302
2020-04-21,5.84588
2020-04-22,6.64304
2020-04-23,7.26306
2020-04-24,6.73162
2020-04-25,2.48007
2020-04-26,5.7573
2020-04-27,7.35163
2020-04-28,5.7573
2020-04-29,7.44021
2020-04-30,4.69441
2020-05-01,3.27723
2020-05-02,3.45438
2020-05-03,2.56864
2020-05-04,5.22586
2020-05-05,3.80868
2020-05-06,5.04871
2020-05-07,5.31443
2020-05-08,5.66873
2020-05-09,2.48007
2020-05-10,2.0372
2020-05-11,2.92294
2020-05-12,3.80868
2020-05-13,2.48007
2020-05-14,3.98582
2020-05-15,4.96014
2020-05-16,3.98582
2020-05-17,3.80868
2020-05-18,6.02302
2020-05-19,5.22586
2020-05-20,5.84588
2020-05-21,5.04871
2020-05-22,3.89725
2020-05-23,1.59433
2020-05-24,2.56864
2020-05-25,5.40301
2020-05-26,4.51727
2020-05-27,4.51727
2020-05-28,7.52878
2020-05-29,5.58015
2020-05-30,3.10008
2020-05-31,3.54295
2020-06-01,6.1116
2020-06-02,7.70593
2020-06-03,10.186
2020-06-04,7.35163
2020-06-05,5.49158
2020-06-06,3.01151
2020-06-07,8.41452
2020-06-08,7.44021
2020-06-09,7.52878
2020-06-10,7.61736
2020-06-11,8.06023
2020-06-12,4.78299
2020-06-13,4.51727
2020-06-14,4.16297
2020-06-15,4.16297
2020-06-16,3.7201
2020-06-17,3.27723
2020-06-18,4.34012
2020-06-19,4.51727
2020-06-20,3.45438
2020-06-21,1.50575
2020-06-22,4.96014
2020-06-23,3.18866
2020-06-24,4.69441
2020-06-25,6.55447
2020-06-26,4.60584
2020-06-27,3.27723
2020-06-28,3.01151
2020-06-29,3.18866
2020-06-30,3.89725
2020-07-01,1.94862
2020-07-02,2.0372
2020-07-03,2.92294
2020-07-04,2.12577
2020-07-05,2.12577
2020-07-06,3.36581
2020-07-07,4.0744
2020-07-08,4.87156
2020-07-09,4.78299
2020-07-10,3.36581
2020-07-11,1.77147
2020-07-12,1.86005
2020-07-13,3.63153
2020-07-14,3.01151
2020-07-15,3.7201
2020-07-16,5.58015
2020-07-17,2.56864
2020-07-18,1.94862
2020-07-19,1.15146
2020-07-20,3.01151
2020-07-21,3.27723
2020-07-22,3.89725
2020-07-23,5.40301
2020-07-24,5.31443
2020-07-25,1.41718
2020-07-26,2.12577
2020-07-27,4.16297
2020-07-28,3.27723
2020-07-29,2.74579
2020-07-30,4.69441
2020-07-31,3.89725
2020-08-01,4.25155
2020-08-02,3.36581
2020-08-03,3.54295
2020-08-04,9.30026
2020-08-05,17.44906
2020-08-06,18.15766
2020-08-07,16.03188
2020-08-08,9.8317
2020-08-09,10.89459
