date,메타버스관련주
2020-05-01,0.07999
2020-10-09,0.06352
2020-10-14,0.14587
2020-10-15,0.18823
2020-10-16,0.0847
2020-10-17,0.4541
2020-10-18,0.19528
2020-10-19,0.32705
2020-10-20,0.11529
2020-10-21,0.05882
2020-10-22,0.07058
2020-10-23,0.03529
2020-10-24,0.01882
2020-10-25,0.01647
2020-10-26,0.02588
2020-10-27,0.02588
2020-10-28,0.01176
2020-11-01,0.01647
2020-11-03,0.01411
2020-11-04,0.01411
2020-11-09,0.11529
2020-11-10,0.02823
2020-11-11,0.02588
2020-11-12,0.03764
2020-11-13,0.02117
2020-11-16,0.01411
2020-11-17,0.01647
2020-11-22,3.10345
2020-11-23,2.41406
2020-11-24,1.55996
2020-11-25,0.76468
2020-11-26,0.53645
2020-11-27,0.79292
2020-11-28,0.34352
2020-11-29,0.31293
2020-11-30,0.29646
2020-12-01,2.92698
2020-12-02,2.40935
2020-12-03,0.42822
2020-12-04,0.31763
2020-12-05,0.26352
2020-12-06,0.22822
2020-12-07,0.28234
2020-12-08,0.26352
2020-12-09,0.31763
2020-12-10,0.19764
2020-12-11,0.15999
2020-12-12,0.42587
2020-12-13,0.14823
2020-12-14,0.15058
2020-12-15,0.10352
2020-12-16,0.1247
2020-12-17,0.06823
2020-12-18,0.10117
2020-12-19,0.02352
2020-12-20,0.06117
2020-12-21,0.05176
2020-12-22,0.33881
2020-12-23,0.36469
2020-12-24,0.35293
2020-12-25,0.33881
2020-12-26,0.23293
2020-12-27,0.50587
2020-12-28,0.40704
2020-12-29,0.51763
2020-12-30,0.6141
2020-12-31,0.59057
2021-01-01,0.76233
2021-01-02,0.6988
2021-01-03,0.57175
2021-01-04,0.70351
2021-01-05,0.92703
2021-01-06,1.31996
2021-01-07,0.85409
2021-01-08,1.15761
2021-01-09,0.81409
2021-01-10,0.89409
2021-01-11,1.04703
2021-01-12,0.86821
2021-01-13,1.15997
2021-01-14,0.90115
2021-01-15,0.95291
2021-01-16,0.78351
2021-01-17,0.7388
2021-01-18,0.60233
2021-01-19,2.85405
2021-01-20,2.17406
2021-01-21,1.30349
2021-01-22,1.5976
2021-01-23,1.59996
2021-01-24,1.1035
2021-01-25,1.44467
2021-01-26,1.47761
2021-01-27,5.14811
2021-01-28,4.59989
2021-01-29,2.60935
2021-01-30,2.13877
2021-01-31,2.12936
2021-02-01,1.5929
2021-02-02,2.54346
2021-02-03,2.14347
2021-02-04,1.76466
2021-02-05,3.82579
2021-02-06,3.94108
2021-02-07,3.10816
2021-02-08,2.70581
2021-02-09,2.70581
2021-02-10,2.51994
2021-02-11,2.50111
2021-02-12,2.34347
2021-02-13,2.4117
2021-02-14,3.40462
2021-02-15,10.31269
2021-02-16,16.44431
2021-02-17,6.24455
2021-02-18,12.05148
2021-02-19,7.04689
2021-02-20,4.40224
2021-02-21,9.3386
2021-02-22,26.1735
2021-02-23,15.64669
2021-02-24,7.461
2021-02-25,9.78094
2021-02-26,6.17632
2021-02-27,13.12674
2021-02-28,11.75972
2021-03-01,17.77134
2021-03-02,21.04891
2021-03-03,100.0
2021-03-04,75.99115
2021-03-05,36.23679
2021-03-06,22.4677
2021-03-07,21.71713
2021-03-08,32.25335
2021-03-09,20.22775
2021-03-10,19.71718
2021-03-11,23.53826
2021-03-12,23.81591
2021-03-13,12.63734
2021-03-14,12.83734
2021-03-15,18.37368
2021-03-16,14.23495
2021-03-17,19.57365
2021-03-18,13.62085
2021-03-19,12.9291
2021-03-20,16.9996
2021-03-21,13.69379
2021-03-22,28.4558
2021-03-23,17.39959
2021-03-24,17.39488
2021-03-25,13.73379
2021-03-26,13.06322
2021-03-27,11.80207
2021-03-28,13.50085
2021-03-29,15.36905
2021-03-30,13.60673
2021-03-31,13.9079
2021-04-01,9.57859
2021-04-02,12.56676
2021-04-03,18.49838
2021-04-04,19.55248
2021-04-05,21.99712
2021-04-06,19.84659
2021-04-07,19.76424
2021-04-08,16.8443
2021-04-09,18.32427
2021-04-10,13.63262
2021-04-11,15.45375
2021-04-12,21.30773
2021-04-13,11.76207
2021-04-14,23.59003
2021-04-15,14.21378
2021-04-16,8.96214
2021-04-17,7.32688
2021-04-18,6.06103
2021-04-19,8.1998
2021-04-20,7.79746
2021-04-21,14.11731
2021-04-22,14.24437
2021-04-23,11.47267
2021-04-24,8.27509
2021-04-25,10.14564
2021-04-26,10.42798
2021-04-27,8.00216
2021-04-28,6.06103
2021-04-29,5.04694
2021-04-30,5.58104
2021-05-01,3.36227
2021-05-02,3.41639
2021-05-03,4.76459
2021-05-04,5.01164
2021-05-05,5.71515
2021-05-06,5.77868
2021-05-07,3.96931
2021-05-08,4.92694
2021-05-09,5.98103
2021-05-10,7.26335
2021-05-11,5.77398
2021-05-12,9.33625
2021-05-13,5.50104
2021-05-14,4.62342
2021-05-15,3.60226
2021-05-16,11.75737
2021-05-17,6.96689
2021-05-18,33.28156
2021-05-19,13.80202
2021-05-20,17.95016
2021-05-21,12.79264
2021-05-22,12.91969
2021-05-23,8.2798
2021-05-24,23.65826
2021-05-25,31.48396
2021-05-26,55.02929
2021-05-27,28.14757
2021-05-28,23.45827
2021-05-29,16.91724
2021-05-30,18.74073
2021-05-31,24.54765
2021-06-01,18.30545
2021-06-02,14.51495
2021-06-03,19.29366
2021-06-04,15.95491
2021-06-05,12.48441
2021-06-06,18.44897
2021-06-07,13.75261
2021-06-08,10.50563
2021-06-09,13.24674
2021-06-10,21.55713
2021-06-11,17.58311
2021-06-12,8.49156
2021-06-13,12.87734
2021-06-14,17.30547
2021-06-15,23.93355
2021-06-16,15.65845
2021-06-17,11.28679
2021-06-18,14.58553
2021-06-19,13.84438
2021-06-20,17.49841
2021-06-21,13.02557
2021-06-22,42.66958
2021-06-23,53.80814
2021-06-24,32.22277
2021-06-25,23.57121
2021-06-26,16.26785
2021-06-27,22.0983
2021-06-28,41.72607
2021-06-29,31.09809
2021-06-30,24.56648
2021-07-01,25.19705
2021-07-02,19.23013
2021-07-03,36.61325
2021-07-04,23.28651
2021-07-05,37.11912
2021-07-06,33.91214
2021-07-07,31.38043
2021-07-08,23.47709
2021-07-09,19.49365
2021-07-10,18.23486
2021-07-11,16.64902
2021-07-12,34.86976
2021-07-13,44.15425
2021-07-14,51.29526
2021-07-15,39.4273
2021-07-16,26.54525
2021-07-17,17.79487
2021-07-18,28.4605
2021-07-19,41.55666
2021-07-20,81.03338
2021-07-21,57.34923
2021-07-22,44.54718
2021-07-23,32.49335
2021-07-24,23.54532
2021-07-25,24.55706
2021-07-26,47.01771
2021-07-27,47.27888
2021-07-28,33.56391
2021-07-29,31.3922
2021-07-30,22.37359
2021-07-31,13.43027
2021-08-01,11.19973
2021-08-02,15.99021
2021-08-03,20.57833
2021-08-04,46.31185
2021-08-05,65.37963
2021-08-06,30.26517
2021-08-07,38.13086
2021-08-08,26.9876
2021-08-09,39.29084
2021-08-10,27.66287
2021-08-11,22.48652
2021-08-12,21.05832
2021-08-13,15.96668
2021-08-14,11.02327
2021-08-15,10.12211
2021-08-16,26.29585
2021-08-17,24.51236
2021-08-18,20.51716
2021-08-19,17.36429
2021-08-20,17.85605
2021-08-21,11.71501
2021-08-22,13.98084
2021-08-23,19.32189
2021-08-24,16.46314
2021-08-25,14.59259
2021-08-26,18.25368
2021-08-27,14.83494
2021-08-28,10.03035
2021-08-29,8.7692
2021-08-30,13.47497
2021-08-31,14.29142
2021-09-01,17.07959
2021-09-02,17.369
2021-09-03,14.29378
2021-09-04,12.83969
2021-09-05,8.59979
2021-09-06,12.41617
2021-09-07,10.81151
2021-09-08,10.00211
2021-09-09,11.33149
2021-09-10,8.91979
2021-09-11,5.71986
2021-09-12,4.91517
2021-09-13,6.67278
2021-09-14,7.94098
2021-09-15,23.83002
2021-09-16,15.3314
2021-09-17,9.29154
2021-09-18,6.14573
2021-09-19,6.06338
2021-09-20,6.1575
2021-09-21,5.8728
2021-09-22,7.38806
2021-09-23,10.13387
2021-09-24,8.32921
2021-09-25,6.98807
2021-09-26,7.48923
2021-09-27,8.28921
2021-09-28,8.55979
2021-09-29,8.00451
2021-09-30,9.7033
2021-10-01,15.32434
2021-10-02,7.87746
2021-10-03,6.98101
2021-10-04,9.44918
2021-10-05,10.70327
2021-10-06,8.95743
2021-10-07,12.91028
2021-10-08,9.08449
2021-10-09,6.56455
2021-10-10,6.63513
2021-10-11,6.59278
2021-10-12,28.66991
2021-10-13,20.88656
2021-10-14,20.95009
2021-10-15,22.73828
2021-10-16,14.11966
2021-10-17,16.56196
2021-10-18,21.92183
2021-10-19,19.50307
2021-10-20,17.94075
2021-10-21,19.83482
2021-10-22,25.33352
2021-10-23,12.47029
2021-10-24,11.96913
2021-10-25,18.78779
2021-10-26,21.7336
2021-10-27,30.34752
2021-10-28,22.55476
2021-10-29,32.4557
2021-10-30,18.28192
2021-10-31,21.19714
2021-11-01,34.25566
2021-11-02,30.03223
2021-11-03,30.15223
2021-11-04,30.09576
2021-11-05,30.32869
2021-11-06,16.08432
2021-11-07,16.52196
2021-11-08,35.48857
2021-11-09,48.94473
2021-11-10,46.28832
2021-11-11,38.75202
2021-11-12,32.04159
2021-11-13,22.76417
2021-11-14,24.87706
2021-11-15,41.30255
2021-11-16,53.22933
2021-11-17,75.79586
2021-11-18,59.87153
2021-11-19,43.46956
2021-11-20,24.68883
2021-11-21,23.3218
2021-11-22,38.99202
2021-11-23,27.55229
2021-11-24,24.88412
2021-11-25,31.04397
2021-11-26,28.51697
2021-11-27,17.59723
2021-11-28,13.54791
2021-11-29,20.93833
2021-11-30,23.77591
2021-12-01,19.38777
2021-12-02,18.63014
2021-12-03,15.48198
2021-12-04,16.27961
2021-12-05,13.74791
2021-12-06,14.39495
2021-12-07,16.98548
2021-12-08,15.94786
2021-12-09,19.86776
2021-12-10,15.99256
2021-12-11,12.09853
2021-12-12,15.70551
2021-12-13,21.06538
2021-12-14,17.19018
2021-12-15,14.66318
2021-12-16,16.34079
2021-12-17,14.27966
2021-12-18,10.55975
2021-12-19,13.25615
2021-12-20,13.39497
2021-12-21,12.50088
2021-12-22,12.95969
2021-12-23,13.92437
2021-12-24,10.66092
2021-12-25,7.91275
2021-12-26,9.10802
2021-12-27,12.13853
2021-12-28,13.3785
2021-12-29,18.72426
2021-12-30,19.06778
2021-12-31,13.52909
2022-01-01,15.97138
2022-01-02,17.47488
2022-01-03,23.55709
2022-01-04,19.58777
2022-01-05,15.63022
2022-01-06,12.78087
2022-01-07,14.49142
2022-01-08,12.92675
2022-01-09,13.53144
2022-01-10,12.14559
2022-01-11,11.58796
2022-01-12,9.92917
2022-01-13,9.16213
2022-01-14,7.93157
2022-01-15,4.95517
2022-01-16,10.71974
2022-01-17,7.9104
2022-01-18,8.51038
2022-01-19,12.96204
2022-01-20,20.12187
2022-01-21,14.96435
2022-01-22,9.04919
2022-01-23,8.06804
2022-01-24,8.94567
2022-01-25,7.6704
2022-01-26,7.24688
2022-01-27,7.33394
2022-01-28,6.94101
2022-01-29,6.60925
2022-01-30,13.16204
2022-01-31,16.19961
2022-02-01,30.55928
2022-02-02,26.26997
2022-02-03,17.78546
2022-02-04,15.25375
2022-02-05,7.381
2022-02-06,6.59749
2022-02-07,10.31034
2022-02-08,9.11978
2022-02-09,8.83038
2022-02-10,9.83741
2022-02-11,6.59278
2022-02-12,5.87515
2022-02-13,4.36695
2022-02-14,5.7928
2022-02-15,5.86339
2022-02-16,7.16924
2022-02-17,5.31987
2022-02-18,5.15752
2022-02-19,4.1199
2022-02-20,7.76922
2022-02-21,7.30335
2022-02-22,5.29869
2022-02-23,6.1622
2022-02-24,5.37869
2022-02-25,4.59753
2022-02-26,7.36217
2022-02-27,13.31027
2022-02-28,6.39514
2022-03-01,5.65398
2022-03-02,5.32693
2022-03-03,4.69165
2022-03-04,4.3293
2022-03-05,3.17874
2022-03-06,7.07748
2022-03-07,4.39048
2022-03-08,3.46344
2022-03-09,3.04228
2022-03-10,3.98343
2022-03-11,4.13637
2022-03-12,3.53168
2022-03-13,3.90579
2022-03-14,4.36225
2022-03-15,4.37401
2022-03-16,6.6469
2022-03-17,18.32192
2022-03-18,11.00679
2022-03-19,6.19044
2022-03-20,4.63989
2022-03-21,5.77868
2022-03-22,5.60222
2022-03-23,6.39514
2022-03-24,5.93868
2022-03-25,6.84689
2022-03-26,6.15514
2022-03-27,6.18573
2022-03-28,6.39043
2022-03-29,5.36693
2022-03-30,5.41163
2022-03-31,5.08458
2022-04-01,4.47989
2022-04-02,4.68224
2022-04-03,3.38815
2022-04-04,5.17399
2022-04-05,5.92927
2022-04-06,4.90106
2022-04-07,4.25166
2022-04-08,3.92931
2022-04-09,2.64934
2022-04-10,3.15992
2022-04-11,3.11992
2022-04-12,2.83287
2022-04-13,3.28462
2022-04-14,2.79287
2022-04-15,3.14816
2022-04-16,3.72461
2022-04-17,12.13853
2022-04-18,5.52457
2022-04-19,3.33639
2022-04-20,3.15757
2022-04-21,3.2658
2022-04-22,2.83052
2022-04-23,2.01642
2022-04-24,2.25171
2022-04-25,2.67758
2022-04-26,2.75993
2022-04-27,2.82581
2022-04-28,4.81165
2022-04-29,6.06103
2022-04-30,2.03759
2022-05-01,2.44464
2022-05-02,2.80699
2022-05-03,3.11992
2022-05-04,2.70111
2022-05-05,3.48932
2022-05-06,3.07992
2022-05-07,1.63054
2022-05-08,1.61407
2022-05-09,2.71993
2022-05-10,2.11053
2022-05-11,2.24935
2022-05-12,2.15759
2022-05-13,2.27053
2022-05-14,1.98112
2022-05-15,1.74113
2022-05-16,1.81878
2022-05-17,1.86348
2022-05-18,2.89404
2022-05-19,1.80936
2022-05-20,5.08929
2022-05-21,2.49405
2022-05-22,2.22112
2022-05-23,2.65405
2022-05-24,3.3858
2022-05-25,2.80699
2022-05-26,2.8164
2022-05-27,2.487
2022-05-28,1.60702
2022-05-29,1.69878
2022-05-30,2.33406
2022-05-31,2.35288
2022-06-01,1.94818
2022-06-02,1.78348
2022-06-03,2.31288
2022-06-04,1.3482
2022-06-05,1.24702
2022-06-06,1.55996
2022-06-07,1.74113
2022-06-08,1.76701
2022-06-09,1.62349
2022-06-10,1.70819
2022-06-11,1.09879
2022-06-12,1.32232
2022-06-13,2.01877
2022-06-14,1.69878
2022-06-15,1.63054
2022-06-16,1.35526
2022-06-17,1.21879
2022-06-18,0.95997
2022-06-19,1.06115
2022-06-20,1.27996
2022-06-21,1.42349
2022-06-22,1.72937
2022-06-23,1.28938
2022-06-24,1.58584
2022-06-25,0.95527
2022-06-26,1.16703
2022-06-27,1.6376
2022-06-28,1.40467
2022-06-29,1.26349
2022-06-30,1.15997
2022-07-01,0.95527
2022-07-02,0.74115
2022-07-03,0.82586
2022-07-04,0.79762
2022-07-05,1.07526
2022-07-06,1.5929
2022-07-07,1.31055
2022-07-08,1.12703
2022-07-09,1.71995
2022-07-10,1.51525
2022-07-11,2.46111
2022-07-12,1.50584
2022-07-13,1.8376
2022-07-14,1.5529
2022-07-15,1.73878
2022-07-16,1.39526
2022-07-17,1.26349
2022-07-18,1.73407
2022-07-19,2.03289
2022-07-20,2.23524
2022-07-21,2.95757
2022-07-22,1.93877
2022-07-23,1.1482
2022-07-24,1.25173
2022-07-25,1.40937
2022-07-26,1.30349
2022-07-27,1.10115
2022-07-28,1.26585
2022-07-29,1.15291
2022-07-30,0.86115
2022-07-31,0.95291
2022-08-01,1.07526
2022-08-02,1.22585
2022-08-03,1.75995
2022-08-04,2.17641
2022-08-05,1.47996
2022-08-06,1.48937
2022-08-07,1.15291
2022-08-08,2.44935
2022-08-09,1.39526
2022-08-10,1.33408
2022-08-11,1.52937
2022-08-12,1.27761
2022-08-13,1.15997
2022-08-14,0.83998
2022-08-15,1.05173
2022-08-16,1.2282
2022-08-17,1.2235
2022-08-18,1.33643
2022-08-19,1.57172
2022-08-20,1.43996
2022-08-21,1.97407
2022-08-22,1.43996
2022-08-23,1.47996
2022-08-24,1.27055
2022-08-25,1.90113
2022-08-26,1.76701
2022-08-27,1.12232
2022-08-28,1.00938
2022-08-29,1.22585
2022-08-30,1.44702
2022-08-31,1.36467
2022-09-01,1.66584
2022-09-02,1.52231
2022-09-03,1.21879
2022-09-04,1.13644
2022-09-05,1.14585
2022-09-06,2.35288
2022-09-07,1.80231
2022-09-08,1.40231
2022-09-09,0.92938
2022-09-10,1.01409
2022-09-11,2.43523
2022-09-12,4.47754
2022-09-13,4.25166
2022-09-14,3.18345
2022-09-15,2.74111
2022-09-16,1.98112
2022-09-17,2.55523
2022-09-18,2.24465
2022-09-19,2.05642
2022-09-20,1.74348
2022-09-21,1.50819
2022-09-22,1.61172
2022-09-23,1.40937
2022-09-24,1.12938
2022-09-25,1.56937
2022-09-26,1.3529
2022-09-27,1.04468
2022-09-28,1.24702
2022-09-29,1.31761
2022-09-30,0.9035
2022-10-01,0.62116
2022-10-02,0.74351
2022-10-03,1.03291
2022-10-04,1.18585
2022-10-05,1.23997
2022-10-06,1.3529
2022-10-07,0.99056
2022-10-08,0.65174
2022-10-09,0.76233
2022-10-10,0.80939
2022-10-11,1.03526
2022-10-12,0.90586
2022-10-13,1.0635
2022-10-14,0.72468
2022-10-15,0.74821
2022-10-16,0.6988
2022-10-17,1.09879
2022-10-18,2.98581
2022-10-19,0.99056
2022-10-20,0.67763
2022-10-21,0.60704
2022-10-22,0.66116
2022-10-23,0.59528
2022-10-24,0.81409
2022-10-25,0.89409
2022-10-26,0.95527
2022-10-27,1.3929
2022-10-28,1.67525
2022-10-29,1.01644
2022-10-30,0.79762
2022-10-31,1.07997
2022-11-01,1.08232
2022-11-02,1.14585
2022-11-03,1.3529
2022-11-04,1.91524
2022-11-05,1.12467
2022-11-06,1.02585
2022-11-07,1.01879
2022-11-08,1.58113
2022-11-09,1.22114
2022-11-10,1.19761
2022-11-11,1.4282
2022-11-12,0.99291
2022-11-13,1.17173
2022-11-14,1.40231
2022-11-15,1.68701
2022-11-16,1.34585
2022-11-17,0.96233
2022-11-18,0.9035
2022-11-19,0.77409
2022-11-20,0.99527
2022-11-21,0.91056
2022-11-22,0.99056
2022-11-23,1.27291
2022-11-24,2.91522
2022-11-25,1.82819
2022-11-26,1.12703
2022-11-27,1.51996
2022-11-28,1.57172
2022-11-29,1.19291
2022-11-30,1.18585
2022-12-01,2.03759
2022-12-02,2.96698
2022-12-03,1.21408
2022-12-04,1.32702
2022-12-05,2.26818
2022-12-06,1.4729
2022-12-07,0.9788
2022-12-08,1.08468
2022-12-09,1.05879
2022-12-10,0.80939
2022-12-11,0.95056
2022-12-12,1.11291
2022-12-13,0.99997
2022-12-14,1.33173
2022-12-15,1.11762
2022-12-16,1.29879
2022-12-17,1.04468
2022-12-18,0.96468
2022-12-19,1.07526
2022-12-20,0.88233
2022-12-21,0.84468
2022-12-22,0.84703
2022-12-23,0.70586
2022-12-24,0.54351
2022-12-25,0.67527
2022-12-26,1.14585
2022-12-27,1.17409
2022-12-28,1.54819
2022-12-29,1.15291
2022-12-30,0.73174
2022-12-31,0.55292
2023-01-01,0.80468
2023-01-02,1.60466
2023-01-03,1.15761
2023-01-04,3.06581
2023-01-05,2.34582
2023-01-06,1.72937
2023-01-07,1.89172
2023-01-08,1.19291
2023-01-09,2.45405
2023-01-10,2.09877
2023-01-11,2.20465
2023-01-12,1.24232
2023-01-13,1.2682
2023-01-14,1.02821
2023-01-15,1.52937
2023-01-16,4.12225
2023-01-17,3.9599
2023-01-18,3.9599
2023-01-19,1.6329
2023-01-20,1.71995
2023-01-21,1.85877
2023-01-22,2.17171
2023-01-23,2.06348
2023-01-24,2.0023
2023-01-25,2.59993
2023-01-26,2.23759
2023-01-27,1.8423
2023-01-28,1.43526
2023-01-29,1.25408
2023-01-30,1.54114
2023-01-31,1.85642
2023-02-01,3.23992
2023-02-02,7.98804
2023-02-03,13.42086
2023-02-04,2.83052
2023-02-05,3.21168
2023-02-06,2.93169
2023-02-07,2.28229
2023-02-08,3.38815
2023-02-09,2.78816
2023-02-10,2.91757
2023-02-11,1.94113
2023-02-12,1.83289
2023-02-13,2.15994
2023-02-14,1.84701
2023-02-15,1.6329
2023-02-16,2.71287
2023-02-17,1.45878
2023-02-18,1.89407
2023-02-19,1.07291
2023-02-20,1.44937
2023-02-21,1.98818
2023-02-22,2.07053
2023-02-23,1.97171
2023-02-24,2.22818
2023-02-25,1.79289
2023-02-26,1.45408
2023-02-27,1.79995
2023-02-28,1.90113
2023-03-01,1.56466
2023-03-02,1.33879
2023-03-03,1.40231
2023-03-04,1.15997
2023-03-05,1.17173
2023-03-06,1.51761
2023-03-07,1.49878
2023-03-08,1.24467
2023-03-09,1.1082
2023-03-10,0.72939
2023-03-11,0.62586
2023-03-12,0.87527
2023-03-13,0.67292
2023-03-14,1.01409
2023-03-15,1.27761
2023-03-16,1.00703
2023-03-17,1.2235
2023-03-18,0.77409
2023-03-19,0.6941
2023-03-20,1.31761
2023-03-21,1.27526
2023-03-22,1.32467
2023-03-23,1.53878
2023-03-24,1.1082
2023-03-25,1.25173
2023-03-26,0.88939
2023-03-27,1.03291
2023-03-28,2.48464
2023-03-29,1.81878
2023-03-30,1.52231
2023-03-31,1.29173
2023-04-01,0.8188
2023-04-02,0.59528
2023-04-03,0.9435
2023-04-04,1.03526
2023-04-05,0.91056
2023-04-06,0.78586
2023-04-07,0.78115
2023-04-08,0.63292
2023-04-09,0.72468
2023-04-10,0.99056
2023-04-11,0.83762
2023-04-12,0.79527
2023-04-13,1.07056
2023-04-14,0.97174
2023-04-15,0.63292
2023-04-16,0.81174
2023-04-17,0.7341
2023-04-18,0.99291
2023-04-19,0.84703
2023-04-20,0.67292
2023-04-21,0.56469
2023-04-22,0.42351
2023-04-23,0.77645
2023-04-24,0.64469
2023-04-25,0.55763
2023-04-26,0.51998
2023-04-27,1.55761
2023-04-28,3.3858
2023-04-29,0.50822
2023-04-30,0.37175
2023-05-01,0.38587
2023-05-02,0.58822
2023-05-03,0.53175
2023-05-04,0.41646
2023-05-05,0.31058
2023-05-06,0.30352
2023-05-07,0.35763
2023-05-08,0.55528
2023-05-09,0.47057
2023-05-10,0.40469
2023-05-11,0.53175
2023-05-12,0.39528
2023-05-13,0.24234
2023-05-14,0.25646
2023-05-15,0.36705
2023-05-16,0.43528
2023-05-17,0.42587
2023-05-18,0.54116
2023-05-19,0.66116
2023-05-20,0.29411
2023-05-21,0.3694
2023-05-22,0.4541
2023-05-23,0.48469
2023-05-24,0.39999
2023-05-25,0.38116
2023-05-26,0.43528
2023-05-27,0.28469
2023-05-28,0.3741
2023-05-29,0.55998
2023-05-30,0.8588
2023-05-31,0.67998
2023-06-01,0.67292
2023-06-02,0.7788
2023-06-03,0.59998
2023-06-04,0.56233
2023-06-05,1.84466
2023-06-06,2.84463
2023-06-07,3.72697
2023-06-08,1.31055
2023-06-09,1.14585
2023-06-10,0.77174
2023-06-11,0.92233
2023-06-12,0.97174
2023-06-13,0.95762
2023-06-14,0.84939
2023-06-15,0.80468
2023-06-16,0.93644
2023-06-17,0.47998
2023-06-18,0.50822
2023-06-19,0.6188
2023-06-20,1.17409
2023-06-21,0.67763
2023-06-22,0.58116
2023-06-23,0.46587
2023-06-24,0.44234
2023-06-25,0.47057
2023-06-26,0.60939
2023-06-27,0.58822
2023-06-28,0.79292
2023-06-29,0.71292
2023-06-30,0.46587
2023-07-01,0.35528
2023-07-02,0.34352
2023-07-03,0.49645
2023-07-04,0.51292
2023-07-05,0.4941
2023-07-06,0.68704
2023-07-07,0.63057
2023-07-08,0.53175
2023-07-09,0.48469
2023-07-10,0.68233
2023-07-11,0.69174
2023-07-12,0.65174
2023-07-13,1.19997
2023-07-14,0.75292
2023-07-15,0.46116
2023-07-16,0.32469
2023-07-17,0.6588
2023-07-18,0.64469
2023-07-19,0.68233
2023-07-20,0.56233
2023-07-21,0.40704
2023-07-22,0.31293
2023-07-23,0.34822
2023-07-24,0.56704
2023-07-25,0.58351
2023-07-26,0.69645
2023-07-27,0.99527
2023-07-28,0.6941
2023-07-29,0.5741
2023-07-30,0.50351
2023-07-31,0.69645
2023-08-01,0.96703
2023-08-02,0.67763
2023-08-03,0.58351
2023-08-04,0.51998
2023-08-05,0.41881
2023-08-06,0.4541
2023-08-07,0.67292
2023-08-08,0.40469
2023-08-09,0.38116
2023-08-10,0.44234
2023-08-11,0.48469
2023-08-12,0.39293
2023-08-13,0.58586
2023-08-14,0.45881
2023-08-15,0.41646
2023-08-16,0.42822
2023-08-17,0.68468
2023-08-18,0.65645
2023-08-19,0.46351
2023-08-20,0.44469
2023-08-21,0.52939
2023-08-22,0.5741
2023-08-23,0.47998
2023-08-24,0.47057
2023-08-25,0.40704
2023-08-26,0.29411
2023-08-27,0.21411
2023-08-28,0.39057
2023-08-29,0.54822
2023-08-30,0.48234
2023-08-31,0.70351
2023-09-01,0.62586
2023-09-02,0.3341
2023-09-03,0.49175
2023-09-04,0.62116
2023-09-05,0.52704
2023-09-06,0.53645
2023-09-07,0.51528
2023-09-08,0.50116
2023-09-09,0.39293
2023-09-10,0.33881
2023-09-11,0.50822
2023-09-12,0.51057
2023-09-13,0.75527
2023-09-14,1.39996
2023-09-15,0.83292
2023-09-16,0.4141
2023-09-17,0.35293
2023-09-18,0.35999
2023-09-19,0.42822
2023-09-20,0.34352
2023-09-21,0.34116
2023-09-22,0.35763
2023-09-23,0.27058
2023-09-24,0.26822
2023-09-25,0.32705
2023-09-26,0.32705
2023-09-27,0.19764
2023-09-28,0.2047
2023-09-29,0.25881
2023-09-30,0.18823
2023-10-01,0.13646
2023-10-02,0.19293
2023-10-03,0.20234
2023-10-04,0.33175
2023-10-05,0.31528
2023-10-06,0.23058
2023-10-07,0.22352
2023-10-08,0.17881
2023-10-09,0.20705
2023-10-10,0.23058
2023-10-11,0.27764
2023-10-12,0.35999
2023-10-13,0.27058
2023-10-14,0.19528
2023-10-15,0.2047
2023-10-16,0.29646
2023-10-17,0.38822
2023-10-18,0.43998
2023-10-19,0.35528
2023-10-20,0.31763
2023-10-21,0.24705
2023-10-22,0.17411
2023-10-23,0.25411
2023-10-24,0.32705
2023-10-25,0.3341
2023-10-26,0.39057
2023-10-27,0.26117
2023-10-28,0.31293
2023-10-29,0.34822
2023-10-30,0.35528
2023-10-31,0.31293
2023-11-01,0.31999
2023-11-02,0.33175
2023-11-03,0.36469
2023-11-04,0.30116
2023-11-05,0.47998
2023-11-06,0.55057
2023-11-07,0.36234
2023-11-08,0.76468
2023-11-09,1.41173
2023-11-10,0.51292
2023-11-11,0.27999
2023-11-12,0.30587
2023-11-13,0.31528
2023-11-14,0.3694
2023-11-15,0.43057
