date,채팅어플
2020-03-20,24.30769
2020-03-21,28.61538
2020-03-22,34.30769
2020-03-23,34.15384
2020-03-24,34.61538
2020-03-25,28.76923
2020-03-26,28.15384
2020-03-27,32.30769
2020-03-28,32.0
2020-03-29,27.38461
2020-03-30,22.92307
2020-03-31,28.46153
2020-04-01,40.61538
2020-04-02,27.23076
2020-04-03,34.46153
2020-04-04,31.6923
2020-04-05,23.6923
2020-04-06,31.6923
2020-04-07,30.61538
2020-04-08,26.30769
2020-04-09,25.84615
2020-04-10,24.15384
2020-04-11,23.84615
2020-04-12,36.0
2020-04-13,36.46153
2020-04-14,29.53846
2020-04-15,27.53846
2020-04-16,27.6923
2020-04-17,31.38461
2020-04-18,23.6923
2020-04-19,31.07692
2020-04-20,26.76923
2020-04-21,26.76923
2020-04-22,24.30769
2020-04-23,26.0
2020-04-24,23.53846
2020-04-25,26.76923
2020-04-26,29.38461
2020-04-27,22.46153
2020-04-28,26.46153
2020-04-29,30.15384
2020-04-30,36.61538
2020-05-01,22.30769
2020-05-02,29.07692
2020-05-03,27.6923
2020-05-04,26.30769
2020-05-05,31.07692
2020-05-06,23.6923
2020-05-07,28.0
2020-05-08,27.23076
2020-05-09,26.61538
2020-05-10,23.84615
2020-05-11,26.15384
2020-05-12,32.15384
2020-05-13,31.53846
2020-05-14,26.15384
2020-05-15,32.92307
2020-05-16,26.61538
2020-05-17,30.76923
2020-05-18,30.30769
2020-05-19,30.0
2020-05-20,36.92307
2020-05-21,44.61538
2020-05-22,30.92307
2020-05-23,31.6923
2020-05-24,31.53846
2020-05-25,30.76923
2020-05-26,28.92307
2020-05-27,25.38461
2020-05-28,29.53846
2020-05-29,22.46153
2020-05-30,24.76923
2020-05-31,24.76923
2020-06-01,21.84615
2020-06-02,25.38461
2020-06-03,31.23076
2020-06-04,28.0
2020-06-05,27.23076
2020-06-06,31.53846
2020-06-07,34.92307
2020-06-08,28.76923
2020-06-09,29.84615
2020-06-10,24.30769
2020-06-11,27.84615
2020-06-12,27.07692
2020-06-13,25.07692
2020-06-14,31.6923
2020-06-15,29.07692
2020-06-16,28.76923
2020-06-17,29.38461
2020-06-18,28.92307
2020-06-19,26.76923
2020-06-20,24.92307
2020-06-21,26.46153
2020-06-22,27.38461
2020-06-23,29.38461
2020-06-24,31.84615
2020-06-25,33.53846
2020-06-26,25.38461
2020-06-27,25.53846
2020-06-28,27.23076
2020-06-29,26.76923
