date,자금
2020-03-20,79.73856
2020-03-21,53.92156
2020-03-22,55.22875
2020-03-23,76.14379
2020-03-24,93.79084
2020-03-25,81.37254
2020-03-26,94.77124
2020-03-27,84.96732
2020-03-28,57.18954
2020-03-29,51.63398
2020-03-30,88.56209
2020-03-31,83.00653
2020-04-01,90.19607
2020-04-02,82.02614
2020-04-03,77.77777
2020-04-04,43.13725
2020-04-05,48.03921
2020-04-06,83.98692
2020-04-07,86.9281
2020-04-08,79.41176
2020-04-09,93.46405
2020-04-10,80.06535
2020-04-11,44.77124
2020-04-12,56.53594
2020-04-13,89.21568
2020-04-14,67.64705
2020-04-15,48.03921
2020-04-16,81.69934
2020-04-17,66.66666
2020-04-18,40.19607
2020-04-19,49.3464
2020-04-20,70.58823
2020-04-21,75.81699
2020-04-22,82.02614
2020-04-23,75.16339
2020-04-24,65.35947
2020-04-25,45.75163
2020-04-26,49.3464
2020-04-27,70.91503
2020-04-28,70.58823
2020-04-29,51.96078
2020-04-30,42.15686
2020-05-01,41.17647
2020-05-02,33.98692
2020-05-03,34.64052
2020-05-04,68.62745
2020-05-05,52.61437
2020-05-06,69.93464
2020-05-07,81.69934
2020-05-08,80.39215
2020-05-09,40.19607
2020-05-10,42.48366
2020-05-11,63.07189
2020-05-12,67.97385
2020-05-13,82.67973
2020-05-14,55.22875
2020-05-15,74.8366
2020-05-16,40.19607
2020-05-17,43.13725
2020-05-18,55.88235
2020-05-19,70.91503
2020-05-20,67.97385
2020-05-21,58.49673
2020-05-22,63.39869
2020-05-23,34.96732
2020-05-24,40.84967
2020-05-25,67.64705
2020-05-26,73.8562
2020-05-27,66.66666
2020-05-28,56.53594
2020-05-29,56.86274
2020-05-30,44.77124
2020-05-31,48.36601
2020-06-01,68.30065
2020-06-02,60.45751
2020-06-03,57.51633
2020-06-04,51.96078
2020-06-05,54.90196
2020-06-06,38.56209
2020-06-07,53.26797
2020-06-08,67.32026
2020-06-09,67.64705
2020-06-10,62.4183
2020-06-11,66.01307
2020-06-12,54.90196
2020-06-13,42.48366
2020-06-14,50.98039
2020-06-15,67.97385
2020-06-16,61.7647
2020-06-17,62.4183
2020-06-18,59.80392
2020-06-19,66.66666
2020-06-20,39.21568
2020-06-21,46.07843
2020-06-22,75.81699
2020-06-23,78.43137
2020-06-24,69.93464
2020-06-25,63.39869
2020-06-26,60.45751
2020-06-27,35.94771
2020-06-28,33.33333
2020-06-29,58.16993
2020-06-30,61.4379
2020-07-01,61.11111
2020-07-02,51.30718
2020-07-03,58.82352
2020-07-04,29.73856
2020-07-05,39.21568
2020-07-06,53.92156
2020-07-07,52.28758
2020-07-08,61.7647
2020-07-09,68.62745
2020-07-10,50.65359
2020-07-11,29.73856
2020-07-12,36.2745
2020-07-13,58.82352
2020-07-14,54.24836
2020-07-15,64.05228
2020-07-16,60.13071
2020-07-17,47.38562
2020-07-18,33.00653
2020-07-19,41.50326
2020-07-20,61.11111
2020-07-21,57.84313
2020-07-22,62.74509
2020-07-23,56.86274
2020-07-24,48.03921
2020-07-25,34.64052
2020-07-26,33.00653
2020-07-27,55.88235
2020-07-28,51.96078
2020-07-29,57.51633
2020-07-30,51.63398
2020-07-31,35.94771
2020-08-01,26.14379
2020-08-02,39.54248
2020-08-03,43.79084
2020-08-04,59.15032
2020-08-05,40.84967
2020-08-06,52.28758
2020-08-07,45.09803
2020-08-08,23.20261
2020-08-09,31.37254
2020-08-10,54.24836
2020-08-11,55.22875
2020-08-12,58.16993
2020-08-13,49.3464
2020-08-14,48.69281
2020-08-15,30.06535
2020-08-16,32.67973
2020-08-17,32.35294
2020-08-18,49.6732
2020-08-19,54.90196
2020-08-20,53.26797
2020-08-21,56.20915
2020-08-22,24.5098
2020-08-23,29.73856
2020-08-24,51.96078
2020-08-25,56.86274
2020-08-26,59.15032
2020-08-27,60.78431
2020-08-28,64.05228
2020-08-29,39.21568
2020-08-30,37.2549
2020-08-31,54.90196
2020-09-01,67.64705
2020-09-02,68.95424
2020-09-03,67.32026
2020-09-04,72.22222
2020-09-05,32.35294
2020-09-06,42.81045
2020-09-07,71.56862
2020-09-08,72.87581
2020-09-09,76.14379
